backend,dtype,resolution,particle_count,run_id,seed,step,time,dt,velocity_relative_l2,velocity_rmse,total_kinetic_energy,kinetic_energy_relative_error,kinetic_energy_relative_initial,momentum_x,momentum_y,relative_momentum_drift,mean_density,min_density,max_density,relative_density_fluctuation,max_particle_speed,has_nan_or_inf,step_time_seconds,current_allocated_bytes,driver_allocated_bytes,recommended_max_bytes,process_max_rss_bytes,analysis_role,analysis_source_stem,analysis_config_sha256,analysis_source_config_sha256,analysis_source_numerical_sha256,analysis_source_runtime_sha256,analysis_source_trajectory_sha256,analysis_stability_configured_steps,analysis_stability_measured_steps,analysis_stability_last_numerical_step,analysis_stability_sustain_target_seconds,analysis_stability_total_wall_seconds,analysis_stability_wall_overrun_seconds,analysis_stability_target_met,analysis_stability_segment_count,analysis_stability_segment_step_sum
cpu,float32,16,256,run-1,20260731,200,0.100000113248825,0.0005,0.3446626663208008,0.1295748502016067,0.7207881212234497,0.2749547064304352,0.2778105735778808,0.0071959588676691,0.0074604637920856,0.0033786436542868,1.00020432472229,0.9996544718742372,1.0006647109985352,0.0006647109985351,1.0113862752914429,False,0.0143296669702976,,,,431669248,canonical,cpu_n16_run-1,3080872cb97b185b21a4364c554535c7a3291588f4b4bd091499b322e660f99d,a3958931f807522949f17d2ed328efde27d01dd9965bfd351c01a77b274bb490,7b553fb0f1b4c12db65d860e27cfdf3a8f9a7b4ca022f14a26a838801fdc0842,57c0de8947bdf9bc40e9fb2e703bb1c4c0495f68589a48b4a3b930eeee291038,2666861bd68c78856ca91c150be1e83e81ac12d5b5f7155c24e6654bdabcf5db,,,,,,,,,
cpu,float32,16,256,run-1,20260731,220,0.1100001335144043,0.0005,0.3551778793334961,0.1297872513532638,0.7020379304885864,0.3144024312496185,0.2965972125530243,0.007604394108057,0.0081110456958413,0.0036575747653841,1.0001931190490725,0.9996955394744872,1.0005918741226196,0.0005918741226196,1.009294033050537,False,0.0141402909648604,,,,431685632,canonical,cpu_n16_run-1,3080872cb97b185b21a4364c554535c7a3291588f4b4bd091499b322e660f99d,a3958931f807522949f17d2ed328efde27d01dd9965bfd351c01a77b274bb490,7b553fb0f1b4c12db65d860e27cfdf3a8f9a7b4ca022f14a26a838801fdc0842,57c0de8947bdf9bc40e9fb2e703bb1c4c0495f68589a48b4a3b930eeee291038,2666861bd68c78856ca91c150be1e83e81ac12d5b5f7155c24e6654bdabcf5db,,,,,,,,,
cpu,float32,16,256,run-1,20260731,240,0.1200001537799835,0.0005,0.3667027950286865,0.1302436143159866,0.6835366487503052,0.3546197116374969,0.3151344656944275,0.0079294443130493,0.0085869524627923,0.0038677828852087,1.0002052783966064,0.9997103810310364,1.0005956888198853,0.0005956888198852,0.9996294379234314,False,0.0139023750089108,,,,431702016,canonical,cpu_n16_run-1,3080872cb97b185b21a4364c554535c7a3291588f4b4bd091499b322e660f99d,a3958931f807522949f17d2ed328efde27d01dd9965bfd351c01a77b274bb490,7b553fb0f1b4c12db65d860e27cfdf3a8f9a7b4ca022f14a26a838801fdc0842,57c0de8947bdf9bc40e9fb2e703bb1c4c0495f68589a48b4a3b930eeee291038,2666861bd68c78856ca91c150be1e83e81ac12d5b5f7155c24e6654bdabcf5db,,,,,,,,,
cpu,float32,16,256,run-1,20260731,260,0.1300000995397567,0.0005,0.3800768256187439,0.1312097758054733,0.6647143363952637,0.3943936824798584,0.3339933753013611,0.008065452799201,0.0088504273444414,0.0039742207154631,1.0002379417419434,0.999720573425293,1.0006563663482666,0.0006563663482666,0.983770787715912,False,0.0141370830242522,,,,431734784,canonical,cpu_n16_run-1,3080872cb97b185b21a4364c554535c7a3291588f4b4bd091499b322e660f99d,a3958931f807522949f17d2ed328efde27d01dd9965bfd351c01a77b274bb490,7b553fb0f1b4c12db65d860e27cfdf3a8f9a7b4ca022f14a26a838801fdc0842,57c0de8947bdf9bc40e9fb2e703bb1c4c0495f68589a48b4a3b930eeee291038,2666861bd68c78856ca91c150be1e83e81ac12d5b5f7155c24e6654bdabcf5db,,,,,,,,,
cpu,float32,16,256,run-1,20260731,280,0.139999970793724,0.0005,0.3956762552261352,0.1327652782201767,0.6452106237411499,0.43269082903862,0.353534996509552,0.0080297980457544,0.0089836800470948,0.0040046474896371,1.000285029411316,0.9997889399528505,1.0006790161132812,0.0006790161132812,0.9617911577224731,False,0.0141988330287858,,,,431751168,canonical,cpu_n16_run-1,3080872cb97b185b21a4364c554535c7a3291588f4b4bd091499b322e660f99d,a3958931f807522949f17d2ed328efde27d01dd9965bfd351c01a77b274bb490,7b553fb0f1b4c12db65d860e27cfdf3a8f9a7b4ca022f14a26a838801fdc0842,57c0de8947bdf9bc40e9fb2e703bb1c4c0495f68589a48b4a3b930eeee291038,2666861bd68c78856ca91c150be1e83e81ac12d5b5f7155c24e6654bdabcf5db,,,,,,,,,
cpu,float32,16,256,run-1,20260731,300,0.1499998420476913,0.0005,0.4134542047977447,0.1348403394222259,0.624938428401947,0.4689003229141235,0.3738465905189514,0.0078934635967016,0.0090109426528215,0.0039823483675718,1.0003379583358765,0.99982088804245,1.0007047653198242,0.0007047653198242,0.928220272064209,False,0.0144864580361172,,,,432177152,canonical,cpu_n16_run-1,3080872cb97b185b21a4364c554535c7a3291588f4b4bd091499b322e660f99d,a3958931f807522949f17d2ed328efde27d01dd9965bfd351c01a77b274bb490,7b553fb0f1b4c12db65d860e27cfdf3a8f9a7b4ca022f14a26a838801fdc0842,57c0de8947bdf9bc40e9fb2e703bb1c4c0495f68589a48b4a3b930eeee291038,2666861bd68c78856ca91c150be1e83e81ac12d5b5f7155c24e6654bdabcf5db,,,,,,,,,
cpu,float32,16,256,run-1,20260731,320,0.1599997133016586,0.0005,0.4332252442836761,0.1373264044523239,0.6041086316108704,0.503053605556488,0.3947168886661529,0.0077757723629474,0.0090138902887701,0.0039574648253619,1.0003865957260132,0.999842643737793,1.0007705688476562,0.0007705688476562,0.8788557052612305,False,0.0157146669807843,,,,432177152,canonical,cpu_n16_run-1,3080872cb97b185b21a4364c554535c7a3291588f4b4bd091499b322e660f99d,a3958931f807522949f17d2ed328efde27d01dd9965bfd351c01a77b274bb490,7b553fb0f1b4c12db65d860e27cfdf3a8f9a7b4ca022f14a26a838801fdc0842,57c0de8947bdf9bc40e9fb2e703bb1c4c0495f68589a48b4a3b930eeee291038,2666861bd68c78856ca91c150be1e83e81ac12d5b5f7155c24e6654bdabcf5db,,,,,,,,,
cpu,float32,16,256,run-1,20260731,340,0.1699995845556259,0.0005,0.4547109007835388,0.1400957852602005,0.5831061601638794,0.5357068777084351,0.415760189294815,0.007721533998847,0.0090086972340941,0.0039441701956093,1.0004225969314575,0.9998748302459716,1.0008150339126587,0.0008150339126586,0.8486772179603577,False,0.014742000028491,,,,432177152,canonical,cpu_n16_run-1,3080872cb97b185b21a4364c554535c7a3291588f4b4bd091499b322e660f99d,a3958931f807522949f17d2ed328efde27d01dd9965bfd351c01a77b274bb490,7b553fb0f1b4c12db65d860e27cfdf3a8f9a7b4ca022f14a26a838801fdc0842,57c0de8947bdf9bc40e9fb2e703bb1c4c0495f68589a48b4a3b930eeee291038,2666861bd68c78856ca91c150be1e83e81ac12d5b5f7155c24e6654bdabcf5db,,,,,,,,,
cpu,float32,16,256,run-1,20260731,360,0.1799994558095932,0.0005,0.4771284461021423,0.1428817063570022,0.562263548374176,0.5674625635147095,0.4366433322429657,0.0077148787677288,0.0089860074222087,0.0039360397495329,1.000438213348389,0.999899923801422,1.0008281469345093,0.0008281469345092,0.841022253036499,False,0.015107832965441,,,,432553984,canonical,cpu_n16_run-1,3080872cb97b185b21a4364c554535c7a3291588f4b4bd091499b322e660f99d,a3958931f807522949f17d2ed328efde27d01dd9965bfd351c01a77b274bb490,7b553fb0f1b4c12db65d860e27cfdf3a8f9a7b4ca022f14a26a838801fdc0842,57c0de8947bdf9bc40e9fb2e703bb1c4c0495f68589a48b4a3b930eeee291038,2666861bd68c78856ca91c150be1e83e81ac12d5b5f7155c24e6654bdabcf5db,,,,,,,,,
cpu,float32,16,256,run-1,20260731,380,0.1899993270635604,0.0005,0.4994231760501861,0.1453670263290405,0.5419175028800964,0.5991116762161255,0.4570289254188537,0.0077246166765689,0.0089641120284795,0.0039317021146416,1.000429630279541,0.9999129176139832,1.000813126564026,0.0008131265640258,0.840684175491333,False,0.0146138749551028,,,,432619520,canonical,cpu_n16_run-1,3080872cb97b185b21a4364c554535c7a3291588f4b4bd091499b322e660f99d,a3958931f807522949f17d2ed328efde27d01dd9965bfd351c01a77b274bb490,7b553fb0f1b4c12db65d860e27cfdf3a8f9a7b4ca022f14a26a838801fdc0842,57c0de8947bdf9bc40e9fb2e703bb1c4c0495f68589a48b4a3b930eeee291038,2666861bd68c78856ca91c150be1e83e81ac12d5b5f7155c24e6654bdabcf5db,,,,,,,,,
