semantic_slot,object_id,storage_key,creation_step,first_observed_step,last_observed_step,age,belongs_to_fixed_initial_edge_index,still_read_by_current_solver,has_same_slot_update_object,has_different_storage_generation,is_current_working_set,is_retired_reference,is_old_survivor,direct_referrer_type_names,semantic_class
endpoint_neighborhood.col,4818469184,cpu:4832788480:663552,0,198,200,2,True,True,True,False,True,False,False,"[""FrozenReciprocalTopology"",""PeriodicNeighborhood""]",current_persistent_reference
endpoint_neighborhood.domain_max,4818406528,cpu:4756182848:16,0,198,200,2,False,True,True,False,True,False,False,"[""DynamicSPHState"",""PeriodicNeighborhood""]",current_persistent_reference
endpoint_neighborhood.domain_min,4818405648,cpu:4756175680:16,0,198,200,2,False,True,True,False,True,False,False,"[""DynamicSPHState"",""PeriodicNeighborhood""]",current_persistent_reference
endpoint_neighborhood.particle_support,4818280656,cpu:4411673600:8192,0,198,200,2,False,True,True,False,True,False,False,"[""DynamicSPHState"",""PeriodicNeighborhood""]",current_persistent_reference
endpoint_neighborhood.row,4818469744,cpu:4431675392:663552,0,198,200,2,True,True,True,False,True,False,False,"[""FrozenReciprocalTopology"",""PeriodicNeighborhood""]",current_persistent_reference
midpoint_neighborhood.col,4818469184,cpu:4832788480:663552,0,198,200,2,True,True,True,False,True,False,False,"[""FrozenReciprocalTopology"",""PeriodicNeighborhood""]",current_persistent_reference
midpoint_neighborhood.domain_max,4818406528,cpu:4756182848:16,0,198,200,2,False,True,True,False,True,False,False,"[""DynamicSPHState"",""PeriodicNeighborhood""]",current_persistent_reference
midpoint_neighborhood.domain_min,4818405648,cpu:4756175680:16,0,198,200,2,False,True,True,False,True,False,False,"[""DynamicSPHState"",""PeriodicNeighborhood""]",current_persistent_reference
midpoint_neighborhood.particle_support,4818280656,cpu:4411673600:8192,0,198,200,2,False,True,True,False,True,False,False,"[""DynamicSPHState"",""PeriodicNeighborhood""]",current_persistent_reference
midpoint_neighborhood.row,4818469744,cpu:4431675392:663552,0,198,200,2,True,True,True,False,True,False,False,"[""FrozenReciprocalTopology"",""PeriodicNeighborhood""]",current_persistent_reference
start_stage_neighborhood.col,4818469184,cpu:4832788480:663552,0,198,200,2,True,True,True,False,True,False,False,"[""FrozenReciprocalTopology"",""PeriodicNeighborhood""]",current_persistent_reference
start_stage_neighborhood.domain_max,4818406528,cpu:4756182848:16,0,198,200,2,False,True,True,False,True,False,False,"[""DynamicSPHState"",""PeriodicNeighborhood""]",current_persistent_reference
start_stage_neighborhood.domain_min,4818405648,cpu:4756175680:16,0,198,200,2,False,True,True,False,True,False,False,"[""DynamicSPHState"",""PeriodicNeighborhood""]",current_persistent_reference
start_stage_neighborhood.particle_support,4818280656,cpu:4411673600:8192,0,198,200,2,False,True,True,False,True,False,False,"[""DynamicSPHState"",""PeriodicNeighborhood""]",current_persistent_reference
start_stage_neighborhood.row,4818469744,cpu:4431675392:663552,0,198,200,2,True,True,True,False,True,False,False,"[""FrozenReciprocalTopology"",""PeriodicNeighborhood""]",current_persistent_reference
