resolution,dx,support_ratio,support,initial_edge_count,nearest_lower_shell,nearest_upper_shell,minimum_cutoff_margin
16,0.125,4.061552812808831,0.5076941016011038,12544,4.0,4.123105625617661,0.06155281280882985
24,0.08333333333333333,4.5,0.375,39744,4.47213595499958,5.0,0.02786404500042039
32,0.0625,5.049509756796392,0.3155943597997745,82944,5.0,5.0990195135927845,0.049509756796392246
48,0.041666666666666664,5.5,0.22916666666666666,223488,5.385164807134504,5.656854249492381,0.11483519286549626
64,0.03125,6.041381265149109,0.18879316453590966,462848,6.0,6.082762530298219,0.041381265149109225
