run_id,role,solution,resolution,support_ratio,dt,step,time,labeled_position_l1,labeled_position_l2,labeled_position_linf,labeled_velocity_l1,labeled_velocity_l2,labeled_velocity_linf,labeled_density_l1,labeled_density_l2,labeled_density_linf,labeled_pressure_l1,labeled_pressure_l2,labeled_pressure_linf,field_velocity_l1,field_velocity_l2,field_velocity_linf,field_density_l1,field_density_l2,field_density_linf,field_pressure_l1,field_pressure_l2,field_pressure_linf,edge_count,edge_hash,topology_defects,minimum_separation_over_dx,current_rss_bytes,peak_rss_bytes,step_time_seconds
prereq_smoke_a,prerequisite_smoke,MMS_A,16,4.06155281280883,0.0005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036574382235625815,0.00039837721423884135,0.0006695454250068567,0.14629752894250325,0.15935088569553654,0.26781817000274266,0.0,0.0,0.0,0.00036574382235625815,0.00039837721423884135,0.0006695454250068567,0.14629752894250325,0.15935088569553654,0.26781817000274266,12544,eaf24599693d302ca4fadc1a9435050bcd7cef55ee2668190f224fb8df0cc347,0,1.0,245858304,245858304,0.021113416994921863
prereq_smoke_a,prerequisite_smoke,MMS_A,16,4.06155281280883,0.0005,1,0.0005,6.352301407710873e-08,6.622521554384855e-08,9.032038674318622e-08,0.0002540686556631066,0.00026487646568393113,0.00036124818674721025,0.000365744143201801,0.00039827586067363497,0.0006690494523897694,0.1462976572807204,0.159310344269454,0.26761978095590777,0.0002540686556631066,0.00026487646568393113,0.00036124818674721025,0.0003657437754159541,0.0003982755224424613,0.0006690493980463508,0.14629751016638162,0.1593102089769845,0.2676197592185403,12544,eaf24599693d302ca4fadc1a9435050bcd7cef55ee2668190f224fb8df0cc347,0,0.9999997158248473,249298944,256884736,0.021113416994921863
prereq_smoke_a,prerequisite_smoke,MMS_A,16,4.06155281280883,0.0005,2,0.001,2.5402099662349874e-07,2.648267789856428e-07,3.6118039288254687e-07,0.0005077092727641852,0.0005293066813867701,0.0007218873515518417,0.00036574510628574215,0.0003979727515802851,0.0006675620935449045,0.14629804251429684,0.15918910063211403,0.2670248374179618,0.0005077092727641852,0.0005293066813867701,0.0007218873515518417,0.00036574363555386905,0.0003979713980062116,0.0006675618762324032,0.1462974542215476,0.15918855920248465,0.26702475049296126,12544,eaf24599693d302ca4fadc1a9435050bcd7cef55ee2668190f224fb8df0cc347,0,0.9999988636153709,257015808,258654208,0.020563250000122935
prereq_smoke_a,prerequisite_smoke,MMS_A,16,4.06155281280883,0.0005,3,0.0015,5.711846811212519e-07,5.95482265823113e-07,8.121400204293384e-07,0.0007605412186292414,0.000792893820445994,0.0010813760543336613,0.0003657467127608214,0.0003974708949649244,0.0006650857739957106,0.14629868510432856,0.15898835798596977,0.2660343095982842,0.0007605412186292414,0.000792893820445994,0.0010813760543336613,0.00036574340571329323,0.00039746784752077636,0.0006650852853534728,0.14629736228531728,0.15898713900831055,0.2660341141413891,12544,eaf24599693d302ca4fadc1a9435050bcd7cef55ee2668190f224fb8df0cc347,0,0.9999974447508162,260866048,261963776,0.02068295795470476
prereq_smoke_a,prerequisite_smoke,MMS_A,16,4.06155281280883,0.0005,4,0.002,1.0145147342876122e-06,1.0576710983911374e-06,1.4424889069724482e-06,0.001012185144339366,0.001055242394592019,0.0014391746840097504,0.00036574896460485383,0.00039677527756075306,0.0006616244092652046,0.14629958584194153,0.15871011102430121,0.26464976370608184,0.001012185144339366,0.001055242394592019,0.0014391746840097504,0.0003657430907630936,0.0003967698553470362,0.0006616235413605676,0.14629723630523744,0.15870794213881448,0.264649416544227,12544,eaf24599693d302ca4fadc1a9435050bcd7cef55ee2668190f224fb8df0cc347,0,0.9999954614588304,262062080,263110656,0.021218833047896624
prereq_smoke_a,prerequisite_smoke,MMS_A,16,4.06155281280883,0.0005,5,0.0025,1.5833225404921056e-06,1.6506753637080848e-06,2.2512474433666712e-06,0.0012622635538974073,0.001315958847337431,0.00179474626911458,0.0003657518645907524,0.0003958928622984174,0.0006571833986391828,0.14630074583630095,0.15835714491936692,0.26287335945567314,0.0012622635538974073,0.001315958847337431,0.00179474626911458,0.0003657426974631225,0.00039588438119201984,0.0006571820441292342,0.146297078985249,0.1583537524768079,0.2628728176516937,12544,eaf24599693d302ca4fadc1a9435050bcd7cef55ee2668190f224fb8df0cc347,0,0.9999929168119959,263127040,263651328,0.020472917007282376
prereq_smoke_a,prerequisite_smoke,MMS_A,16,4.06155281280883,0.0005,6,0.003,2.2767312701589583e-06,2.3735809273221914e-06,3.2371682952798978e-06,0.0015104013705083824,0.0015746521443569287,0.002147557284291633,0.00036575541624329477,0.0003948325843022544,0.0006517696166631337,0.14630216649731792,0.15793303372090176,0.2607078466652535,0.0015104013705083824,0.0015746521443569287,0.002147557284291633,0.00036574223441481184,0.0003948203562557758,0.000651767668956138,0.14629689376592475,0.15792814250231033,0.2607070675824552,12544,eaf24599693d302ca4fadc1a9435050bcd7cef55ee2668190f224fb8df0cc347,0,0.9999898147230972,263700480,263700480,0.020444833964575082
prereq_smoke_a,prerequisite_smoke,MMS_A,16,4.06155281280883,0.0005,7,0.0035,3.0936772304420355e-06,3.2252788414812935e-06,4.398738327511041e-06,0.0017562264991246102,0.0018309343599729954,0.0024970784514406438,0.00036575962378551695,0.0003936053444793699,0.0006453914024031615,0.14630384951420677,0.15744213779174795,0.2581565609612646,0.0017562264991246102,0.0018309343599729954,0.0024970784514406438,0.00036574171199977136,0.00039358867701892746,0.0006453887558185434,0.14629668479990854,0.15743547080757098,0.25815550232741735,12544,eaf24599693d302ca4fadc1a9435050bcd7cef55ee2668190f224fb8df0cc347,0,0.9999861599391284,263766016,263766016,0.02020891703432426
prereq_smoke_a,prerequisite_smoke,MMS_A,16,4.06155281280883,0.0005,8,0.004,4.0329114961969844e-06,4.2044670455036915e-06,5.734180926976537e-06,0.0019993703844115186,0.00208442125886705,0.0028427855343155506,0.0003657644920728922,0.00039222399946756023,0.0006380585464733635,0.14630579682915687,0.1568895997870241,0.2552234185893454,0.0019993703844115186,0.00208442125886705,0.0028427855343155506,0.0003657411423045186,0.00039220219544019395,0.0006380550964003584,0.14629645692180743,0.15688087817607757,0.25522203856014336,12544,eaf24599693d302ca4fadc1a9435050bcd7cef55ee2668190f224fb8df0cc347,0,0.9999819580340699,263815168,263815168,0.0203570420271717
prereq_smoke_a,prerequisite_smoke,MMS_A,16,4.06155281280883,0.0005,9,0.0045000000000000005,5.093001818610828e-06,5.309652355652995e-06,7.24145872109841e-06,0.0022394685632977688,0.0023347328721442344,0.0031841601253741734,0.00036577002651798623,0.0003907033463969861,0.0006297822758604132,0.1463080106071945,0.15628133855879442,0.2519129103441653,0.0022394685632977688,0.0023347328721442344,0.0031841601253741734,0.0003657405390340585,0.0003906757040225928,0.0006297779189147201,0.1462962156136234,0.1562702816090371,0.25191116756588805,12544,eaf24599693d302ca4fadc1a9435050bcd7cef55ee2668190f224fb8df0cc347,0,0.9999772154004241,263847936,263847936,0.020166457979939878
