run_id,role,solution,resolution,support_ratio,dt,step,time,labeled_position_l1,labeled_position_l2,labeled_position_linf,labeled_velocity_l1,labeled_velocity_l2,labeled_velocity_linf,labeled_density_l1,labeled_density_l2,labeled_density_linf,labeled_pressure_l1,labeled_pressure_l2,labeled_pressure_linf,field_velocity_l1,field_velocity_l2,field_velocity_linf,field_density_l1,field_density_l2,field_density_linf,field_pressure_l1,field_pressure_l2,field_pressure_linf,edge_count,edge_hash,topology_defects,minimum_separation_over_dx,current_rss_bytes,peak_rss_bytes,step_time_seconds,term_convection_l2,term_pressure_gradient_l2,term_velocity_laplacian_l2,term_source_l2,trajectory_reference_upper_bound
prereq_smoke_b,prerequisite_smoke,MMS_B,16,4.06155281280883,0.0005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036574382235625815,0.00039837721423884135,0.0006695454250068567,0.14629752894250325,0.15935088569553654,0.26781817000274266,0.0,0.0,0.0,0.00036574382235625815,0.00039837721423884135,0.0006695454250068567,0.14629752894250325,0.15935088569553654,0.26781817000274266,12544,eaf24599693d302ca4fadc1a9435050bcd7cef55ee2668190f224fb8df0cc347,0,1.0,245825536,245825536,0.02098479197593406,1.5707963267948968,2.221441469079183,13.957728399277759,2.728118487565166,6.661338147750939e-16
prereq_smoke_b,prerequisite_smoke,MMS_B,16,4.06155281280883,0.0005,1,0.0005,6.356444775516882e-08,6.626855376757258e-08,9.037670744743189e-08,0.00025422643973636345,0.00026504032794028655,0.00036140803950940103,0.00036575135916748925,0.0003982824870253179,0.0006690501358109779,0.14630054366699569,0.15931299481012715,0.2676200543243912,0.00025422627613058636,0.00026504016118095104,0.000361462011913191,0.0003657509913818661,0.00039828214889695555,0.0006690500815434985,0.14630039655274646,0.15931285955878222,0.2676200326173994,12544,eaf24599693d302ca4fadc1a9435050bcd7cef55ee2668190f224fb8df0cc347,0,0.9984707265245575,249151488,255623168,0.02098479197593406,1.56969715412206,2.221441469943595,13.952844054578504,2.7274808363971106,6.661338147750939e-16
prereq_smoke_b,prerequisite_smoke,MMS_B,16,4.06155281280883,0.0005,2,0.001,2.541826751041589e-07,2.64995296539185e-07,3.613217503875263e-07,0.000508025044194027,0.0005296346295718373,0.0007223099879545424,0.00036577395829748413,0.0003979992673575474,0.0006675645720489731,0.14630958331899366,0.15919970694301896,0.26702582881958925,0.0005080241744080404,0.000529633712185372,0.0007225239377807245,0.0003657724875673388,0.00039799791414834055,0.0006675643550067001,0.14630899502693553,0.15919916565933623,0.26702574200268003,12544,eaf24599693d302ca4fadc1a9435050bcd7cef55ee2668190f224fb8df0cc347,0,0.9969443681124205,256114688,257179648,0.02040470897918567,1.568598750601167,2.2214414725387974,13.947961429966131,2.7268444567400008,6.661338147750939e-16
prereq_smoke_b,prerequisite_smoke,MMS_B,16,4.06155281280883,0.0005,3,0.0015,5.715456813213676e-07,5.958580947580524e-07,8.125507462502397e-07,0.0007610156243631565,0.0007933865527405273,0.0010821620845787962,0.00036581159994185505,0.0003975306071536435,0.0006650911198093912,0.14632463997674203,0.1590122428614574,0.26603644792375647,0.0007610130077465773,0.0007933837642814097,0.0010826392041470801,0.0003658082929015676,0.00039752756048551683,0.0006650906317438032,0.14632331716062705,0.15901102419420673,0.2660362526975213,12544,eaf24599693d302ca4fadc1a9435050bcd7cef55ee2668190f224fb8df0cc347,0,0.9954209187015731,258310144,258310144,0.020212249946780503,1.5675011156940046,2.2214414768728656,13.943080524881797,2.7262093458432917,6.661338147750939e-16
prereq_smoke_b,prerequisite_smoke,MMS_B,16,4.06155281280883,0.0005,4,0.002,1.0151545393093618e-06,1.058336806319693e-06,1.4433830901282313e-06,0.0010128192777461562,0.0010559010870123179,0.0014404219315191963,0.0003658642609009827,0.0003968815739200751,0.0006616336892659724,0.14634570436039307,0.15875262956803005,0.264653475706389,0.0010128133778981399,0.001055894772485011,0.0014412624447170683,0.00036585838708051797,0.000396876153039698,0.0006616328223543189,0.14634335483220717,0.15875046121587919,0.26465312894172754,12544,eaf24599693d302ca4fadc1a9435050bcd7cef55ee2668190f224fb8df0cc347,0,0.9939003722921887,259555328,260603904,0.020067250006832182,1.5664042488627392,2.2214414829598934,13.938201338804559,2.7255755001712956,6.661338147750939e-16
prereq_smoke_b,prerequisite_smoke,MMS_B,16,4.06155281280883,0.0005,5,0.0025,1.584321251616673e-06,1.6517141797292552e-06,2.25287985729183e-06,0.0012630589596860598,0.0013167851597777524,0.0017965493210764826,0.0003659319145763898,0.0003960592462259383,0.0006571977083634772,0.14637276583055592,0.15842369849037533,0.2628790833453909,0.0012630477477537036,0.001316773132590515,0.0017978503347221174,0.00036592274749895235,0.0003960507671652702,0.0006571963553742011,0.14636909899958095,0.1584203068661081,0.2628785421496804,12544,eaf24599693d302ca4fadc1a9435050bcd7cef55ee2668190f224fb8df0cc347,0,0.9923827229459982,261701632,261701632,0.020251916954293847,1.5653081495699195,2.221441490819962,13.933323871251135,2.724942915408286,6.661338147750939e-16
prereq_smoke_b,prerequisite_smoke,MMS_B,16,4.06155281280883,0.0005,6,0.003,2.2781698215201487e-06,2.375076971187384e-06,3.23984012540122e-06,0.0015113600518170932,0.0015756482293625732,0.0021500070598777276,0.0003660145309607563,0.00039507270685760506,0.0006517901141503968,0.1464058123843025,0.158029082743042,0.2607160456601587,0.0015113410107583758,0.0015756277751974759,0.0021518624223519386,0.0003660013492343202,0.00039506048175123637,0.000651788168608447,0.14640053969372807,0.15802419270049456,0.2607152674433788,12544,eaf24599693d302ca4fadc1a9435050bcd7cef55ee2668190f224fb8df0cc347,0,0.9908679647855513,261734400,261734400,0.020317999995313585,1.5642128172784788,2.221441500479103,13.928448121775585,2.724311586464773,6.661338147750939e-16
prereq_smoke_b,prerequisite_smoke,MMS_B,16,4.06155281280883,0.0005,7,0.0035,3.0956376076294812e-06,3.2273173574363526e-06,4.402795219811893e-06,0.0017573509267937762,0.0018321028742654688,0.0025002617886845536,0.00036611207662118686,0.0003939330326465043,0.0006454193417809728,0.14644483064847474,0.15757321305860172,0.25816773671238913,0.0017573210565953357,0.0018320707558531655,0.00250276195598377,0.00036609416502215303,0.00039391636925470755,0.0006454166981315623,0.1464376660088612,0.15756654770188305,0.25816667925262493,12544,eaf24599693d302ca4fadc1a9435050bcd7cef55ee2668190f224fb8df0cc347,0,0.9893560919933786,261734400,261734400,0.02019545901566744,1.5631182514517403,2.2214415119692568,13.923574089968994,2.723681507484935,6.661338147750939e-16
prereq_smoke_b,prerequisite_smoke,MMS_B,16,4.06155281280883,0.0005,8,0.004,4.035476959520989e-06,4.20713464181963e-06,5.740010831609236e-06,0.002000663508459095,0.0020857653776486375,0.0028467847966029357,0.00036622451467699857,0.00039265327965271756,0.0006380953111985166,0.14648980587079943,0.15706131186108702,0.25523812447940664,0.0020006193322999253,0.0020857178404362097,0.002850016705953486,0.0003662011652243386,0.00039263148114246414,0.0006380918649693257,0.14648046608973542,0.15705259245698566,0.2552367459877303,12544,eaf24599693d302ca4fadc1a9435050bcd7cef55ee2668190f224fb8df0cc347,0,0.987847098811045,261767168,261767168,0.020050416991580278,1.5620244515534167,2.221441525328219,13.918701775459073,2.7230526718551933,6.661338147750939e-16
prereq_smoke_b,prerequisite_smoke,MMS_B,16,4.06155281280883,0.0005,9,0.0045000000000000005,5.096257132267862e-06,5.313037251247004e-06,7.249489541510512e-06,0.0022409338266212698,0.00233625630621598,0.00318905282845648,0.0003663518047711321,0.00039124846205909467,0.000629829411520344,0.14654072190845285,0.15649938482363787,0.2519317646081376,0.002240871397972825,0.0023361890849153337,0.0031930997796131445,0.0003663223177894858,0.00039122082709850753,0.0006298250594821697,0.1465289271157943,0.15648833083940303,0.2519300237928679,12544,eaf24599693d302ca4fadc1a9435050bcd7cef55ee2668190f224fb8df0cc347,0,0.9863409795381132,262340608,262864896,0.020019333984237164,1.560931417047621,2.2214415405995838,13.913831177909731,2.7224250722139187,6.661338147750939e-16
prereq_smoke_b,prerequisite_smoke,MMS_B,16,4.06155281280883,0.0005,10,0.005000000000000001,6.276366476677331e-06,6.543345020850013e-06,8.928973744037969e-06,0.002477802565616965,0.0025832010826230952,0.0035265488841015606,0.00036649390303745326,0.00038973552279634365,0.0006206344831611865,0.1465975612149813,0.15589420911853746,0.2482537932644746,0.0024777174762705204,0.002583109408626955,0.0035314904284395672,0.00036645758820756267,0.00038970134602098763,0.0006206291234869266,0.14658303528302508,0.15588053840839505,0.24825164939477062,12544,eaf24599693d302ca4fadc1a9435050bcd7cef55ee2668190f224fb8df0cc347,0,0.9848377285309976,262897664,262897664,0.01984737499151379,1.559839147398868,2.221441557832675,13.908962297020599,2.721798700462248,6.661338147750939e-16
