support_family,resolution,layout,jitter_fraction,dtype,candidate,operator_variant,operator,norm,sample_count,mean,sample_standard_deviation,median,bootstrap_mean_CI95_low,bootstrap_mean_CI95_high,minimum,maximum
constant_neighbor,16,jitter_05,0.05,float64,conservative_pair_viscosity,symmetric_nonnegative_pair_Gamma,viscous_acceleration,L1,10,0.06318730555071442,0.0017056563254051482,0.0634219954215639,0.06215882103984873,0.06411444952362699,0.06030146728344219,0.06515331131707032
constant_neighbor,16,jitter_05,0.05,float64,conservative_pair_viscosity,symmetric_nonnegative_pair_Gamma,viscous_acceleration,L2,10,0.06995488671897779,0.0015223528131312043,0.07045820937763272,0.06900693424567177,0.07077396012076403,0.06694645266222651,0.07143294038125826
constant_neighbor,16,jitter_05,0.05,float64,conservative_pair_viscosity,symmetric_nonnegative_pair_Gamma,viscous_acceleration,Linf,10,0.11602884708646548,0.0031005972194903704,0.11603687530668261,0.11426478766179822,0.11784740570221544,0.11063429553254311,0.12089774028372735
constant_neighbor,16,jitter_05,0.05,float64,first_order_gradient_matrix,isotropic_quadratic_response_laplacian,Laplacian,L1,10,3.270955751023164,0.10848527612588824,3.27958933785544,3.2034239100659656,3.3326684423777517,3.0886459102445523,3.385198573742417
constant_neighbor,16,jitter_05,0.05,float64,first_order_gradient_matrix,isotropic_quadratic_response_laplacian,Laplacian,L2,10,3.832849686412257,0.11913081345845745,3.8578776035713744,3.758225012383667,3.899019879277336,3.6334085654911585,3.974202810727397
constant_neighbor,16,jitter_05,0.05,float64,first_order_gradient_matrix,isotropic_quadratic_response_laplacian,Laplacian,Linf,10,7.4541346774238,0.23449464381451768,7.489423979338518,7.308093590582256,7.585326717942781,6.977635917226486,7.808109211441845
constant_neighbor,16,jitter_05,0.05,float64,first_order_gradient_matrix,local_first_moment_inverse_gradient,divergence,L1,10,1.1604342044292495,0.005183511027782612,1.161991377021931,1.1574025935489658,1.1633404761789403,1.151932436819623,1.1685005657417666
constant_neighbor,16,jitter_05,0.05,float64,first_order_gradient_matrix,local_first_moment_inverse_gradient,divergence,L2,10,1.4592417653503615,0.004706188722154735,1.4595296088435954,1.4565698240204012,1.4619595447076228,1.4518357277088736,1.4665148690905967
constant_neighbor,16,jitter_05,0.05,float64,first_order_gradient_matrix,local_first_moment_inverse_gradient,divergence,Linf,10,2.7511535972689356,0.0190305890421565,2.753378709961721,2.739540819164397,2.762287870314058,2.718535527283473,2.7849293924354974
constant_neighbor,16,jitter_05,0.05,float64,first_order_gradient_matrix,local_first_moment_inverse_gradient,gradient,L1,10,0.7145245787914228,0.0015558358357878755,0.7147162628197115,0.7136342372632781,0.7154297617526213,0.7120293412062012,0.7162387569871218
constant_neighbor,16,jitter_05,0.05,float64,first_order_gradient_matrix,local_first_moment_inverse_gradient,gradient,L2,10,0.8161420196925777,0.0009047563009308128,0.8162561485269446,0.8155833750239518,0.8166330649493668,0.8145922554191296,0.8172654021462424
constant_neighbor,16,jitter_05,0.05,float64,first_order_gradient_matrix,local_first_moment_inverse_gradient,gradient,Linf,10,1.403191553537215,0.008594355218354775,1.4029549949610325,1.3982447225552344,1.408579746396442,1.387356435662773,1.4195230049803929
constant_neighbor,16,jitter_05,0.05,float64,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,kernel_S0,L2,10,2.7553778805550105e-16,7.948700771421708e-18,2.772952080955075e-16,2.707997160866391e-16,2.798158183670513e-16,2.6027790108616793e-16,2.8500192175585705e-16
constant_neighbor,16,jitter_05,0.05,float64,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,kernel_S0,Linf,10,9.325873406851315e-16,1.303166231344818e-16,8.881784197001252e-16,8.548717289613706e-16,9.992007221626409e-16,6.661338147750939e-16,1.1102230246251565e-15
constant_neighbor,16,jitter_05,0.05,float64,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,kernel_S0,mean_abs,10,2.1198320876436583e-16,8.164265531511515e-18,2.1293730667615307e-16,2.069514264818606e-16,2.1640675362810669e-16,1.973247953923618e-16,2.242130092700023e-16
constant_neighbor,16,jitter_05,0.05,float64,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,kernel_S1,L2,10,8.296407765894175e-18,3.558509087207317e-19,8.208736196984364e-18,8.085320427377847e-18,8.510108928540857e-18,7.85912745866511e-18,8.838040956975095e-18
constant_neighbor,16,jitter_05,0.05,float64,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,kernel_S1,Linf,10,3.521652821274744e-17,4.707289930863605e-18,3.4082382336026503e-17,3.269725521257113e-17,3.8021048265006937e-17,2.8888228792202565e-17,4.5869435797048977e-17
constant_neighbor,16,jitter_05,0.05,float64,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,scalar_interpolation,L1,10,0.15587733697728412,9.131297615147168e-05,0.15585558833148794,0.15582667366540412,0.1559291679966879,0.15577120138523493,0.1559934749566828
constant_neighbor,16,jitter_05,0.05,float64,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,scalar_interpolation,L2,10,0.1832649329851364,8.426596199935876e-05,0.1832586462977043,0.18321566537322254,0.18331560473358458,0.183165587855954,0.18338631243212483
constant_neighbor,16,jitter_05,0.05,float64,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,scalar_interpolation,Linf,10,0.32921261707136174,0.0015144102940814889,0.3293989271083039,0.3283579314359221,0.33007630558325285,0.3270592477143035,0.3321369202547768
constant_neighbor,16,jitter_05,0.05,float64,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_gradient,divergence,L1,10,1.0885330632032097,0.0010326572453754675,1.088355798898903,1.0879610737158902,1.0891444028838146,1.08737780493944,1.0900737437320316
constant_neighbor,16,jitter_05,0.05,float64,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_gradient,divergence,L2,10,1.3720748752397731,0.001020673694466737,1.3720231306382447,1.3714707669420467,1.3727034076103772,1.3705542714661922,1.3737706564738879
constant_neighbor,16,jitter_05,0.05,float64,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_gradient,divergence,Linf,10,2.5756549210097464,0.00901299066737813,2.5771186799254213,2.5701892493633447,2.580823752081406,2.559681861184071,2.5909728466454816
constant_neighbor,16,jitter_05,0.05,float64,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_gradient,gradient,L1,10,0.6719133461355635,0.0005610573017705067,0.6718805476807044,0.6715900207842326,0.6722554197919336,0.6711417198988163,0.6729324780158998
constant_neighbor,16,jitter_05,0.05,float64,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_gradient,gradient,L2,10,0.7669662459380122,0.00017447810298735648,0.7669515376605236,0.7668671155665417,0.767072041319481,0.7666864561832568,0.7672894120169549
constant_neighbor,16,jitter_05,0.05,float64,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_gradient,gradient,Linf,10,1.3022390236292283,0.00376572634391466,1.3015391072896412,1.2999653266513924,1.3044153933896692,1.295203874036523,1.3075818825829142
constant_neighbor,16,jitter_05,0.05,float64,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_laplacian,Laplacian,L1,10,4.094046044098309,0.00940324477716143,4.094494165354392,4.088601315085272,4.099607346764671,4.079699153653333,4.108447867998535
constant_neighbor,16,jitter_05,0.05,float64,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_laplacian,Laplacian,L2,10,4.809762003735264,0.010234668004687215,4.809182275920948,4.803581350318493,4.815600974818331,4.793341595243386,4.821659030119729
constant_neighbor,16,jitter_05,0.05,float64,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_laplacian,Laplacian,Linf,10,8.629637769306125,0.03703750300119251,8.63813223860297,8.607369926693774,8.650933662161775,8.564039370005212,8.675605097045334
constant_neighbor,16,jitter_05,0.05,float64,raw_sph,raw_brookshaw_component_laplacian,Laplacian,L1,10,3.324694275456199,0.10401539120198754,3.3359214929187755,3.260608363373956,3.3817249869173738,3.1504134817269795,3.432229446298244
constant_neighbor,16,jitter_05,0.05,float64,raw_sph,raw_brookshaw_component_laplacian,Laplacian,L2,10,3.8986957957359882,0.1116220833197673,3.9174600845748513,3.8307448339259493,3.959504542045726,3.708609361542337,4.025101804872837
constant_neighbor,16,jitter_05,0.05,float64,raw_sph,raw_brookshaw_component_laplacian,Laplacian,Linf,10,7.887335764593354,0.3718848178935258,7.88830943271088,7.662473975959091,8.110614276620511,7.1911125948793,8.46276551481374
constant_neighbor,16,jitter_05,0.05,float64,raw_sph,raw_difference_gradient,divergence,L1,10,1.171998511151184,0.007974146464365721,1.1754282904308406,1.1674632997151582,1.1766129349705121,1.1595737446594558,1.1819279369934348
constant_neighbor,16,jitter_05,0.05,float64,raw_sph,raw_difference_gradient,divergence,L2,10,1.4675418789865726,0.008337148596132831,1.4679430084335376,1.4628266739055384,1.4722706899495959,1.4545898121943146,1.4784294245261882
constant_neighbor,16,jitter_05,0.05,float64,raw_sph,raw_difference_gradient,divergence,Linf,10,2.844546374248822,0.04120671141554533,2.849358916570253,2.8218659157459935,2.8714484407850227,2.7968552083339375,2.9339808563946086
constant_neighbor,16,jitter_05,0.05,float64,raw_sph,raw_difference_gradient,gradient,L1,10,0.7183698239629016,0.001535386621656589,0.718092958053627,0.7175049960811691,0.7193230606797691,0.7159418865607947,0.721119823386565
constant_neighbor,16,jitter_05,0.05,float64,raw_sph,raw_difference_gradient,gradient,L2,10,0.8215155835012247,0.0018230475187305116,0.8215881434311816,0.8204847510282601,0.8226230209039984,0.8185955799286172,0.8247232744313769
constant_neighbor,16,jitter_05,0.05,float64,raw_sph,raw_difference_gradient,gradient,Linf,10,1.4946314257493427,0.03408973155470856,1.4905568032530865,1.475543556735608,1.5147241727781853,1.4470468002799404,1.5518522086776212
constant_neighbor,16,jitter_05,0.05,float64,raw_sph,raw_kernel_weights,kernel_S0,L2,10,0.009005020750832813,0.0005539204982059725,0.008910871342312911,0.008682579302813936,0.009327461626778144,0.008288990484329605,0.009943686910337122
constant_neighbor,16,jitter_05,0.05,float64,raw_sph,raw_kernel_weights,kernel_S0,Linf,10,0.025239156519548188,0.003138839813454692,0.024042973522296895,0.023512848327301734,0.02713915915179922,0.021556287248150063,0.031135590726250273
constant_neighbor,16,jitter_05,0.05,float64,raw_sph,raw_kernel_weights,kernel_S0,mean_abs,10,0.007261271564103697,0.00046681232346494113,0.007216508870140395,0.006997292641832093,0.007538295582545748,0.006643187086876669,0.008059424825388498
constant_neighbor,16,jitter_05,0.05,float64,raw_sph,raw_kernel_weights,kernel_S1,L2,10,0.001105073647536139,8.275640272192852e-05,0.0010894518207154426,0.001058535101931191,0.0011559300693173842,0.0009945915622532467,0.0012643616723181476
constant_neighbor,16,jitter_05,0.05,float64,raw_sph,raw_kernel_weights,kernel_S1,Linf,10,0.003264284137832135,0.0003545359234051318,0.0031854214588901255,0.0030702255509263846,0.0034877654713813956,0.0028483276385681813,0.003999551397619841
constant_neighbor,16,jitter_05,0.05,float64,raw_sph,raw_kernel_weights,scalar_interpolation,L1,10,0.15556683591148107,0.0009585827534880523,0.15543970528233697,0.15502536632971342,0.15613987849839045,0.1543445442995769,0.15710885890301274
