support_family,layout,jitter_fraction,dtype,candidate,operator_variant,operator,norm,mean_log_error_log_dx_slope,median_log_error_log_dx_slope,mean_endpoint_ratio_64_over_16,median_endpoint_ratio_64_over_16
constant_neighbor,jitter_05,0.05,float64,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_laplacian,Laplacian,Linf,1.8919400633754406,1.8923721184032707,0.07314705970620312,0.0730420323212205
constant_neighbor,jitter_05,0.05,float64,raw_sph,raw_brookshaw_component_laplacian,Laplacian,L1,0.2029453003637565,0.2060297932013495,0.7164432047337024,0.7151740121191258
constant_neighbor,jitter_05,0.05,float64,raw_sph,raw_brookshaw_component_laplacian,Laplacian,L2,0.11387864749009904,0.1176664979961676,0.7997116833555068,0.797106814618976
constant_neighbor,jitter_05,0.05,float64,raw_sph,raw_brookshaw_component_laplacian,Laplacian,Linf,-0.45844891281551875,-0.45000595125276766,1.6357615019460658,1.619782835886208
constant_neighbor,jitter_05,0.05,float64,raw_sph,raw_difference_gradient,divergence,L1,1.7565169905830598,1.7590016994896613,0.08894601808405754,0.08865993885106557
constant_neighbor,jitter_05,0.05,float64,raw_sph,raw_difference_gradient,divergence,L2,1.770644578939024,1.7708299533655671,0.08736083713628254,0.08733350306100052
constant_neighbor,jitter_05,0.05,float64,raw_sph,raw_difference_gradient,divergence,Linf,1.3944178753898828,1.4094448525550611,0.14961041725012802,0.1459405217185169
constant_neighbor,jitter_05,0.05,float64,raw_sph,raw_difference_gradient,gradient,L1,1.8016764380154489,1.8020623035908359,0.08383268578054948,0.08382879110547976
constant_neighbor,jitter_05,0.05,float64,raw_sph,raw_difference_gradient,gradient,L2,1.721278699494843,1.7218837905866506,0.09397174894586542,0.09384987205169971
constant_neighbor,jitter_05,0.05,float64,raw_sph,raw_difference_gradient,gradient,Linf,1.1551823769411937,1.1544461573926532,0.20272765723198335,0.203025048738309
constant_neighbor,jitter_05,0.05,float64,raw_sph,raw_kernel_weights,kernel_S0,L2,-0.011053542825557053,-0.016869489938722664,1.014895123275579,1.0245564503424192
constant_neighbor,jitter_05,0.05,float64,raw_sph,raw_kernel_weights,kernel_S0,Linf,-0.19318867317966804,-0.21315371643452632,1.31999993824389,1.3691513204535397
constant_neighbor,jitter_05,0.05,float64,raw_sph,raw_kernel_weights,kernel_S0,mean_abs,-0.006019484269499442,-0.011047659777591227,1.0079379447388188,1.021833417487584
constant_neighbor,jitter_05,0.05,float64,raw_sph,raw_kernel_weights,kernel_S1,L2,0.9937364441667881,0.9851554388045017,0.2519961803236164,0.25500104929503
constant_neighbor,jitter_05,0.05,float64,raw_sph,raw_kernel_weights,kernel_S1,Linf,0.8570672274594696,0.8466087228159235,0.2995616777033056,0.3047258213673165
constant_neighbor,jitter_05,0.05,float64,raw_sph,raw_kernel_weights,scalar_interpolation,L1,1.9317098017504863,1.9318911602908355,0.06949393626452165,0.06941145840809942
constant_neighbor,jitter_05,0.05,float64,raw_sph,raw_kernel_weights,scalar_interpolation,L2,1.8536239798427088,1.8544334648235765,0.07780343323532689,0.07758372128717726
constant_neighbor,jitter_05,0.05,float64,raw_sph,raw_kernel_weights,scalar_interpolation,Linf,1.299419441291577,1.302306191654024,0.16687469438140645,0.16580091407953684
constant_neighbor,jitter_05,0.05,float64,shepard_normalized,nodewise_S0_normalized_weights,kernel_S0,L2,0.006245657623279105,0.006155708607410413,0.9849818590969273,0.9813485963731375
constant_neighbor,jitter_05,0.05,float64,shepard_normalized,nodewise_S0_normalized_weights,kernel_S0,Linf,-0.18340245581979264,-0.2033671406949237,1.3333333333333333,1.4285714285714286
constant_neighbor,jitter_05,0.05,float64,shepard_normalized,nodewise_S0_normalized_weights,kernel_S0,mean_abs,0.008255334006609166,0.0027079356346483736,0.9777939276485789,0.9834100758396533
constant_neighbor,jitter_05,0.05,float64,shepard_normalized,nodewise_S0_normalized_weights,kernel_S1,L2,0.9939121929352613,0.9848297694381674,0.25191211256334123,0.25511973045745295
constant_neighbor,jitter_05,0.05,float64,shepard_normalized,nodewise_S0_normalized_weights,kernel_S1,Linf,0.8565228439174883,0.837679894356041,0.2999049767000734,0.308326384625686
constant_neighbor,jitter_05,0.05,float64,shepard_normalized,nodewise_S0_normalized_weights,scalar_interpolation,L1,1.9154960540019659,1.9153931587561008,0.07080900214219138,0.07082891375986992
constant_neighbor,jitter_05,0.05,float64,shepard_normalized,nodewise_S0_normalized_weights,scalar_interpolation,L2,1.918933567826224,1.918533618914423,0.07030344757727505,0.07033258512760401
constant_neighbor,jitter_05,0.05,float64,shepard_normalized,nodewise_S0_normalized_weights,scalar_interpolation,Linf,1.8718420109103557,1.8720652702210239,0.07561087837254078,0.07547823969679465
constant_neighbor,jitter_05,0.05,float64,shepard_normalized,nodewise_S0_scaled_brookshaw_laplacian,Laplacian,L1,0.2016078089969584,0.2048505675002761,0.7173966210420272,0.7160822163658487
