point_id,x,y,time,boundary_offset
0,-0.99999999999999,0.371,0.0,1e-14
1,0.99999999999999,0.371,0.0,1e-14
2,0.233,-0.99999999999999,0.0,1e-14
3,0.233,0.99999999999999,0.0,1e-14
4,-0.99999999999999,-0.99999999999999,0.0,1e-14
5,-0.99999999999999,0.99999999999999,0.0,1e-14
6,0.99999999999999,-0.99999999999999,0.0,1e-14
7,0.99999999999999,0.99999999999999,0.0,1e-14
8,-0.99999999999999,0.371,0.1,1e-14
9,0.99999999999999,0.371,0.1,1e-14
10,0.233,-0.99999999999999,0.1,1e-14
11,0.233,0.99999999999999,0.1,1e-14
12,-0.99999999999999,-0.99999999999999,0.1,1e-14
13,-0.99999999999999,0.99999999999999,0.1,1e-14
14,0.99999999999999,-0.99999999999999,0.1,1e-14
15,0.99999999999999,0.99999999999999,0.1,1e-14
16,-0.99999999999999,0.371,0.2,1e-14
17,0.99999999999999,0.371,0.2,1e-14
18,0.233,-0.99999999999999,0.2,1e-14
19,0.233,0.99999999999999,0.2,1e-14
20,-0.99999999999999,-0.99999999999999,0.2,1e-14
21,-0.99999999999999,0.99999999999999,0.2,1e-14
22,0.99999999999999,-0.99999999999999,0.2,1e-14
23,0.99999999999999,0.99999999999999,0.2,1e-14
24,-0.999999999999,0.371,0.0,1e-12
25,0.999999999999,0.371,0.0,1e-12
26,0.233,-0.999999999999,0.0,1e-12
27,0.233,0.999999999999,0.0,1e-12
28,-0.999999999999,-0.999999999999,0.0,1e-12
29,-0.999999999999,0.999999999999,0.0,1e-12
30,0.999999999999,-0.999999999999,0.0,1e-12
31,0.999999999999,0.999999999999,0.0,1e-12
32,-0.999999999999,0.371,0.1,1e-12
33,0.999999999999,0.371,0.1,1e-12
34,0.233,-0.999999999999,0.1,1e-12
35,0.233,0.999999999999,0.1,1e-12
36,-0.999999999999,-0.999999999999,0.1,1e-12
37,-0.999999999999,0.999999999999,0.1,1e-12
38,0.999999999999,-0.999999999999,0.1,1e-12
39,0.999999999999,0.999999999999,0.1,1e-12
40,-0.999999999999,0.371,0.2,1e-12
41,0.999999999999,0.371,0.2,1e-12
42,0.233,-0.999999999999,0.2,1e-12
43,0.233,0.999999999999,0.2,1e-12
44,-0.999999999999,-0.999999999999,0.2,1e-12
45,-0.999999999999,0.999999999999,0.2,1e-12
46,0.999999999999,-0.999999999999,0.2,1e-12
47,0.999999999999,0.999999999999,0.2,1e-12
48,-0.999999999,0.371,0.0,1e-09
49,0.999999999,0.371,0.0,1e-09
50,0.233,-0.999999999,0.0,1e-09
51,0.233,0.999999999,0.0,1e-09
52,-0.999999999,-0.999999999,0.0,1e-09
53,-0.999999999,0.999999999,0.0,1e-09
54,0.999999999,-0.999999999,0.0,1e-09
55,0.999999999,0.999999999,0.0,1e-09
56,-0.999999999,0.371,0.1,1e-09
57,0.999999999,0.371,0.1,1e-09
58,0.233,-0.999999999,0.1,1e-09
59,0.233,0.999999999,0.1,1e-09
60,-0.999999999,-0.999999999,0.1,1e-09
61,-0.999999999,0.999999999,0.1,1e-09
62,0.999999999,-0.999999999,0.1,1e-09
63,0.999999999,0.999999999,0.1,1e-09
64,-0.999999999,0.371,0.2,1e-09
65,0.999999999,0.371,0.2,1e-09
66,0.233,-0.999999999,0.2,1e-09
67,0.233,0.999999999,0.2,1e-09
68,-0.999999999,-0.999999999,0.2,1e-09
69,-0.999999999,0.999999999,0.2,1e-09
70,0.999999999,-0.999999999,0.2,1e-09
71,0.999999999,0.999999999,0.2,1e-09
