solution,resolution,particle_count,initial_volume,minimum_density,maximum_density,minimum_mass,maximum_mass,total_mass,masses_fixed,analytic_density_overwrites_numerical
MMS_A,16,256,0.015625,0.9975951505843609,1.002404849415639,0.015587424227880639,0.01566257577211936,4.0,True,False
MMS_A,32,1024,0.00390625,0.997524018399496,1.002475981600504,0.0038965781968730313,0.003915921803126969,4.0,True,False
MMS_A,64,4096,0.0009765625,0.9975060190916597,1.0024939809083402,0.0009741269717691989,0.000978998028230801,4.0,True,False
MMS_B,16,256,0.015625,0.9975951505843609,1.002404849415639,0.015587424227880639,0.01566257577211936,4.0,True,False
MMS_B,32,1024,0.00390625,0.997524018399496,1.002475981600504,0.0038965781968730313,0.003915921803126969,4.0,True,False
MMS_B,64,4096,0.0009765625,0.9975060190916597,1.0024939809083402,0.0009741269717691989,0.000978998028230801,4.0,True,False
