step,live_tensor_count,live_unique_storage_count,live_total_bytes,current_state_bytes,current_edge_dependent_bytes,current_force_workspace_bytes,monitor_bytes,unknown_live_bytes,old_survivor_bytes,old_survivor_storage_count,inventory_error_count,semantic_current_state_bytes,semantic_current_neighborhood_bytes,semantic_current_density_EOS_bytes,semantic_current_pressure_force_bytes,semantic_current_viscosity_force_bytes,semantic_RK2_midpoint_bytes,semantic_diagnostics_temporary_bytes,semantic_archive_checkpoint_bytes,semantic_memory_monitor_temporary_bytes,semantic_unknown_bytes
25,18,18,4128800,40960,3989536,81920,0,16384,0,0,0,40960,3989536,16384,16384,16384,0,32768,0,0,16384
50,45,45,17563680,106496,14606368,180224,0,2670592,0,0,0,106496,14606368,49152,32768,32768,0,65536,0,0,2670592
75,31,31,12140576,73728,11952160,98304,0,16384,0,0,0,73728,11952160,32768,16384,16384,0,32768,0,0,16384
100,38,38,14860320,73728,11952160,163840,0,2670592,0,0,0,73728,11952160,32768,32768,32768,0,65536,0,0,2670592
125,40,40,20103200,73728,19914784,98304,0,16384,0,0,0,73728,19914784,32768,16384,16384,0,32768,0,0,16384
150,27,27,12091424,40960,11952160,81920,0,16384,0,0,0,40960,11952160,16384,16384,16384,0,32768,0,0,16384
175,27,27,12091424,40960,11952160,81920,0,16384,0,0,0,40960,11952160,16384,16384,16384,0,32768,0,0,16384
200,38,38,14860320,73728,9297952,163840,0,5324800,0,0,0,73728,9297952,32768,32768,32768,0,65536,0,0,5324800
225,21,21,6783008,40960,6643744,81920,0,16384,0,0,0,40960,6643744,16384,16384,16384,0,32768,0,0,16384
250,39,39,12255264,106496,9297952,180224,0,2670592,0,0,0,106496,9297952,49152,32768,32768,0,65536,0,0,2670592
275,48,48,20217888,40960,19914784,245760,0,16384,0,0,0,40960,19914784,49152,49152,49152,0,98304,0,0,16384
300,42,42,14909472,40960,14606368,245760,0,16384,0,0,0,40960,14606368,49152,49152,49152,0,98304,0,0,16384
325,62,62,20398112,106496,19914784,360448,0,16384,0,0,0,106496,19914784,98304,65536,65536,0,131072,0,0,16384
350,61,61,23019552,106496,17260576,327680,0,5324800,0,0,0,106496,17260576,65536,65536,65536,0,131072,0,0,5324800
375,52,52,20283424,106496,14606368,245760,0,5324800,0,0,0,106496,14606368,49152,49152,49152,0,98304,0,0,5324800
400,56,56,20332576,139264,14606368,262144,0,5324800,0,0,0,139264,14606368,65536,49152,49152,0,98304,0,0,5324800
425,52,52,20283424,106496,14606368,245760,0,5324800,0,0,0,106496,14606368,49152,49152,49152,0,98304,0,0,5324800
450,55,55,22937632,106496,17260576,245760,0,5324800,0,0,0,106496,17260576,49152,49152,49152,0,98304,0,0,5324800
475,42,42,14909472,106496,11952160,180224,0,2670592,0,0,0,106496,11952160,49152,32768,32768,0,65536,0,0,2670592
500,52,52,20283424,106496,14606368,245760,0,5324800,0,0,0,106496,14606368,49152,49152,49152,0,98304,0,0,5324800
