step,live_tensor_count,live_unique_storage_count,live_total_bytes,current_state_bytes,current_edge_dependent_bytes,current_force_workspace_bytes,monitor_bytes,unknown_live_bytes,old_survivor_bytes,old_survivor_storage_count,inventory_error_count,semantic_current_state_bytes,semantic_current_neighborhood_bytes,semantic_current_density_EOS_bytes,semantic_current_pressure_force_bytes,semantic_current_viscosity_force_bytes,semantic_RK2_midpoint_bytes,semantic_diagnostics_temporary_bytes,semantic_archive_checkpoint_bytes,semantic_memory_monitor_temporary_bytes,semantic_unknown_bytes
25,62,62,15204384,172032,14606368,409600,0,16384,0,0,0,172032,14606368,81920,81920,81920,0,163840,0,0,16384
50,40,40,9666592,106496,9297952,245760,0,16384,0,0,0,106496,9297952,49152,49152,49152,0,98304,0,0,16384
75,18,18,4128800,40960,3989536,81920,0,16384,0,0,0,40960,3989536,16384,16384,16384,0,32768,0,0,16384
100,51,51,12435488,139264,11952160,327680,0,16384,0,0,0,139264,11952160,65536,65536,65536,0,131072,0,0,16384
125,29,29,6897696,73728,6643744,163840,0,16384,0,0,0,73728,6643744,32768,32768,32768,0,65536,0,0,16384
150,40,40,9666592,106496,9297952,245760,0,16384,0,0,0,106496,9297952,49152,49152,49152,0,98304,0,0,16384
175,51,51,12435488,139264,11952160,327680,0,16384,0,0,0,139264,11952160,65536,65536,65536,0,131072,0,0,16384
200,62,62,15204384,172032,14606368,409600,0,16384,0,0,0,172032,14606368,81920,81920,81920,0,163840,0,0,16384
225,73,73,17973280,204800,17260576,491520,0,16384,0,0,0,204800,17260576,98304,98304,98304,0,196608,0,0,16384
250,18,18,4128800,40960,3989536,81920,0,16384,0,0,0,40960,3989536,16384,16384,16384,0,32768,0,0,16384
275,29,29,6897696,73728,6643744,163840,0,16384,0,0,0,73728,6643744,32768,32768,32768,0,65536,0,0,16384
300,40,40,9666592,106496,9297952,245760,0,16384,0,0,0,106496,9297952,49152,49152,49152,0,98304,0,0,16384
325,51,51,12435488,139264,11952160,327680,0,16384,0,0,0,139264,11952160,65536,65536,65536,0,131072,0,0,16384
350,18,18,4128800,40960,3989536,81920,0,16384,0,0,0,40960,3989536,16384,16384,16384,0,32768,0,0,16384
375,51,51,12435488,139264,11952160,327680,0,16384,0,0,0,139264,11952160,65536,65536,65536,0,131072,0,0,16384
400,29,29,6897696,73728,6643744,163840,0,16384,0,0,0,73728,6643744,32768,32768,32768,0,65536,0,0,16384
425,62,62,15204384,172032,14606368,409600,0,16384,0,0,0,172032,14606368,81920,81920,81920,0,163840,0,0,16384
450,40,40,9666592,106496,9297952,245760,0,16384,0,0,0,106496,9297952,49152,49152,49152,0,98304,0,0,16384
475,62,62,15204384,172032,14606368,409600,0,16384,0,0,0,172032,14606368,81920,81920,81920,0,163840,0,0,16384
500,73,73,17973280,204800,17260576,491520,0,16384,0,0,0,204800,17260576,98304,98304,98304,0,196608,0,0,16384
