step,live_tensor_count,live_unique_storage_count,live_total_bytes,current_state_bytes,current_edge_dependent_bytes,current_force_workspace_bytes,monitor_bytes,unknown_live_bytes,old_survivor_bytes,old_survivor_storage_count,inventory_error_count,semantic_current_state_bytes,semantic_current_neighborhood_bytes,semantic_current_density_EOS_bytes,semantic_current_pressure_force_bytes,semantic_current_viscosity_force_bytes,semantic_RK2_midpoint_bytes,semantic_diagnostics_temporary_bytes,semantic_archive_checkpoint_bytes,semantic_memory_monitor_temporary_bytes,semantic_unknown_bytes
25,368,368,139706400,860160,70344736,2129920,0,66371584,0,0,0,860160,70344736,425984,425984,425984,0,851968,0,0,66371584
50,718,718,275284000,1679360,136699936,4177920,0,132726784,0,0,0,1679360,136699936,835584,835584,835584,0,1671168,0,0,132726784
75,1068,1068,410861600,2498560,203055136,6225920,0,199081984,0,0,0,2498560,203055136,1245184,1245184,1245184,0,2490368,0,0,199081984
100,1418,1418,546439200,3317760,269410336,8273920,0,265437184,0,0,0,3317760,269410336,1654784,1654784,1654784,0,3309568,0,0,265437184
125,1768,1768,682016800,4136960,335765536,10321920,0,331792384,0,0,0,4136960,335765536,2064384,2064384,2064384,0,4128768,0,0,331792384
150,2118,2118,817594400,4956160,402120736,12369920,0,398147584,0,0,0,4956160,402120736,2473984,2473984,2473984,0,4947968,0,0,398147584
175,2468,2468,953172000,5775360,468475936,14417920,0,464502784,0,0,0,5775360,468475936,2883584,2883584,2883584,0,5767168,0,0,464502784
200,2818,2818,1088749600,6594560,534831136,16465920,0,530857984,0,0,0,6594560,534831136,3293184,3293184,3293184,0,6586368,0,0,530857984
225,3168,3168,1224327200,7413760,601186336,18513920,0,597213184,0,0,0,7413760,601186336,3702784,3702784,3702784,0,7405568,0,0,597213184
250,3518,3518,1359904800,8232960,667541536,20561920,0,663568384,0,0,0,8232960,667541536,4112384,4112384,4112384,0,8224768,0,0,663568384
275,3868,3868,1495482400,9052160,733896736,22609920,0,729923584,0,0,0,9052160,733896736,4521984,4521984,4521984,0,9043968,0,0,729923584
300,4218,4218,1631060000,9871360,800251936,24657920,0,796278784,0,0,0,9871360,800251936,4931584,4931584,4931584,0,9863168,0,0,796278784
325,4568,4568,1766637600,10690560,866607136,26705920,0,862633984,0,0,0,10690560,866607136,5341184,5341184,5341184,0,10682368,0,0,862633984
350,4918,4918,1902215200,11509760,932962336,28753920,0,928989184,0,0,0,11509760,932962336,5750784,5750784,5750784,0,11501568,0,0,928989184
375,5268,5268,2037792800,12328960,999317536,30801920,0,995344384,0,0,0,12328960,999317536,6160384,6160384,6160384,0,12320768,0,0,995344384
400,5618,5618,2173370400,13148160,1065672736,32849920,0,1061699584,0,0,0,13148160,1065672736,6569984,6569984,6569984,0,13139968,0,0,1061699584
425,5968,5968,2308948000,13967360,1132027936,34897920,0,1128054784,0,0,0,13967360,1132027936,6979584,6979584,6979584,0,13959168,0,0,1128054784
450,6318,6318,2444525600,14786560,1198383136,36945920,0,1194409984,0,0,0,14786560,1198383136,7389184,7389184,7389184,0,14778368,0,0,1194409984
475,6668,6668,2580103200,15605760,1264738336,38993920,0,1260765184,0,0,0,15605760,1264738336,7798784,7798784,7798784,0,15597568,0,0,1260765184
500,7018,7018,2715680800,16424960,1331093536,41041920,0,1327120384,0,0,0,16424960,1331093536,8208384,8208384,8208384,0,16416768,0,0,1327120384
525,7368,7368,2851258400,17244160,1397448736,43089920,0,1393475584,0,0,0,17244160,1397448736,8617984,8617984,8617984,0,17235968,0,0,1393475584
550,7718,7718,2986836000,18063360,1463803936,45137920,0,1459830784,0,0,0,18063360,1463803936,9027584,9027584,9027584,0,18055168,0,0,1459830784
575,8068,8068,3122413600,18882560,1530159136,47185920,0,1526185984,0,0,0,18882560,1530159136,9437184,9437184,9437184,0,18874368,0,0,1526185984
600,8418,8418,3257991200,19701760,1596514336,49233920,0,1592541184,0,0,0,19701760,1596514336,9846784,9846784,9846784,0,19693568,0,0,1592541184
625,8768,8768,3393568800,20520960,1662869536,51281920,0,1658896384,0,0,0,20520960,1662869536,10256384,10256384,10256384,0,20512768,0,0,1658896384
650,9118,9118,3529146400,21340160,1729224736,53329920,0,1725251584,0,0,0,21340160,1729224736,10665984,10665984,10665984,0,21331968,0,0,1725251584
675,9468,9468,3664724000,22159360,1795579936,55377920,0,1791606784,0,0,0,22159360,1795579936,11075584,11075584,11075584,0,22151168,0,0,1791606784
700,9818,9818,3800301600,22978560,1861935136,57425920,0,1857961984,0,0,0,22978560,1861935136,11485184,11485184,11485184,0,22970368,0,0,1857961984
725,10168,10168,3935879200,23797760,1928290336,59473920,0,1924317184,0,0,0,23797760,1928290336,11894784,11894784,11894784,0,23789568,0,0,1924317184
750,10518,10518,4071456800,24616960,1994645536,61521920,0,1990672384,0,0,0,24616960,1994645536,12304384,12304384,12304384,0,24608768,0,0,1990672384
775,10868,10868,4207034400,25436160,2061000736,63569920,0,2057027584,0,0,0,25436160,2061000736,12713984,12713984,12713984,0,25427968,0,0,2057027584
800,11218,11218,4342612000,26255360,2127355936,65617920,0,2123382784,0,0,0,26255360,2127355936,13123584,13123584,13123584,0,26247168,0,0,2123382784
825,11568,11568,4478189600,27074560,2193711136,67665920,0,2189737984,0,0,0,27074560,2193711136,13533184,13533184,13533184,0,27066368,0,0,2189737984
850,11918,11918,4613767200,27893760,2260066336,69713920,0,2256093184,0,0,0,27893760,2260066336,13942784,13942784,13942784,0,27885568,0,0,2256093184
875,12268,12268,4749344800,28712960,2326421536,71761920,0,2322448384,0,0,0,28712960,2326421536,14352384,14352384,14352384,0,28704768,0,0,2322448384
900,12618,12618,4884922400,29532160,2392776736,73809920,0,2388803584,0,0,0,29532160,2392776736,14761984,14761984,14761984,0,29523968,0,0,2388803584
925,12968,12968,5020500000,30351360,2459131936,75857920,0,2455158784,0,0,0,30351360,2459131936,15171584,15171584,15171584,0,30343168,0,0,2455158784
950,13318,13318,5156077600,31170560,2525487136,77905920,0,2521513984,0,0,0,31170560,2525487136,15581184,15581184,15581184,0,31162368,0,0,2521513984
975,13668,13668,5291655200,31989760,2591842336,79953920,0,2587869184,0,0,0,31989760,2591842336,15990784,15990784,15990784,0,31981568,0,0,2587869184
1000,14018,14018,5427232800,32808960,2658197536,82001920,0,2654224384,0,0,0,32808960,2658197536,16400384,16400384,16400384,0,32800768,0,0,2654224384
1025,14368,14368,5562810400,33628160,2724552736,84049920,0,2720579584,0,0,0,33628160,2724552736,16809984,16809984,16809984,0,33619968,0,0,2720579584
1050,14718,14718,5698388000,34447360,2790907936,86097920,0,2786934784,0,0,0,34447360,2790907936,17219584,17219584,17219584,0,34439168,0,0,2786934784
1075,15068,15068,5833965600,35266560,2857263136,88145920,0,2853289984,0,0,0,35266560,2857263136,17629184,17629184,17629184,0,35258368,0,0,2853289984
1100,15418,15418,5969543200,36085760,2923618336,90193920,0,2919645184,0,0,0,36085760,2923618336,18038784,18038784,18038784,0,36077568,0,0,2919645184
1125,15768,15768,6105120800,36904960,2989973536,92241920,0,2986000384,0,0,0,36904960,2989973536,18448384,18448384,18448384,0,36896768,0,0,2986000384
1150,16118,16118,6240698400,37724160,3056328736,94289920,0,3052355584,0,0,0,37724160,3056328736,18857984,18857984,18857984,0,37715968,0,0,3052355584
1175,16468,16468,6376276000,38543360,3122683936,96337920,0,3118710784,0,0,0,38543360,3122683936,19267584,19267584,19267584,0,38535168,0,0,3118710784
1200,16818,16818,6511853600,39362560,3189039136,98385920,0,3185065984,0,0,0,39362560,3189039136,19677184,19677184,19677184,0,39354368,0,0,3185065984
1225,17168,17168,6647431200,40181760,3255394336,100433920,0,3251421184,0,0,0,40181760,3255394336,20086784,20086784,20086784,0,40173568,0,0,3251421184
1250,17518,17518,6783008800,41000960,3321749536,102481920,0,3317776384,0,0,0,41000960,3321749536,20496384,20496384,20496384,0,40992768,0,0,3317776384
1275,17868,17868,6918586400,41820160,3388104736,104529920,0,3384131584,0,0,0,41820160,3388104736,20905984,20905984,20905984,0,41811968,0,0,3384131584
1300,18218,18218,7054164000,42639360,3454459936,106577920,0,3450486784,0,0,0,42639360,3454459936,21315584,21315584,21315584,0,42631168,0,0,3450486784
1325,18568,18568,7189741600,43458560,3520815136,108625920,0,3516841984,0,0,0,43458560,3520815136,21725184,21725184,21725184,0,43450368,0,0,3516841984
1350,18918,18918,7325319200,44277760,3587170336,110673920,0,3583197184,0,0,0,44277760,3587170336,22134784,22134784,22134784,0,44269568,0,0,3583197184
1375,19268,19268,7460896800,45096960,3653525536,112721920,0,3649552384,0,0,0,45096960,3653525536,22544384,22544384,22544384,0,45088768,0,0,3649552384
1400,19618,19618,7596474400,45916160,3719880736,114769920,0,3715907584,0,0,0,45916160,3719880736,22953984,22953984,22953984,0,45907968,0,0,3715907584
1425,19968,19968,7732052000,46735360,3786235936,116817920,0,3782262784,0,0,0,46735360,3786235936,23363584,23363584,23363584,0,46727168,0,0,3782262784
1450,20318,20318,7867629600,47554560,3852591136,118865920,0,3848617984,0,0,0,47554560,3852591136,23773184,23773184,23773184,0,47546368,0,0,3848617984
1475,20668,20668,8003207200,48373760,3918946336,120913920,0,3914973184,0,0,0,48373760,3918946336,24182784,24182784,24182784,0,48365568,0,0,3914973184
1500,21018,21018,8138784800,49192960,3985301536,122961920,0,3981328384,0,0,0,49192960,3985301536,24592384,24592384,24592384,0,49184768,0,0,3981328384
1525,21368,21368,8274362400,50012160,4051656736,125009920,0,4047683584,0,0,0,50012160,4051656736,25001984,25001984,25001984,0,50003968,0,0,4047683584
1550,21718,21718,8409940000,50831360,4118011936,127057920,0,4114038784,0,0,0,50831360,4118011936,25411584,25411584,25411584,0,50823168,0,0,4114038784
1575,22068,22068,8545517600,51650560,4184367136,129105920,0,4180393984,0,0,0,51650560,4184367136,25821184,25821184,25821184,0,51642368,0,0,4180393984
1600,22418,22418,8681095200,52469760,4250722336,131153920,0,4246749184,0,0,0,52469760,4250722336,26230784,26230784,26230784,0,52461568,0,0,4246749184
1625,22768,22768,8816672800,53288960,4317077536,133201920,0,4313104384,0,0,0,53288960,4317077536,26640384,26640384,26640384,0,53280768,0,0,4313104384
1650,23118,23118,8952250400,54108160,4383432736,135249920,0,4379459584,0,0,0,54108160,4383432736,27049984,27049984,27049984,0,54099968,0,0,4379459584
1675,23468,23468,9087828000,54927360,4449787936,137297920,0,4445814784,0,0,0,54927360,4449787936,27459584,27459584,27459584,0,54919168,0,0,4445814784
1700,23818,23818,9223405600,55746560,4516143136,139345920,0,4512169984,0,0,0,55746560,4516143136,27869184,27869184,27869184,0,55738368,0,0,4512169984
1725,24168,24168,9358983200,56565760,4582498336,141393920,0,4578525184,0,0,0,56565760,4582498336,28278784,28278784,28278784,0,56557568,0,0,4578525184
1750,24518,24518,9494560800,57384960,4648853536,143441920,0,4644880384,0,0,0,57384960,4648853536,28688384,28688384,28688384,0,57376768,0,0,4644880384
1775,24868,24868,9630138400,58204160,4715208736,145489920,0,4711235584,0,0,0,58204160,4715208736,29097984,29097984,29097984,0,58195968,0,0,4711235584
1800,25218,25218,9765716000,59023360,4781563936,147537920,0,4777590784,0,0,0,59023360,4781563936,29507584,29507584,29507584,0,59015168,0,0,4777590784
1825,25568,25568,9901293600,59842560,4847919136,149585920,0,4843945984,0,0,0,59842560,4847919136,29917184,29917184,29917184,0,59834368,0,0,4843945984
1850,25918,25918,10036871200,60661760,4914274336,151633920,0,4910301184,0,0,0,60661760,4914274336,30326784,30326784,30326784,0,60653568,0,0,4910301184
