step,live_tensor_count,live_unique_storage_count,live_total_bytes,current_state_bytes,current_edge_dependent_bytes,current_force_workspace_bytes,monitor_bytes,unknown_live_bytes,old_survivor_bytes,old_survivor_storage_count,inventory_error_count,semantic_current_state_bytes,semantic_current_neighborhood_bytes,semantic_current_density_EOS_bytes,semantic_current_pressure_force_bytes,semantic_current_viscosity_force_bytes,semantic_RK2_midpoint_bytes,semantic_diagnostics_temporary_bytes,semantic_archive_checkpoint_bytes,semantic_memory_monitor_temporary_bytes,semantic_unknown_bytes
25,21,21,6783008,40960,3989536,81920,0,2670592,0,0,0,40960,3989536,16384,16384,16384,0,32768,0,0,2670592
50,47,47,17596448,73728,14606368,245760,0,2670592,0,0,0,73728,14606368,49152,49152,49152,0,98304,0,0,2670592
75,26,26,4227104,106496,3989536,114688,0,16384,0,0,0,106496,3989536,49152,16384,16384,0,32768,0,0,16384
100,32,32,9551904,73728,6643744,163840,0,2670592,0,0,0,73728,6643744,32768,32768,32768,0,65536,0,0,2670592
125,26,26,4227104,106496,3989536,114688,0,16384,0,0,0,106496,3989536,49152,16384,16384,0,32768,0,0,16384
150,32,32,9551904,73728,6643744,163840,0,2670592,0,0,0,73728,6643744,32768,32768,32768,0,65536,0,0,2670592
175,18,18,4128800,40960,3989536,81920,0,16384,0,0,0,40960,3989536,16384,16384,16384,0,32768,0,0,16384
200,38,38,14860320,73728,9297952,163840,0,5324800,0,0,0,73728,9297952,32768,32768,32768,0,65536,0,0,5324800
225,26,26,4227104,106496,3989536,114688,0,16384,0,0,0,106496,3989536,49152,16384,16384,0,32768,0,0,16384
250,50,50,15007776,172032,11952160,212992,0,2670592,0,0,0,172032,11952160,81920,32768,32768,0,65536,0,0,2670592
275,31,31,12140576,73728,11952160,98304,0,16384,0,0,0,73728,11952160,32768,16384,16384,0,32768,0,0,16384
300,34,34,9568288,73728,9297952,180224,0,16384,0,0,0,73728,9297952,49152,32768,32768,0,65536,0,0,16384
325,57,57,17711136,139264,17260576,294912,0,16384,0,0,0,139264,17260576,98304,49152,49152,0,98304,0,0,16384
350,53,53,17678368,139264,11952160,262144,0,5324800,0,0,0,139264,11952160,65536,49152,49152,0,98304,0,0,5324800
375,49,49,17629216,106496,11952160,245760,0,5324800,0,0,0,106496,11952160,49152,49152,49152,0,98304,0,0,5324800
400,53,53,17678368,139264,11952160,262144,0,5324800,0,0,0,139264,11952160,65536,49152,49152,0,98304,0,0,5324800
425,42,42,14909472,106496,11952160,180224,0,2670592,0,0,0,106496,11952160,49152,32768,32768,0,65536,0,0,2670592
450,59,59,22986784,139264,17260576,262144,0,5324800,0,0,0,139264,17260576,65536,49152,49152,0,98304,0,0,5324800
475,52,52,20283424,106496,14606368,245760,0,5324800,0,0,0,106496,14606368,49152,49152,49152,0,98304,0,0,5324800
500,38,38,14860320,73728,11952160,163840,0,2670592,0,0,0,73728,11952160,32768,32768,32768,0,65536,0,0,2670592
525,55,55,22937632,106496,17260576,245760,0,5324800,0,0,0,106496,17260576,49152,49152,49152,0,98304,0,0,5324800
