step,live_tensor_count,live_unique_storage_count,live_total_bytes,current_state_bytes,current_edge_dependent_bytes,current_force_workspace_bytes,monitor_bytes,unknown_live_bytes,old_survivor_bytes,old_survivor_storage_count,inventory_error_count,semantic_current_state_bytes,semantic_current_neighborhood_bytes,semantic_current_density_EOS_bytes,semantic_current_pressure_force_bytes,semantic_current_viscosity_force_bytes,semantic_RK2_midpoint_bytes,semantic_diagnostics_temporary_bytes,semantic_archive_checkpoint_bytes,semantic_memory_monitor_temporary_bytes,semantic_unknown_bytes
25,18,18,4128800,40960,3989536,81920,0,16384,0,0,0,40960,3989536,16384,16384,16384,0,32768,0,0,16384
50,47,47,17596448,73728,14606368,245760,0,2670592,0,0,0,73728,14606368,49152,49152,49152,0,98304,0,0,2670592
75,29,29,6881312,106496,6643744,114688,0,16384,0,0,0,106496,6643744,49152,16384,16384,0,32768,0,0,16384
100,28,28,9486368,73728,6643744,98304,0,2670592,0,0,0,73728,6643744,32768,16384,16384,0,32768,0,0,2670592
125,41,41,14884896,73728,11952160,188416,0,2670592,0,0,0,73728,11952160,57344,32768,32768,0,65536,0,0,2670592
150,25,25,6832160,73728,6643744,98304,0,16384,0,0,0,73728,6643744,32768,16384,16384,0,32768,0,0,16384
175,25,25,6832160,73728,6643744,98304,0,16384,0,0,0,73728,6643744,32768,16384,16384,0,32768,0,0,16384
200,38,38,14860320,73728,11952160,163840,0,2670592,0,0,0,73728,11952160,32768,32768,32768,0,65536,0,0,2670592
225,26,26,4227104,106496,3989536,114688,0,16384,0,0,0,106496,3989536,49152,16384,16384,0,32768,0,0,16384
250,60,60,17752096,172032,14606368,303104,0,2670592,0,0,0,172032,14606368,106496,49152,49152,0,98304,0,0,2670592
275,37,37,12222496,73728,11952160,180224,0,16384,0,0,0,73728,11952160,49152,32768,32768,0,65536,0,0,16384
300,39,39,12255264,40960,11952160,245760,0,16384,0,0,0,40960,11952160,49152,49152,49152,0,98304,0,0,16384
325,60,60,20381728,40960,19914784,409600,0,16384,0,0,0,40960,19914784,81920,81920,81920,0,163840,0,0,16384
350,58,58,20365344,106496,14606368,327680,0,5324800,0,0,0,106496,14606368,65536,65536,65536,0,131072,0,0,5324800
375,49,49,17629216,106496,11952160,245760,0,5324800,0,0,0,106496,11952160,49152,49152,49152,0,98304,0,0,5324800
400,53,53,17678368,139264,11952160,262144,0,5324800,0,0,0,139264,11952160,65536,49152,49152,0,98304,0,0,5324800
425,44,44,14942240,73728,11952160,245760,0,2670592,0,0,0,73728,11952160,49152,49152,49152,0,98304,0,0,2670592
450,61,61,23019552,106496,17260576,327680,0,5324800,0,0,0,106496,17260576,65536,65536,65536,0,131072,0,0,5324800
475,48,48,14991392,106496,11952160,262144,0,2670592,0,0,0,106496,11952160,65536,49152,49152,0,98304,0,0,2670592
500,49,49,17629216,106496,11952160,245760,0,5324800,0,0,0,106496,11952160,49152,49152,49152,0,98304,0,0,5324800
525,42,42,14909472,106496,11952160,180224,0,2670592,0,0,0,106496,11952160,49152,32768,32768,0,65536,0,0,2670592
550,49,49,17629216,106496,11952160,245760,0,5324800,0,0,0,106496,11952160,49152,49152,49152,0,98304,0,0,5324800
575,42,42,14909472,106496,11952160,180224,0,2670592,0,0,0,106496,11952160,49152,32768,32768,0,65536,0,0,2670592
600,47,47,17596448,73728,14606368,245760,0,2670592,0,0,0,73728,14606368,49152,49152,49152,0,98304,0,0,2670592
625,73,73,28409888,106496,22568992,409600,0,5324800,0,0,0,106496,22568992,81920,81920,81920,0,163840,0,0,5324800
650,38,38,14860320,73728,11952160,163840,0,2670592,0,0,0,73728,11952160,32768,32768,32768,0,65536,0,0,2670592
675,52,52,20283424,106496,14606368,245760,0,5324800,0,0,0,106496,14606368,49152,49152,49152,0,98304,0,0,5324800
700,49,49,17612832,139264,14606368,196608,0,2670592,0,0,0,139264,14606368,65536,32768,32768,0,65536,0,0,2670592
725,52,52,20283424,106496,14606368,245760,0,5324800,0,0,0,106496,14606368,49152,49152,49152,0,98304,0,0,5324800
750,49,49,17612832,139264,14606368,196608,0,2670592,0,0,0,139264,14606368,65536,32768,32768,0,65536,0,0,2670592
775,52,52,20283424,106496,14606368,245760,0,5324800,0,0,0,106496,14606368,49152,49152,49152,0,98304,0,0,5324800
800,38,38,14860320,73728,11952160,163840,0,2670592,0,0,0,73728,11952160,32768,32768,32768,0,65536,0,0,2670592
825,53,53,22904864,73728,19914784,245760,0,2670592,0,0,0,73728,19914784,49152,49152,49152,0,98304,0,0,2670592
850,52,52,20283424,106496,14606368,245760,0,5324800,0,0,0,106496,14606368,49152,49152,49152,0,98304,0,0,5324800
875,38,38,14860320,73728,11952160,163840,0,2670592,0,0,0,73728,11952160,32768,32768,32768,0,65536,0,0,2670592
900,51,51,17645600,106496,14606368,262144,0,2670592,0,0,0,106496,14606368,65536,49152,49152,0,98304,0,0,2670592
925,64,64,20430880,139264,17260576,360448,0,2670592,0,0,0,139264,17260576,98304,65536,65536,0,131072,0,0,2670592
950,38,38,14860320,73728,11952160,163840,0,2670592,0,0,0,73728,11952160,32768,32768,32768,0,65536,0,0,2670592
975,38,38,14860320,73728,11952160,163840,0,2670592,0,0,0,73728,11952160,32768,32768,32768,0,65536,0,0,2670592
1000,38,38,14860320,73728,11952160,163840,0,2670592,0,0,0,73728,11952160,32768,32768,32768,0,65536,0,0,2670592
1025,38,38,14860320,73728,11952160,163840,0,2670592,0,0,0,73728,11952160,32768,32768,32768,0,65536,0,0,2670592
1050,38,38,14860320,73728,11952160,163840,0,2670592,0,0,0,73728,11952160,32768,32768,32768,0,65536,0,0,2670592
1075,51,51,17645600,106496,14606368,262144,0,2670592,0,0,0,106496,14606368,65536,49152,49152,0,98304,0,0,2670592
1100,38,38,14860320,73728,11952160,163840,0,2670592,0,0,0,73728,11952160,32768,32768,32768,0,65536,0,0,2670592
1125,38,38,14860320,73728,11952160,163840,0,2670592,0,0,0,73728,11952160,32768,32768,32768,0,65536,0,0,2670592
1150,38,38,14860320,73728,11952160,163840,0,2670592,0,0,0,73728,11952160,32768,32768,32768,0,65536,0,0,2670592
1175,41,41,17514528,73728,14606368,163840,0,2670592,0,0,0,73728,14606368,32768,32768,32768,0,65536,0,0,2670592
1200,51,51,17645600,106496,14606368,262144,0,2670592,0,0,0,106496,14606368,65536,49152,49152,0,98304,0,0,2670592
1225,64,64,20430880,139264,17260576,360448,0,2670592,0,0,0,139264,17260576,98304,65536,65536,0,131072,0,0,2670592
1250,38,38,14860320,73728,11952160,163840,0,2670592,0,0,0,73728,11952160,32768,32768,32768,0,65536,0,0,2670592
1275,38,38,14860320,73728,11952160,163840,0,2670592,0,0,0,73728,11952160,32768,32768,32768,0,65536,0,0,2670592
1300,41,41,17514528,73728,14606368,163840,0,2670592,0,0,0,73728,14606368,32768,32768,32768,0,65536,0,0,2670592
