step,live_tensor_count,live_unique_storage_count,live_total_bytes,current_state_bytes,current_edge_dependent_bytes,current_force_workspace_bytes,monitor_bytes,unknown_live_bytes,old_survivor_bytes,old_survivor_storage_count,inventory_error_count,semantic_current_state_bytes,semantic_current_neighborhood_bytes,semantic_current_density_EOS_bytes,semantic_current_pressure_force_bytes,semantic_current_viscosity_force_bytes,semantic_RK2_midpoint_bytes,semantic_diagnostics_temporary_bytes,semantic_archive_checkpoint_bytes,semantic_memory_monitor_temporary_bytes,semantic_unknown_bytes
25,18,18,4128800,40960,3989536,81920,0,16384,0,0,0,40960,3989536,16384,16384,16384,0,32768,0,0,16384
50,45,45,17563680,106496,14606368,180224,0,2670592,0,0,0,106496,14606368,49152,32768,32768,0,65536,0,0,2670592
75,28,28,9486368,73728,9297952,98304,0,16384,0,0,0,73728,9297952,32768,16384,16384,0,32768,0,0,16384
100,24,24,9437216,40960,6643744,81920,0,2670592,0,0,0,40960,6643744,16384,16384,16384,0,32768,0,0,2670592
125,51,51,17645600,106496,14606368,262144,0,2670592,0,0,0,106496,14606368,65536,49152,49152,0,98304,0,0,2670592
150,21,21,6783008,40960,6643744,81920,0,16384,0,0,0,40960,6643744,16384,16384,16384,0,32768,0,0,16384
175,21,21,6783008,40960,6643744,81920,0,16384,0,0,0,40960,6643744,16384,16384,16384,0,32768,0,0,16384
200,38,38,14860320,73728,9297952,163840,0,5324800,0,0,0,73728,9297952,32768,32768,32768,0,65536,0,0,5324800
225,26,26,4227104,106496,3989536,114688,0,16384,0,0,0,106496,3989536,49152,16384,16384,0,32768,0,0,16384
250,59,59,15130656,139264,11952160,368640,0,2670592,0,0,0,139264,11952160,106496,65536,65536,0,131072,0,0,2670592
275,33,33,12173344,40960,11952160,163840,0,16384,0,0,0,40960,11952160,32768,32768,32768,0,65536,0,0,16384
300,29,29,6881312,106496,6643744,114688,0,16384,0,0,0,106496,6643744,49152,16384,16384,0,32768,0,0,16384
325,54,54,17670176,106496,17260576,286720,0,16384,0,0,0,106496,17260576,90112,49152,49152,0,98304,0,0,16384
350,58,58,20365344,106496,14606368,327680,0,5324800,0,0,0,106496,14606368,65536,65536,65536,0,131072,0,0,5324800
375,49,49,17629216,106496,11952160,245760,0,5324800,0,0,0,106496,11952160,49152,49152,49152,0,98304,0,0,5324800
400,53,53,17678368,139264,11952160,262144,0,5324800,0,0,0,139264,11952160,65536,49152,49152,0,98304,0,0,5324800
425,49,49,17629216,106496,11952160,245760,0,5324800,0,0,0,106496,11952160,49152,49152,49152,0,98304,0,0,5324800
450,52,52,20283424,106496,14606368,245760,0,5324800,0,0,0,106496,14606368,49152,49152,49152,0,98304,0,0,5324800
475,49,49,17629216,106496,11952160,245760,0,5324800,0,0,0,106496,11952160,49152,49152,49152,0,98304,0,0,5324800
500,35,35,12206112,73728,9297952,163840,0,2670592,0,0,0,73728,9297952,32768,32768,32768,0,65536,0,0,2670592
