run_id,N,H_over_dx,dt,lambda_num,lambda_exact,lambda_fit_standard_error,lambda_evaluator_difference,nu_eff,nu_exact,nu_eff_standard_error,relative_viscosity_bias,bias_direction,r_squared,amplitude_sample_count
g_shear_n24,24,4.5,6.25e-05,0.7329753195959822,0.7895683520871487,6.36302938021497e-06,0.0,0.01856648174052143,0.02,1.6117741708858794e-07,-0.07167591297392843,LOW,0.9999999996985542,6
g_shear_n32,32,5.049509756796392,6.25e-05,0.7488261562123357,0.7895683520871487,8.984177989771021e-07,0.0,0.018967988122443998,0.02,2.2757188699425965e-08,-0.051600593877800145,LOW,0.9999999999942423,6
g_shear_n48,48,5.5,6.25e-05,0.7675003088497818,0.7895683520871487,6.164268456102054e-07,0.0,0.019441009934629928,0.02,1.5614274406534656e-08,-0.027949503268503637,LOW,0.9999999999974197,6
