metric,E_total,E_time,E_time_absolute,E_space,E_operator,closure_sum,closure_defect,time_fraction_absolute,space_fraction_signed,unresolved_n48_fraction,interpretation
velocity_relative_l2,0.008181511186500465,4.14076967159005e-11,4.14076967159005e-11,0.0037581451806010125,0.004423365964491756,0.008181511186500465,0.0,5.061130611692301e-09,0.4593460908300133,0.540653904108856,"E_operator is an unresolved N48 residual upper bound, not operator-form confirmation"
position_relative_l2,0.0039775381137407235,-2.548592578296982e-10,2.548592578296982e-10,0.0018258155960139632,0.002151722772586018,0.0039775381137407235,0.0,6.407462368475277e-08,0.45903157777584513,0.5409684862987786,"E_operator is an unresolved N48 residual upper bound, not operator-form confirmation"
decay_rate_relative_error,0.05160059387780028,2.5970037231815013e-10,2.5970037231815013e-10,0.02365109034959615,0.027949503268503754,0.05160059387780028,0.0,5.032895027006249e-09,0.45834918887961434,0.5416508060874906,"E_operator is an unresolved N48 residual upper bound, not operator-form confirmation"
amplitude_bias,0.008181501113291523,4.1356473801101856e-11,4.1356473801101856e-11,0.0037581410731633014,0.004423359998771748,0.008181501113291523,0.0,5.054876021946004e-09,0.4593461543454283,0.5406538405996957,"E_operator is an unresolved N48 residual upper bound, not operator-form confirmation"
