panel,graph_degree_mean,graph_degree_std,lineage,mode_count,model_residual_raw_RMSE,oracle_coefficient_RMS,origin,raw_target_RMS,record_id,run_id,source_RMS,temporal_phase_fraction,variant,tangent_fraction,classification
a-e,20.0,0.0,HET_S2_01,3,3.121055884119149,0.04954403495941593,28,3.6819484555296027,HET_S2_01_LOW_N8_O28,D3_seed20700711,7.158284747795547,0.890625,LOW,,
a-e,20.0,0.0,HET_S2_01,3,3.04344614349442,0.04954403495941593,29,3.5895733016959204,HET_S2_01_LOW_N8_O29,D3_seed20700711,7.01326821492438,0.921875,LOW,,
a-e,20.0,0.0,HET_S2_01,3,2.964315229768354,0.04954403495941593,30,3.4951459391242117,HET_S2_01_LOW_N8_O30,D3_seed20700711,6.865903718098329,0.953125,LOW,,
a-e,20.0,0.0,HET_S2_01,3,2.8837501418495313,0.04954403495941593,31,3.39873401778701,HET_S2_01_LOW_N8_O31,D3_seed20700711,6.7164344220510515,0.984375,LOW,,
a-e,20.0,0.0,HET_S2_01,3,5.947830249558843,0.04954403495941593,0,6.971763033490257,HET_S2_01_MAIN_N8_O00,D3_seed20700711,12.844046733018544,0.015625,MAIN,,
a-e,20.0,0.0,HET_S2_01,3,5.927285799698806,0.04954403495941593,1,6.950529989657087,HET_S2_01_MAIN_N8_O01,D3_seed20700711,12.813230670578001,0.046875,MAIN,,
a-e,20.0,0.0,HET_S2_01,3,5.903263408289414,0.04954403495941593,2,6.92513683690806,HET_S2_01_MAIN_N8_O02,D3_seed20700711,12.775298952009642,0.078125,MAIN,,
a-e,20.0,0.0,HET_S2_01,3,5.875778144152487,0.04954403495941593,3,6.8955996228875716,HET_S2_01_MAIN_N8_O03,D3_seed20700711,12.730285428987237,0.109375,MAIN,,
a-e,20.0,0.0,HET_S2_01,3,5.844862030297177,0.04954403495941593,4,6.8619370190130375,HET_S2_01_MAIN_N8_O04,D3_seed20700711,12.678230360103823,0.140625,MAIN,,
a-e,20.0,0.0,HET_S2_01,3,5.810523892811389,0.04954403495941593,5,6.824170313594948,HET_S2_01_MAIN_N8_O05,D3_seed20700711,12.619180465492802,0.171875,MAIN,,
a-e,20.0,0.0,HET_S2_01,3,5.772800053561265,0.04954403495941593,6,6.782323404179703,HET_S2_01_MAIN_N8_O06,D3_seed20700711,12.553188992162477,0.203125,MAIN,,
a-e,20.0,0.0,HET_S2_01,3,5.731713803849152,0.04954403495941593,7,6.736422789209727,HET_S2_01_MAIN_N8_O07,D3_seed20700711,12.480315791088945,0.234375,MAIN,,
a-e,20.0,0.0,HET_S2_01,3,5.687280278702719,0.04954403495941593,8,6.6864975591149935,HET_S2_01_MAIN_N8_O08,D3_seed20700711,12.400627407303862,0.265625,MAIN,,
a-e,20.0,0.0,HET_S2_01,3,5.6395416267538865,0.04954403495941593,9,6.632579386968378,HET_S2_01_MAIN_N8_O09,D3_seed20700711,12.314197184426874,0.296875,MAIN,,
a-e,20.0,0.0,HET_S2_01,3,5.588538590588494,0.04954403495941593,10,6.574702518858188,HET_S2_01_MAIN_N8_O10,D3_seed20700711,12.221105385330725,0.328125,MAIN,,
a-e,20.0,0.0,HET_S2_01,3,5.534286038783461,0.04954403495941593,11,6.51290376416274,HET_S2_01_MAIN_N8_O11,D3_seed20700711,12.121439330895353,0.359375,MAIN,,
a-e,20.0,0.0,HET_S2_01,3,5.4768168498024155,0.04954403495941593,12,6.447222485934413,HET_S2_01_MAIN_N8_O12,D3_seed20700711,12.015293559110209,0.390625,MAIN,,
a-e,20.0,0.0,HET_S2_01,3,5.416192451282435,0.04954403495941593,13,6.377700591643656,HET_S2_01_MAIN_N8_O13,D3_seed20700711,11.902770007128039,0.421875,MAIN,,
a-e,20.0,0.0,HET_S2_01,3,5.352444838217792,0.04954403495941593,14,6.30438252457053,HET_S2_01_MAIN_N8_O14,D3_seed20700711,11.783978219264402,0.453125,MAIN,,
a-e,20.0,0.0,HET_S2_01,3,5.2856221777258146,0.04954403495941593,15,6.227315256183127,HET_S2_01_MAIN_N8_O15,D3_seed20700711,11.659035584383709,0.484375,MAIN,,
a-e,20.0,0.0,HET_S2_01,3,5.215776882682008,0.04954403495941593,16,6.146548279902308,HET_S2_01_MAIN_N8_O16,D3_seed20700711,11.528067606622663,0.515625,MAIN,,
a-e,20.0,0.0,HET_S2_01,3,5.142941941591525,0.04954403495941593,17,6.0621336067213285,HET_S2_01_MAIN_N8_O17,D3_seed20700711,11.391208213985648,0.546875,MAIN,,
a-e,20.0,0.0,HET_S2_01,3,5.067190425495312,0.04954403495941593,18,5.974125763238722,HET_S2_01_MAIN_N8_O18,D3_seed20700711,11.248600110015362,0.578125,MAIN,,
a-e,20.0,0.0,HET_S2_01,3,4.988564818416715,0.04954403495941593,19,5.882581792762463,HET_S2_01_MAIN_N8_O19,D3_seed20700711,11.10039517450771,0.609375,MAIN,,
a-e,20.0,0.0,HET_S2_01,3,4.907134351818474,0.04954403495941593,20,5.787561260275937,HET_S2_01_MAIN_N8_O20,D3_seed20700711,10.946754920117044,0.640625,MAIN,,
a-e,20.0,0.0,HET_S2_01,3,4.8229554079995856,0.04954403495941593,21,5.689126262207693,HET_S2_01_MAIN_N8_O21,D3_seed20700711,10.787851012700811,0.671875,MAIN,,
a-e,20.0,0.0,HET_S2_01,3,4.736096650912984,0.04954403495941593,22,5.587341442143156,HET_S2_01_MAIN_N8_O22,D3_seed20700711,10.62386586439797,0.703125,MAIN,,
a-e,20.0,0.0,HET_S2_01,3,4.64662912614709,0.04954403495941593,23,5.482274013849855,HET_S2_01_MAIN_N8_O23,D3_seed20700711,10.45499330973932,0.734375,MAIN,,
a-e,20.0,0.0,HET_S2_01,3,4.5546237870770625,0.04954403495941593,24,5.373993793288333,HET_S2_01_MAIN_N8_O24,D3_seed20700711,10.281439376566402,0.765625,MAIN,,
a-e,20.0,0.0,HET_S2_01,3,4.460154799676043,0.04954403495941593,25,5.262573241648137,HET_S2_01_MAIN_N8_O25,D3_seed20700711,10.103423165202942,0.796875,MAIN,,
a-e,20.0,0.0,HET_S2_01,3,4.3633074298742445,0.04954403495941593,26,5.148087521916348,HET_S2_01_MAIN_N8_O26,D3_seed20700711,9.921177851189,0.828125,MAIN,,
a-e,20.0,0.0,HET_S2_01,3,4.264159965784763,0.04954403495941593,27,5.030614572076869,HET_S2_01_MAIN_N8_O27,D3_seed20700711,9.734951828955387,0.859375,MAIN,,
a-e,20.0,0.0,HET_S2_01,3,4.162806212905532,0.04954403495941593,28,4.910235198791603,HET_S2_01_MAIN_N8_O28,D3_seed20700711,9.545010016074201,0.890625,MAIN,,
a-e,20.0,0.0,HET_S2_01,3,4.059347155889833,0.04954403495941593,29,4.787033196380598,HET_S2_01_MAIN_N8_O29,D3_seed20700711,9.35163534013938,0.921875,MAIN,,
