problem,method,dt,steps,numerical_0,numerical_1,exact_0,exact_1,error_L2,observed_order,git_hash,config_sha256
scalar_decay,explicit_midpoint_rk2,0.1,10,0.27363426001752333,,0.2725317930340126,,0.0011024669835107415,,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
scalar_decay,explicit_midpoint_rk2,0.05,20,0.2727938769852511,,0.2725317930340126,,0.0002620839512385009,2.0726345330762954,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
scalar_decay,explicit_midpoint_rk2,0.025,40,0.27259571059006876,,0.2725317930340126,,6.391755605617e-05,2.0357448609383786,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
scalar_decay,explicit_midpoint_rk2,0.0125,80,0.2725475772689847,,0.2725317930340126,,1.5784234972116007e-05,2.017727908586886,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
coupled_damped_oscillator,explicit_midpoint_rk2,0.1,10,0.2504637004537259,-1.1517514975517888,0.2544170411272195,-1.1525971422199226,0.004042773476889602,,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
coupled_damped_oscillator,explicit_midpoint_rk2,0.05,20,0.2534371399180536,-1.1523173795419954,0.2544170411272195,-1.1525971422199226,0.0010190552171917876,1.9881131437407664,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
coupled_damped_oscillator,explicit_midpoint_rk2,0.025,40,0.2541733972952325,-1.15251870584246,0.2544170411272195,-1.1525971422199226,0.0002559581648918325,1.993252292437156,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
coupled_damped_oscillator,explicit_midpoint_rk2,0.0125,80,0.2543563148849572,-1.1525764750442566,0.2544170411272195,-1.1525971422199226,6.414677427050366e-05,1.9964594041753698,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
