panel,resolution,particle_count,layout,jitter_fraction,s0_mean_abs,s0_l2,s0_linf,s1_l2,s1_linf,operator,norm,error,observed_order_from_previous,force_type,state_case,density_perturbation,pair_force_residual_l2,pair_force_residual_linf,total_internal_force,characteristic_normalized_internal_force,total_internal_torque,viscous_power,density_offset,density_amplitude,minimum_pressure,maximum_pressure,integration_scheme,dt,numerical,exact,absolute_error,observed_order,ad_completed_cases,ad_pass,canary_rows_used,conservation_pass,disorder_status,evidence_complete,final_status,gci_justified,gci_statement,jitter10_median_velocity_error_multiplier,mach_complete,mach_density_nonworsening,prerequisite_pass,provenance_pass,resource_pass,schema_version,space_gates,space_pass,space_slope_modal,space_slope_velocity,stage02_started,time_gates,time_modal_errors,time_pass,time_self_difference_coarse,time_self_difference_fine,time_self_difference_series_coarse,time_self_difference_series_fine,time_velocity_errors,v3_started
c,32,1024,jitter_05,0.05,,,,,,generic_sph_gradient,linf,0.5757179260253906,1.4359904534829286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,16,256,jitter_05,0.05,,,,,,physical_nu_generic_laplacian,l1,3.271660566329956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,24,576,jitter_05,0.05,,,,,,physical_nu_generic_laplacian,l1,1.8285223245620728,1.434869474768126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,32,1024,jitter_05,0.05,,,,,,physical_nu_generic_laplacian,l1,1.4719955921173096,0.7539195615821663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,16,256,jitter_05,0.05,,,,,,physical_nu_generic_laplacian,l2,3.8746464252471924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,24,576,jitter_05,0.05,,,,,,physical_nu_generic_laplacian,l2,2.1800143718719482,1.418427708482929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,32,1024,jitter_05,0.05,,,,,,physical_nu_generic_laplacian,l2,1.8098077774047852,0.6469323183252579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,16,256,jitter_05,0.05,,,,,,physical_nu_generic_laplacian,linf,7.701824188232422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,24,576,jitter_05,0.05,,,,,,physical_nu_generic_laplacian,linf,5.350982666015625,0.8981709674871458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,32,1024,jitter_05,0.05,,,,,,physical_nu_generic_laplacian,linf,5.71497917175293,-0.2287609799917306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,16,256,jitter_10,0.1,,,,,,generic_sph_divergence,l1,1.1769936084747314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,24,576,jitter_10,0.1,,,,,,generic_sph_divergence,l1,0.5881801247596741,1.7108388056281512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
