support_family,resolution,particle_count,layout,jitter_fraction,seed,dtype,dx,support_ratio,support,position_state_sha256,position_reference_sha256,edge_count,unique_edge_count,duplicate_edge_count,self_edge_count,missing_self_edge_count,nonreciprocal_nonself_edge_count,out_of_bounds_edge_count,omitted_strict_support_edge_count,unexpected_edge_count,minimum_image_linf,expected_strict_edge_count,neighbor_count_mean,neighbor_count_std,neighbor_count_median,neighbor_count_min,neighbor_count_max,nonself_neighbor_count_mean,raw_sph__kernel_S0__mean_abs,raw_sph__kernel_S0__L2,raw_sph__kernel_S0__Linf,raw_sph__kernel_S1__L2,raw_sph__kernel_S1__Linf,shepard_normalized__kernel_S0__mean_abs,shepard_normalized__kernel_S0__L2,shepard_normalized__kernel_S0__Linf,shepard_normalized__kernel_S1__L2,shepard_normalized__kernel_S1__Linf,linear_reproducing_kernel__kernel_S0__mean_abs,linear_reproducing_kernel__kernel_S0__L2,linear_reproducing_kernel__kernel_S0__Linf,linear_reproducing_kernel__kernel_S1__L2,linear_reproducing_kernel__kernel_S1__Linf,raw_sph__gradient__L1,raw_sph__gradient__L2,raw_sph__gradient__Linf,shepard_normalized__gradient__L1,shepard_normalized__gradient__L2,shepard_normalized__gradient__Linf,first_order_gradient_matrix__gradient__L1,first_order_gradient_matrix__gradient__L2,first_order_gradient_matrix__gradient__Linf,quadratic_weighted_least_squares__gradient__L1,quadratic_weighted_least_squares__gradient__L2,quadratic_weighted_least_squares__gradient__Linf,raw_sph__divergence__L1,raw_sph__divergence__L2,raw_sph__divergence__Linf,shepard_normalized__divergence__L1,shepard_normalized__divergence__L2,shepard_normalized__divergence__Linf,first_order_gradient_matrix__divergence__L1,first_order_gradient_matrix__divergence__L2,first_order_gradient_matrix__divergence__Linf,quadratic_weighted_least_squares__divergence__L1,quadratic_weighted_least_squares__divergence__L2,quadratic_weighted_least_squares__divergence__Linf,raw_sph__Laplacian__L1,raw_sph__Laplacian__L2,raw_sph__Laplacian__Linf,shepard_normalized__Laplacian__L1,shepard_normalized__Laplacian__L2,shepard_normalized__Laplacian__Linf,first_order_gradient_matrix__Laplacian__L1,first_order_gradient_matrix__Laplacian__L2,first_order_gradient_matrix__Laplacian__Linf,quadratic_weighted_least_squares__Laplacian__L1,quadratic_weighted_least_squares__Laplacian__L2,quadratic_weighted_least_squares__Laplacian__Linf,conservative_pair_viscosity__viscous_acceleration__L1,conservative_pair_viscosity__viscous_acceleration__L2,conservative_pair_viscosity__viscous_acceleration__Linf,stage01b_style_generic_viscosity__viscous_acceleration__L1,stage01b_style_generic_viscosity__viscous_acceleration__L2,stage01b_style_generic_viscosity__viscous_acceleration__Linf,reproducing_matrix_condition_maximum,gradient_matrix_condition_maximum,wls_matrix_condition_maximum,laplacian_calibration_response_minimum,peak_rss_bytes
constant_neighbor,32,1024,regular,0.0,20261001,float32,0.0625,4.0,0.25,f34ac40d5edc49746b6473c7f031a28c5e44ed96408a4a08d9c665276e0a6415,b62e3a09fc36c3a387b37925cbef99adfbb353965a135f6c53aaf040afe94eae,50176,50176,0,1024,0,0,0,0,0,0.0,46080,49.0,0.0,49.0,49,49,48.0,0.0004156713839620352,0.0004156713839620352,0.0004156827926635742,7.786414291111043e-10,2.7939677238464355e-09,4.394678398966789e-08,1.3409751886683807e-07,7.152557373046875e-07,5.700148686393902e-10,3.3796823117882013e-09,2.155429683625698e-07,2.3855679387452255e-07,5.960464477539062e-07,5.98765148573932e-10,4.423782229423523e-09,0.19540806114673615,0.2273169755935669,0.39882516860961914,0.1965814232826233,0.22868190705776215,0.40121984481811523,0.19169455766677856,0.2229970395565033,0.39124584197998047,0.17898672819137573,0.20821411907672882,0.3653092384338379,0.3274611234664917,0.40663716197013855,0.7976503372192383,0.3294273614883423,0.40907883644104004,0.8024377822875977,0.32123804092407227,0.39890947937965393,0.7824926376342773,0.2999420166015625,0.3724643886089325,0.730616569519043,0.9117880463600159,1.0629490613937378,1.9781112670898438,0.9225330948829651,1.0754755735397339,2.001422882080078,0.8587064146995544,1.0010675191879272,1.8629531860351562,1.104093313217163,1.2871354818344116,2.395275115966797,0.017229631543159485,0.019014596939086914,0.02637457847595215,0.01686558686196804,0.01861283741891384,0.025817275047302246,301.94427490234375,1.000000238418579,40.50043869018555,1.9959027767181396,952254464
constant_neighbor,32,1024,regular,0.0,20261001,float64,0.0625,4.0,0.25,b62e3a09fc36c3a387b37925cbef99adfbb353965a135f6c53aaf040afe94eae,b62e3a09fc36c3a387b37925cbef99adfbb353965a135f6c53aaf040afe94eae,50176,50176,0,1024,0,0,0,0,0,0.0,46080,49.0,0.0,49.0,49,49,48.0,0.00041575045503263494,0.00041575045503263494,0.00041575045503283725,5.885308957643755e-19,7.37257477290143e-18,2.3527187142935446e-16,2.475736667744043e-16,6.661338147750939e-16,2.113727699082614e-18,7.37257477290143e-18,2.3548871186385156e-16,2.4786521584512986e-16,6.661338147750939e-16,2.1262958443623714e-18,8.239936510889834e-18,0.19540755701769535,0.22731642392847418,0.3988225846912492,0.19658113012581058,0.2286816343953919,0.40121782194535527,0.19169408679020306,0.22299656657310096,0.3912434725171572,0.1789863936444984,0.20821378433914475,0.36530734648814,0.32746004281829744,0.40663598104498216,0.7976451693824913,0.32942669296273897,0.40907814377108004,0.8024356438907052,0.321237084309129,0.39890838528520867,0.7824869450343073,0.29994178844072317,0.372464140507847,0.7306146929762765,0.9117863730605622,1.0629460118590088,1.9780460433809353,0.9225333215970487,1.075474633062425,2.001360670204832,0.8587071739241265,1.0010671280527499,1.8628950574265986,1.1040969633647393,1.2871386309216584,2.3952481572648523,0.01722961135401113,0.01901455631143234,0.026373947245079243,0.01686559237125114,0.01861282586586954,0.025816731110004598,301.9442324232959,1.0000000000000004,40.50036831040283,1.995903330694685,952287232
increasing_neighbor,32,1024,regular,0.0,20261001,float32,0.0625,5.0,0.3125,f34ac40d5edc49746b6473c7f031a28c5e44ed96408a4a08d9c665276e0a6415,b62e3a09fc36c3a387b37925cbef99adfbb353965a135f6c53aaf040afe94eae,82944,82944,0,1024,0,0,0,0,0,0.0,70656,81.0,0.0,81.0,81,81,80.0,8.846737910062075e-05,8.846740092849359e-05,8.869171142578125e-05,9.7879615523766e-10,4.874891601502895e-09,9.150244295597076e-08,1.1028998869733186e-07,7.152557373046875e-07,8.101304072027915e-10,5.122274160385132e-09,9.028008207678795e-08,1.0932632221738459e-07,5.364418029785156e-07,1.401110671928052e-09,7.225992249004776e-09,0.2951650023460388,0.34336358308792114,0.6024265289306641,0.29540595412254333,0.34364384412765503,0.6029191017150879,0.2943544387817383,0.34242066740989685,0.6007723808288574,0.2754221558570862,0.3203968405723572,0.5621333122253418,0.4946320652961731,0.6142280697822571,1.2048540115356445,0.4950357675552368,0.6147294044494629,1.2058391571044922,0.4932737350463867,0.6125413179397583,1.2015457153320312,0.46154648065567017,0.5731428265571594,1.1242618560791016,1.353928565979004,1.5783891677856445,2.9372787475585938,1.3561770915985107,1.5810106992721558,2.942157745361328,1.3261851072311401,1.5460463762283325,2.8770904541015625,1.709615707397461,1.993043303489685,3.7089004516601562,0.025584585964679718,0.028235100209712982,0.03916364908218384,0.025195442140102386,0.02780565619468689,0.03856801986694336,193.12290954589844,1.000000238418579,40.4527473449707,1.997819185256958,952287232
increasing_neighbor,32,1024,regular,0.0,20261001,float64,0.0625,5.0,0.3125,b62e3a09fc36c3a387b37925cbef99adfbb353965a135f6c53aaf040afe94eae,b62e3a09fc36c3a387b37925cbef99adfbb353965a135f6c53aaf040afe94eae,82944,82944,0,1024,0,0,0,0,0,0.0,70656,81.0,0.0,81.0,81,81,80.0,8.832035099454638e-05,8.83203509945464e-05,8.83203509953745e-05,2.2224073779251046e-18,7.425937848578451e-18,1.5211356479971627e-16,2.0047880318610026e-16,5.551115123125783e-16,1.2246548304564642e-18,1.0842021724855044e-17,8.955509944730267e-17,1.8325775128286503e-16,6.661338147750939e-16,3.67628212148594e-18,1.2360751799282005e-17,0.29516508275987113,0.3433637475722093,0.6024255305859949,0.2954056636834092,0.34364361389897136,0.6029165510317602,0.294354262040989,0.34242052475587414,0.6007706630887437,0.27542240907466575,0.32039721521593373,0.5621311618930962,0.4946316924184321,0.6142277444644316,1.2048510611719863,0.4950348530777504,0.6147283845694341,1.2058331020635187,0.49327293541140893,0.6125404561962283,1.2015413261774839,0.4615473180525011,0.5731439624195643,1.1242623237861835,1.3539318976625998,1.5783922127706278,2.9372446357024415,1.3561766365645789,1.5810090935817704,2.94211441335505,1.3261835998639295,1.5460436897476655,2.877046970664992,1.7096114596808603,1.993037773526296,3.70886238647018,0.025584633731936913,0.028235138263291507,0.03916326180936602,0.025195520620446978,0.027805713999567768,0.038567633245033095,193.12277544612394,1.0000000000000007,40.4527398785603,1.9978190330171326,952287232
constant_neighbor,32,1024,jitter_10,0.1,20261001,float32,0.0625,4.0,0.25,20b93cd4f66eddcc0094965bd9d3e4850d7e08a704a4e0c60639b6b9f4e07efd,9f4054bd0a3e74fec09e80927a892f65e289804114cac5dee9da4202447037ef,48704,48704,0,1024,0,0,0,0,0,1.1920928955078125e-07,48702,47.5625,1.0657743215560913,48.0,45,51,46.5625,0.01440598163753748,0.018117854371666908,0.061991751194000244,0.0011002026731148362,0.00395220285281539,1.0459916666150093e-07,1.3617706429158716e-07,4.76837158203125e-07,0.0011009803274646401,0.004007268231362104,1.105363480746746e-07,1.441716221961542e-07,4.76837158203125e-07,2.1931891858173458e-09,9.595567007636419e-09,0.20314855873584747,0.2468009740114212,0.7859091758728027,0.20744141936302185,0.25565117597579956,0.850832462310791,0.19241079688072205,0.22428451478481293,0.4290761947631836,0.1792890578508377,0.20861157774925232,0.3810081481933594,0.34387606382369995,0.4212149381637573,1.0586299896240234,0.35574060678482056,0.44680944085121155,1.2509374618530273,0.3233300745487213,0.3998405933380127,0.8033943176269531,0.30144867300987244,0.37328892946243286,0.7444992065429688,2.407270908355713,2.995743989944458,12.24700927734375,2.4686622619628906,3.0811715126037598,12.300291061401367,2.3800628185272217,2.9707162380218506,13.277847290039062,1.1088606119155884,1.2933635711669922,2.4777984619140625,0.04384240135550499,0.05540633201599121,0.2606462836265564,0.04375112056732178,0.05537481978535652,0.2611958682537079,335.1818542480469,1.1394931077957153,44.17280578613281,1.9272907972335815,952287232
constant_neighbor,32,1024,jitter_10,0.1,20261001,float64,0.0625,4.0,0.25,9f4054bd0a3e74fec09e80927a892f65e289804114cac5dee9da4202447037ef,9f4054bd0a3e74fec09e80927a892f65e289804114cac5dee9da4202447037ef,48704,48704,0,1024,0,0,0,0,0,2.220446049250313e-16,48704,47.5625,1.0657743090403153,48.0,45,51,46.5625,0.014405975393028648,0.01811785010601056,0.061991555379917074,0.001100202279836546,0.0039522083079099905,2.0274580625478933e-16,2.638148846545504e-16,8.881784197001252e-16,0.0011009799396133682,0.004007272555396711,2.1239520558991032e-16,2.743935563445113e-16,8.881784197001252e-16,4.450718669879745e-18,2.578537698031541e-17,0.20314840644249121,0.24680074533558388,0.7859083396210318,0.20744146121188567,0.25565119754467525,0.8508316935525277,0.1924107061923469,0.22428433975035095,0.42907628099418815,0.17928898330305834,0.2086114442832496,0.38100807310042395,0.3438757841700685,0.42121456511507993,1.0586292672832815,0.3557406068911799,0.4468094534478289,1.2509376584022984,0.32332992847629827,0.39984043457385987,0.8033941704843439,0.30144851886777124,0.373288761494278,0.7445012589104731,2.4072682799407747,2.9957388621096057,12.24702112946521,2.468659770900548,3.081167456134654,12.30029830052796,2.380060307662065,2.9707117809323345,13.277856535136625,1.1088609423966902,1.293364224885005,2.4777898703635373,0.04384238768319665,0.055406275150150786,0.2606445518253057,0.04375111479026113,0.055374770588601456,0.2611939257004973,335.1818451714801,1.1394927351352881,44.17279635057433,1.9272909723200498,952287232
increasing_neighbor,32,1024,jitter_10,0.1,20261001,float32,0.0625,5.0,0.3125,20b93cd4f66eddcc0094965bd9d3e4850d7e08a704a4e0c60639b6b9f4e07efd,9f4054bd0a3e74fec09e80927a892f65e289804114cac5dee9da4202447037ef,77740,77740,0,1024,0,0,0,0,0,1.1920928955078125e-07,77736,75.91796875,1.7184836864471436,76.0,70,82,74.91796875,0.009261766448616982,0.011654815636575222,0.04430365562438965,0.0008784117526374757,0.0033688584808260202,1.2665987014770508e-07,1.6524087698144285e-07,5.364418029785156e-07,0.0008792246808297932,0.0034247746225446463,1.4330726116895676e-07,1.8280512392720993e-07,7.152557373046875e-07,2.8003892538208675e-09,1.3906571005861679e-08,0.2969435155391693,0.34952595829963684,0.8300375938415527,0.29827025532722473,0.3522884249687195,0.8305459022521973,0.29405704140663147,0.3427596092224121,0.6419720649719238,0.27559590339660645,0.3206798732280731,0.5846400260925293,0.500446081161499,0.614117443561554,1.3811111450195312,0.5071529150009155,0.6270638108253479,1.556447982788086,0.49386829137802124,0.6116889715194702,1.2268857955932617,0.4635527431964874,0.5739210844039917,1.1564741134643555,1.7060325145721436,2.07310152053833,5.412284851074219,1.7289963960647583,2.109053134918213,5.591117858886719,1.6678340435028076,2.021437644958496,5.465660095214844,1.710362195968628,1.9963666200637817,3.794757843017578,0.03335259109735489,0.03898921608924866,0.12021548300981522,0.03308689966797829,0.038721662014722824,0.12066539376974106,207.15367126464844,1.0827627182006836,43.293724060058594,1.9481501579284668,952287232
increasing_neighbor,32,1024,jitter_10,0.1,20261001,float64,0.0625,5.0,0.3125,9f4054bd0a3e74fec09e80927a892f65e289804114cac5dee9da4202447037ef,9f4054bd0a3e74fec09e80927a892f65e289804114cac5dee9da4202447037ef,77738,77738,0,1024,0,0,0,0,0,2.220446049250313e-16,77738,75.916015625,1.7200949483187467,76.0,70,82,74.916015625,0.009261760827530167,0.011654810193818355,0.04430363872643883,0.0008784113258666516,0.00336886219217808,2.419939248987646e-16,3.2234131056954425e-16,1.2212453270876722e-15,0.0008792241596300974,0.0034247778970349007,2.667137344314341e-16,3.390840864445248e-16,1.1102230246251565e-15,5.2826536288013174e-18,2.224562629373969e-17,0.2969433488539306,0.34952569327735367,0.8300372214016161,0.29827022258289815,0.3522883181765245,0.8305451374722255,0.2940569598829977,0.34275945703200694,0.6419713190851786,0.27559582999445026,0.32067972109173115,0.5846422056009208,0.5004457952270419,0.6141170249613735,1.3811120720660277,0.507152840251745,0.6270637052672066,1.5564498820062376,0.49386809249131347,0.6116887702548293,1.2268835288784317,0.46355256222399255,0.5739208937408102,1.156475945970346,1.7060308813043377,2.0730985383777067,5.412277231846097,1.7289957563080196,2.109051883443161,5.591110422518682,1.6678330279980602,2.021435579076538,5.465669764384856,1.7103630108725878,1.9963677923234888,3.7947417011560134,0.03335258090570124,0.0389891882281363,0.12021413257711887,0.03308690705279501,0.038721653264590865,0.12066407354783566,207.1535210129622,1.082762758871748,43.293744881096735,1.9481504707626354,952287232
constant_neighbor,64,4096,jitter_10,0.1,20261001,float32,0.03125,4.0,0.125,ad75794b29eb74a25f2d1672acd77456a14db5508675a29f9ada346952ee984f,f2d6db14aabdeab9ff85834ce2066c4fe9b2cad51e58d4f9153bde763653f9e3,194682,194682,0,4096,0,0,0,0,0,1.1920928955078125e-07,194678,47.52978515625,1.092807650566101,47.0,45,52,46.52978515625,0.014744151383638382,0.018268251791596413,0.07200562953948975,0.0005547861219383776,0.001885437173768878,1.0272196959704161e-07,1.3457209036005224e-07,5.960464477539062e-07,0.0005542170256376266,0.0018999060848727822,1.1433439794927835e-07,1.4667961067971191e-07,5.960464477539062e-07,1.115526560013791e-09,5.785735446295348e-09,0.08384212106466293,0.11018849164247513,0.46102428436279297,0.09539209306240082,0.12763622403144836,0.617185115814209,0.04986223950982094,0.05853872373700142,0.12299203872680664,0.04555573686957359,0.053262095898389816,0.0991673469543457,0.13855887949466705,0.1742308884859085,0.6345319747924805,0.15972673892974854,0.20794346928596497,0.8652229309082031,0.0848941057920456,0.10430899262428284,0.2222156524658203,0.0771433487534523,0.09524376690387726,0.1939535140991211,4.653251647949219,6.115177631378174,27.772930145263672,4.672108173370361,6.132328510284424,27.87567710876465,4.643632411956787,6.1179609298706055,27.69843292236328,0.2839392125606537,0.3316733241081238,0.6551132202148438,0.08172913640737534,0.11038282513618469,0.5224823951721191,0.08187424391508102,0.11060545593500137,0.5236953496932983,1362.2574462890625,1.1372400522232056,45.008575439453125,1.9068773984909058,952303616
constant_neighbor,64,4096,jitter_10,0.1,20261001,float64,0.03125,4.0,0.125,f2d6db14aabdeab9ff85834ce2066c4fe9b2cad51e58d4f9153bde763653f9e3,f2d6db14aabdeab9ff85834ce2066c4fe9b2cad51e58d4f9153bde763653f9e3,194682,194682,0,4096,0,0,0,0,0,2.220446049250313e-16,194682,47.52978515625,1.0928076788436107,47.0,45,52,46.52978515625,0.014744152891264302,0.018268253098243065,0.07200605118839576,0.0005547861005783482,0.0018854300231512548,1.9900530875971434e-16,2.5966440581408514e-16,9.992007221626409e-16,0.0005542169011775913,0.0018998965993131545,2.1743674569196791e-16,2.8242448964814047e-16,1.1102230246251565e-15,2.1000237323229444e-18,1.2841054501274634e-17,0.0838420164727797,0.11018832896386334,0.4610227106438547,0.09539209264495285,0.12763615495224398,0.6171818084949834,0.049862112476941924,0.05853853199060229,0.12299174461542606,0.04555561204534275,0.053261922280731136,0.09916908228346788,0.13855873970831137,0.17423068861012853,0.6345310471813406,0.15972676551843967,0.2079434839296299,0.8652215658532114,0.08489394760374697,0.1043088354890883,0.22221722287750545,0.07714318353912096,0.09524361098768012,0.19395253548831093,4.653250097605762,6.115176056609944,27.7729531493734,4.67210631936143,6.132326700782471,27.87569615630757,4.64363125483063,6.117959251501032,27.69845490079794,0.28393948282394804,0.33167415934477884,0.6550788272580021,0.08172911196987584,0.11038281717819336,0.5224832364146615,0.08187423295844606,0.1106054584483036,0.523696625190741,1362.2577049313236,1.1372395957287875,45.008582471048264,1.906877873178293,952303616
