step,live_tensor_count,live_unique_storage_count,live_total_bytes,current_state_bytes,current_edge_dependent_bytes,current_force_workspace_bytes,monitor_bytes,unknown_live_bytes,old_survivor_bytes,old_survivor_storage_count,inventory_error_count,semantic_current_state_bytes,semantic_current_neighborhood_bytes,semantic_current_density_EOS_bytes,semantic_current_pressure_force_bytes,semantic_current_viscosity_force_bytes,semantic_RK2_midpoint_bytes,semantic_diagnostics_temporary_bytes,semantic_archive_checkpoint_bytes,semantic_memory_monitor_temporary_bytes,semantic_unknown_bytes,directed_edge_count,unique_pair_count
1025,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1050,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1075,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1100,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1125,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1150,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1175,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1200,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1225,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1250,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1275,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1300,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1325,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1350,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1375,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1400,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1425,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
