run_id,kind,order,resolution,variant,repeat,mode,pid,return_code,process_absent_after_wait,started_unix_seconds,ended_unix_seconds,wall_seconds,config_hash,git_hash,stdout_log_path,stderr_log_path
stage01dr_frozen_regression_n16,numeric_regression,16,16,A,1,,325,0,True,1785556106.3984342,1785556110.312703,3.914268732070923,1d0fbdaeba85d26a6c76b2d04079393b3dff704c0ede9de35726859870bf6dc8,0d562a4d8ed662c33797b738cd0f7ae9c00c1618,06_experiments/stage_01dr_memory_diagnosis/logs/stage01dr_frozen_regression_n16_stdout.log,06_experiments/stage_01dr_memory_diagnosis/logs/stage01dr_frozen_regression_n16_stderr.log
stage01dr_frozen_regression_n32,numeric_regression,32,32,A,1,,347,0,True,1785556110.3166249,1785556114.443694,4.1270692348480225,1d0fbdaeba85d26a6c76b2d04079393b3dff704c0ede9de35726859870bf6dc8,0d562a4d8ed662c33797b738cd0f7ae9c00c1618,06_experiments/stage_01dr_memory_diagnosis/logs/stage01dr_frozen_regression_n32_stdout.log,06_experiments/stage_01dr_memory_diagnosis/logs/stage01dr_frozen_regression_n32_stderr.log
