order,run_id,control,repeat,steps,return_code,worker_status,elapsed_seconds,pid,process_reclaimed,stdout_path,stderr_path,summary_path,git_hash,config_sha256
1,stage01dr3_cutoff_replay,T1,1,1000,0,PASS,98.787683250,15514,True,06_experiments/stage_01dr3_topology_confirmation/logs/stage01dr3_cutoff_replay_stdout.log,06_experiments/stage_01dr3_topology_confirmation/logs/stage01dr3_cutoff_replay_stderr.log,06_experiments/stage_01dr3_topology_confirmation/results/cutoff_shell_audit_summary.json,2c8c3f377b53315c2c7cb378ec4054b89b96a793,44431531be95a3acbb39f49d571f5995973a154c44b717a2928fabdf9f8c583a
2,stage01dr3_f_r1,F,1,2000,0,PASS,102.447307625,15620,True,06_experiments/stage_01dr3_topology_confirmation/logs/stage01dr3_f_r1_stdout.log,06_experiments/stage_01dr3_topology_confirmation/logs/stage01dr3_f_r1_stderr.log,06_experiments/stage_01dr3_topology_confirmation/results/run_summaries/stage01dr3_f_r1.json,2c8c3f377b53315c2c7cb378ec4054b89b96a793,44431531be95a3acbb39f49d571f5995973a154c44b717a2928fabdf9f8c583a
3,stage01dr3_m_r1,M,1,2000,0,PASS,262.662804958,15755,True,06_experiments/stage_01dr3_topology_confirmation/logs/stage01dr3_m_r1_stdout.log,06_experiments/stage_01dr3_topology_confirmation/logs/stage01dr3_m_r1_stderr.log,06_experiments/stage_01dr3_topology_confirmation/results/run_summaries/stage01dr3_m_r1.json,2c8c3f377b53315c2c7cb378ec4054b89b96a793,44431531be95a3acbb39f49d571f5995973a154c44b717a2928fabdf9f8c583a
4,stage01dr3_m_r3,M,3,2000,0,PASS,259.871540250,16073,True,06_experiments/stage_01dr3_topology_confirmation/logs/stage01dr3_m_r3_stdout.log,06_experiments/stage_01dr3_topology_confirmation/logs/stage01dr3_m_r3_stderr.log,06_experiments/stage_01dr3_topology_confirmation/results/run_summaries/stage01dr3_m_r3.json,2c8c3f377b53315c2c7cb378ec4054b89b96a793,44431531be95a3acbb39f49d571f5995973a154c44b717a2928fabdf9f8c583a
5,stage01dr3_f_r2,F,2,2000,0,PASS,104.303751917,16399,True,06_experiments/stage_01dr3_topology_confirmation/logs/stage01dr3_f_r2_stdout.log,06_experiments/stage_01dr3_topology_confirmation/logs/stage01dr3_f_r2_stderr.log,06_experiments/stage_01dr3_topology_confirmation/results/run_summaries/stage01dr3_f_r2.json,2c8c3f377b53315c2c7cb378ec4054b89b96a793,44431531be95a3acbb39f49d571f5995973a154c44b717a2928fabdf9f8c583a
6,stage01dr3_f_r3,F,3,2000,0,PASS,100.418315875,16589,True,06_experiments/stage_01dr3_topology_confirmation/logs/stage01dr3_f_r3_stdout.log,06_experiments/stage_01dr3_topology_confirmation/logs/stage01dr3_f_r3_stderr.log,06_experiments/stage_01dr3_topology_confirmation/results/run_summaries/stage01dr3_f_r3.json,2c8c3f377b53315c2c7cb378ec4054b89b96a793,44431531be95a3acbb39f49d571f5995973a154c44b717a2928fabdf9f8c583a
7,stage01dr3_m_r2,M,2,2000,0,PASS,261.503782791,16763,True,06_experiments/stage_01dr3_topology_confirmation/logs/stage01dr3_m_r2_stdout.log,06_experiments/stage_01dr3_topology_confirmation/logs/stage01dr3_m_r2_stderr.log,06_experiments/stage_01dr3_topology_confirmation/results/run_summaries/stage01dr3_m_r2.json,2c8c3f377b53315c2c7cb378ec4054b89b96a793,44431531be95a3acbb39f49d571f5995973a154c44b717a2928fabdf9f8c583a
