step,edge_count,removed_vs_initial,added_vs_initial
352,82944,0,0
353,82944,0,0
354,82944,0,0
355,82944,0,0
356,82944,0,0
357,82944,0,0
358,82944,0,0
359,82944,0,0
360,82944,0,0
361,82944,0,0
362,82944,0,0
363,82944,0,0
364,82944,0,0
365,82944,0,0
366,82944,0,0
367,82944,0,0
368,82944,0,0
369,82944,0,0
370,82944,0,0
371,82944,0,0
372,82944,0,0
373,82944,0,0
374,82944,0,0
375,82944,0,0
376,82944,0,0
377,82944,0,0
378,82944,0,0
379,82944,0,0
380,82944,0,0
381,82944,0,0
382,82944,0,0
383,82944,0,0
384,82944,0,0
385,82944,0,0
386,82944,0,0
387,82944,0,0
388,82944,0,0
389,82944,0,0
390,82944,0,0
391,82944,0,0
392,82944,0,0
393,82944,0,0
394,82944,0,0
395,82944,0,0
396,82944,0,0
397,82944,0,0
398,82944,0,0
399,82944,0,0
400,82944,0,0
401,82944,0,0
402,82944,0,0
403,82944,0,0
404,82944,0,0
405,82944,0,0
406,82944,0,0
407,82944,0,0
408,82944,0,0
409,82944,0,0
410,82944,0,0
411,82944,0,0
412,82944,0,0
413,82944,0,0
414,82944,0,0
415,82944,0,0
416,82944,0,0
417,82944,0,0
418,82944,0,0
419,82944,0,0
420,82944,0,0
421,82944,0,0
422,82944,0,0
423,82944,0,0
424,82944,0,0
425,82944,0,0
426,82944,0,0
427,82944,0,0
428,82944,0,0
429,82944,0,0
430,82944,0,0
431,82944,0,0
432,82944,0,0
433,82944,0,0
434,82944,0,0
435,82944,0,0
436,82944,0,0
437,82944,0,0
438,82944,0,0
439,82944,0,0
440,82944,0,0
441,82944,0,0
442,82944,0,0
443,82944,0,0
444,82944,0,0
445,82944,0,0
446,82944,0,0
447,82944,0,0
448,82944,0,0
449,82944,0,0
450,82944,0,0
451,82944,0,0
452,82944,0,0
453,82944,0,0
454,82944,0,0
455,82944,0,0
456,82944,0,0
457,82944,0,0
458,82944,0,0
459,82944,0,0
460,82944,0,0
461,82944,0,0
462,82944,0,0
463,82944,0,0
464,82944,0,0
465,82944,0,0
466,82944,0,0
467,82944,0,0
468,82944,0,0
469,82944,0,0
470,82944,0,0
471,82944,0,0
472,82944,0,0
473,82944,0,0
474,82942,2,0
475,82942,2,0
476,82942,2,0
477,82942,2,0
478,82942,2,0
479,82942,2,0
480,82942,2,0
481,82942,2,0
482,82942,2,0
483,82942,2,0
484,82942,2,0
485,82942,2,0
486,82940,4,0
487,82940,4,0
488,82940,4,0
489,82940,4,0
490,82940,4,0
491,82940,4,0
492,82940,4,0
493,82940,4,0
494,82940,4,0
495,82940,4,0
496,82940,4,0
497,82940,4,0
498,82940,4,0
499,82940,4,0
500,82940,4,0
501,82940,4,0
502,82940,4,0
503,82940,4,0
504,82940,4,0
505,82940,4,0
506,82940,4,0
507,82940,4,0
508,82940,4,0
509,82940,4,0
510,82940,4,0
511,82940,4,0
512,82940,4,0
513,82940,4,0
514,82940,4,0
515,82940,4,0
516,82940,4,0
517,82940,4,0
518,82940,4,0
519,82940,4,0
520,82940,4,0
521,82940,4,0
522,82940,4,0
523,82940,4,0
524,82940,4,0
525,82940,4,0
526,82940,4,0
527,82940,4,0
528,82940,4,0
529,82940,4,0
530,82940,4,0
531,82940,4,0
532,82940,4,0
533,82940,4,0
534,82940,4,0
535,82940,4,0
536,82940,4,0
537,82940,4,0
538,82940,4,0
539,82940,4,0
540,82940,4,0
541,82940,4,0
542,82940,4,0
543,82940,4,0
544,82940,4,0
545,82940,4,0
546,82940,4,0
547,82940,4,0
548,82940,4,0
549,82940,4,0
550,82940,4,0
551,82940,4,0
552,82940,4,0
553,82940,4,0
554,82940,4,0
555,82940,4,0
556,82940,4,0
557,82940,4,0
558,82940,4,0
559,82940,4,0
560,82940,4,0
561,82940,4,0
562,82940,4,0
563,82940,4,0
564,82940,4,0
565,82940,4,0
566,82940,4,0
567,82940,4,0
568,82940,4,0
569,82940,4,0
570,82940,4,0
571,82940,4,0
572,82940,4,0
573,82940,4,0
574,82940,4,0
575,82940,4,0
576,82940,4,0
577,82940,4,0
578,82940,4,0
579,82940,4,0
580,82940,4,0
581,82940,4,0
582,82940,4,0
583,82940,4,0
584,82940,4,0
585,82940,4,0
586,82940,4,0
587,82940,4,0
588,82940,4,0
589,82940,4,0
590,82940,4,0
591,82940,4,0
592,82940,4,0
593,82940,4,0
594,82940,4,0
595,82940,4,0
596,82940,4,0
597,82940,4,0
598,82940,4,0
599,82940,4,0
600,82940,4,0
601,82940,4,0
602,82940,4,0
603,82940,4,0
604,82940,4,0
605,82940,4,0
606,82940,4,0
607,82940,4,0
608,82940,4,0
609,82940,4,0
610,82940,4,0
611,82940,4,0
612,82940,4,0
613,82940,4,0
614,82940,4,0
615,82940,4,0
616,82940,4,0
617,82940,4,0
618,82940,4,0
619,82940,4,0
620,82940,4,0
621,82940,4,0
622,82940,4,0
623,82940,4,0
624,82940,4,0
625,82940,4,0
626,82940,4,0
627,82940,4,0
628,82940,4,0
629,82940,4,0
630,82940,4,0
