step,edge_count,action,edge_key,row,col,offset_x,offset_y,lattice_shell,relative_distance_r_over_H,absolute_relative_cutoff_distance,near_cutoff
495,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
495,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
495,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
495,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
496,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
496,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
496,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
496,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
497,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
497,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
497,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
497,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
498,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
498,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
498,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
498,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
499,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
499,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
499,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
499,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
500,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
500,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
500,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
500,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
501,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
501,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
501,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
501,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
502,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
502,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
502,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
502,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
503,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
503,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
503,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
503,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
504,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
504,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
504,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
504,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
505,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
505,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
505,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
505,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
506,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
506,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
506,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
506,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
507,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
507,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
507,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
507,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
508,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
508,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
508,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
508,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
509,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
509,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
509,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
509,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
510,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
510,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
510,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
510,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
511,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
511,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
511,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
511,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
512,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
512,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
512,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
512,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
513,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
513,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
513,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
513,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
514,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
514,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
514,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
514,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
515,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
515,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
515,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
515,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
516,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
516,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
516,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
516,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
517,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
517,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
