run_id,layout,seed,step,time,velocity_relative_l2,modal_error,density_fluctuation_relative_rms,EOS_pressure_rms,pressure_operator_residual_l2,EOS_initialization_residual_l2,viscosity_residual_l2,total_material_residual_l2,closure_linf,minimum_separation,edge_count,current_rss_bytes,peak_rss_bytes
stage01e_short_j05_s20261019,jitter_05,20261019,0,0.0,0.0,0.0,0.00653421973991434,2.6136878959657364,0.16001223251212757,18.812467698552584,0.011444228218000499,18.827179125982983,9.692783527381583e-15,0.05652220897822854,76802.0,228376576,228376576
stage01e_short_j05_s20261019,jitter_05,20261019,1,0.00025,0.0066545247686925,3.196435316987767e-06,0.006529873347278894,2.611949338911558,0.15997821434028495,18.79844005536056,0.02056470259600712,18.797037979179592,1.1610326811401624e-14,0.05648470918519365,76782.0,237830144,237830144
stage01e_short_j05_s20261019,jitter_05,20261019,2,0.0005,0.013295116832796288,5.987236810112151e-06,0.006517113835701006,2.6068455342804024,0.15993718653405292,18.756808645310333,0.03611802966608604,18.739335432796967,7.177285420095031e-15,0.05644874064270064,76768.0,240320512,240320512
stage01e_short_j05_s20261019,jitter_05,20261019,3,0.00075,0.019912036169411312,8.3667730939041e-06,0.006495974239066483,2.598389695626593,0.15988920292480643,18.687669062750768,0.05262531804892564,18.654186478059234,9.555821852004313e-15,0.056414295924658506,76748.0,240402432,240402432
stage01e_short_j05_s20261019,jitter_05,20261019,4,0.001,0.02649558596209931,1.0329816168219708e-05,0.006466504916585461,2.5866019666341846,0.15983434629586754,18.59116679835672,0.06934160011803703,18.541755937285174,1.0325111434827764e-14,0.05638136559811934,76746.0,243007488,243007488
stage01e_short_j05_s20261019,jitter_05,20261019,5,0.00125,0.03303612911781781,1.1871584690292813e-05,0.006428773586432846,2.5715094345731386,0.1597727279124109,18.467497158755133,0.08607357416959754,18.40225833672879,8.273396579850253e-15,0.05634993824007313,76746.0,244842496,244842496
stage01e_short_j05_s20261019,jitter_05,20261019,6,0.0015,0.03952410468092686,1.2987786500051612e-05,0.006382865387261809,2.5531461549047236,0.15970448691874992,18.316905190017287,0.10273941879732165,18.23595778485458,6.828097252802292e-15,0.05632000045732503,76762.0,244842496,244842496
stage01e_short_j05_s20261019,jitter_05,20261019,7,0.00175,0.045950044119044485,1.3674660080065237e-05,0.006328882972126443,2.531553188850577,0.15962978960575736,18.139685614447536,0.11929122862845754,18.043167865836498,8.330418844700345e-15,0.05629153690942003,76764.0,244842496,244842496
stage01e_short_j05_s20261019,jitter_05,20261019,8,0.002,0.0523045874559083,1.3929014644697979e-05,0.006266946640965517,2.506778656386207,0.1595488285516745,17.93618279356653,0.13569432622778962,17.82425156167532,9.742407199430648e-15,0.056264530334575145,76764.0,246710272,246710272
stage01e_short_j05_s20261019,jitter_05,20261019,9,0.0022500000000000003,0.05857849922686968,1.3748268561264432e-05,0.006197194519643101,2.4788778078572404,0.1594618216400942,17.706790734287942,0.151920176054264,17.57962122062272,1.1328219809591016e-14,0.05623896157857389,76798.0,246710272,246710272
stage01e_short_j05_s20261019,jitter_05,20261019,10,0.0025000000000000005,0.06476268423319313,1.313048580720011e-05,0.006119782795689185,2.447913118275674,0.15936901095942174,17.451953160267383,0.16794352283243225,17.309738594848625,9.210502819627653e-15,0.05621480962657448,76810.0,246710272,246710272
stage01e_short_j05_s20261019,jitter_05,20261019,11,0.0027500000000000007,0.07084820307197037,1.2074410179918615e-05,0.006034886023427669,2.4139544093710676,0.15927066158864178,17.172163676574712,0.18374109610120745,17.015114976836028,8.881784197001252e-15,0.056192051637780044,76828.0,246743040,246743040
stage01e_short_j05_s20261019,jitter_05,20261019,12,0.003000000000000001,0.0768262874191772,1.0579496994345128e-05,0.005942697514229043,2.3770790056916176,0.15916706027474165,16.867966063610645,0.199290975021012,16.6963114722835,6.189555594204716e-15,0.05617066298291242,76870.0,246759424,246759424
stage01e_short_j05_s20261019,jitter_05,20261019,13,0.003250000000000001,0.08268835504420809,8.645942009666285e-06,0.0058434298313193135,2.3373719325277253,0.15905851400766557,16.539954746109803,0.2145722600627959,16.353939457959335,8.482132971516369e-15,0.0561414146538989,76882.0,248004608,248004608
stage01e_short_j05_s20261019,jitter_05,20261019,14,0.0035000000000000014,0.08842602453511601,6.274707345488295e-06,0.0057373154130871485,2.2949261652348594,0.1589453484991969,16.188775495903613,0.22956489866090235,15.988661286836777,8.503358973492438e-15,0.056112146896852406,76888.0,248020992,248020992
