run_id,layout,seed,step,time,velocity_relative_l2,modal_error,density_fluctuation_relative_rms,EOS_pressure_rms,pressure_operator_residual_l2,EOS_initialization_residual_l2,viscosity_residual_l2,total_material_residual_l2,closure_linf,minimum_separation,edge_count,current_rss_bytes,peak_rss_bytes
stage01e_short_regular,regular,0,0,0.0,0.0,0.0,8.83203509945464e-05,0.03532814039781856,0.15380724511540791,1.4169890816793942,0.007345242208509425,1.5708135003415091,2.9893669801409083e-16,0.0625,82944.0,231440384,231440384
stage01e_short_regular,regular,0,1,0.00025,0.0005552592630688979,2.442499649535357e-06,8.832110637023858e-05,0.03532844254809544,0.1537768825004074,1.4160779094850522,0.007349750394163568,1.5695775741444484,3.554447978966673e-16,0.06245122976299644,76672.0,237273088,237273088
stage01e_short_regular,regular,0,2,0.0005,0.0011099692540868379,4.576383173304777e-06,8.832863938846164e-05,0.035331455755384655,0.1537465153308371,1.4139045373861057,0.007366084634040066,1.5670798060889026,3.532708032038494e-16,0.06240246422761886,76640.0,241582080,241582080
stage01e_short_regular,regular,0,3,0.00075,0.0016636837719123969,6.402225974921905e-06,8.835871672471042e-05,0.03534348668988417,0.15371614362527308,1.4104709693626363,0.007394096908414836,1.563322436565901,3.3422138886441676e-16,0.06235370344321067,76640.0,245022720,245022720
stage01e_short_regular,regular,0,4,0.001,0.0022159574078353802,7.920849763531912e-06,8.843748866089264e-05,0.03537499546435706,0.15368576740915385,1.4057802238312593,0.0074335489309495075,1.5583087199662078,3.7238012298709097e-16,0.06230494748996129,76640.0,245088256,245088256
stage01e_short_regular,regular,0,5,0.00125,0.0027663459032926056,9.133321807408556e-06,8.860123273279986e-05,0.035440493093119946,0.15365538671469606,1.3998363311238502,0.007484117857821539,1.5520429219689773,3.447170978769293e-16,0.062256196478859493,76640.0,245121024,245121024
stage01e_short_regular,regular,0,6,0.0015,0.003314406506674553,1.0040953993151192e-05,8.889585633473784e-05,0.035558342533895136,0.1536250015808163,1.3926443301964404,0.007545403771471372,1.5445303160572987,3.3766115072321297e-16,0.06220745055162391,76640.0,246366208,246366208
stage01e_short_regular,regular,0,7,0.00175,0.003859698328942455,1.0645301686151853e-05,8.937603069745748e-05,0.03575041227898299,0.15359461205306565,1.3842102645708902,0.007616938523812145,1.5357771792629857,3.3422138886441676e-16,0.062158709880606455,76640.0,246366208,246366208
stage01e_short_regular,regular,0,8,0.002,0.004401782697772961,1.0948162403656703e-05,9.010382448199647e-05,0.036041529792798586,0.15356421818357202,1.374541177514595,0.007698195482432034,1.525790787145422,4.002966042486721e-16,0.06210997466867285,76640.0,247644160,247644160
stage01e_short_regular,regular,0,9,0.0022500000000000003,0.004940223509951233,1.0951574291984123e-05,9.114673683249062e-05,0.03645869473299625,0.15353382003099186,1.3636451064689301,0.007788599722132641,1.5145794080145336,3.554447978966673e-16,0.062061245149054756,76640.0,247660544,247660544
stage01e_short_regular,regular,0,10,0.0025000000000000005,0.005474587581734245,1.0657814416004108e-05,9.257510810839436e-05,0.03703004324335774,0.15350341766047176,1.3515310767316233,0.007887538237731332,1.502152296402185,4.002966042486721e-16,0.062012521585181,76640.0,247676928,247676928
stage01e_short_regular,regular,0,11,0.0027500000000000007,0.006004444996905387,1.006939685499475e-05,9.445901069915491e-05,0.03778360427966197,0.1534730111436164,1.3382090944077973,0.007994369813653557,1.4885196857955487,3.927683650008203e-16,0.06196380427048043,76640.0,247758848,247758848
stage01e_short_regular,regular,0,12,0.003000000000000001,0.006529369452247405,9.189070616755224e-06,9.68648699655559e-05,0.038745947986222364,0.15344260055846756,1.3236901386389894,0.008108434261210586,1.473692780640197,3.3422138886441676e-16,0.06191509352816116,76640.0,247791616,247791616
stage01e_short_regular,regular,0,13,0.003250000000000001,0.007048938600158457,8.019817360205295e-06,9.98521911633107e-05,0.039940876465324286,0.15341218598948841,1.3079861531285708,0.008229060815655238,1.457683747629292,3.8559277963506344e-16,0.0618663897109637,76672.0,247791616,247791616
stage01e_short_regular,regular,0,14,0.0035000000000000014,0.007562734388140221,6.564848934798029e-06,0.00010347081786935202,0.04138832714774081,0.15338176752755742,1.2911100369782944,0.008355575563793132,1.4405057062909705,3.6188843062238402e-16,0.06181769320089048,76672.0,249643008,249643008
stage01e_short_regular,regular,0,15,0.0037500000000000016,0.008070343394891377,4.827604739188196e-06,0.000107759085225062,0.0431036340900248,0.15335134526996852,1.2730756348583026,0.008487307843057958,1.4221727188928404,3.480531475248531e-16,0.06176900440890987,76672.0,251084800,251084800
stage01e_short_regular,regular,0,16,0.004000000000000002,0.008571357162737221,2.8117488977130733e-06,0.00011274306543307283,0.04509722617322913,0.15332091932043812,1.2538977265350326,0.008623595610934849,1.4026997796836285,3.7238012298709097e-16,0.06172032377463643,76640.0,251084800,251084800
stage01e_short_regular,regular,0,17,0.004250000000000002,0.009065372526134667,5.211672573501858e-07,0.00011843688788772718,0.047374755155090875,0.1532904897891192,1.2335920157851687,0.00876378982802908,1.382102803494439,4.002966042486721e-16,0.06167165176598477,76608.0,251084800,251084800
stage01e_short_regular,regular,0,18,0.004500000000000002,0.009551991935991346,2.0400357879646336e-06,0.00012484392629409242,0.04993757051763697,0.15326005679261953,1.2121751187300613,0.008907257929196366,1.3603986137266517,4.002966042486721e-16,0.061622988878801355,76608.0,251084800,251084800
