step,gc_collected,watched_tensor_reference_count,alive_tensor_reference_count,age0_alive_tensor_reference_count,age1_alive_tensor_reference_count,age2_alive_tensor_reference_count,old_survivor_storage_count,old_survivor_bytes,old_survivor_slot_count,same_slot_multiple_generation_count
119,False,3048,1788,18,15,15,0,0,0,0
120,False,3080,1820,32,18,15,0,0,0,0
121,False,3112,1833,30,18,15,0,0,0,0
122,False,3144,1840,25,15,15,0,0,0,0
123,False,3176,1851,18,18,15,0,0,0,0
124,False,3208,1883,32,18,18,3,2654208,1,0
125,False,3240,1896,30,18,15,3,2654208,1,0
125,True,3240,1878,18,15,15,0,0,0,0
126,False,3072,1910,32,18,15,0,0,0,0
127,False,3104,1917,27,15,15,0,0,0,0
128,False,3136,1923,18,15,15,0,0,0,0
129,False,3168,1955,32,18,15,0,0,0,0
130,False,3200,1968,30,18,15,0,0,0,0
131,False,3232,1975,25,15,15,0,0,0,0
132,False,3264,1983,18,15,15,0,0,0,0
133,False,3296,2015,32,18,15,0,0,0,0
134,False,3328,2028,30,18,15,0,0,0,0
135,False,3360,2041,25,18,18,3,2654208,1,0
136,False,3392,2049,18,15,18,3,2654208,2,0
137,False,3424,2081,32,18,15,3,2654208,2,0
138,False,3456,2094,30,18,15,3,2654208,2,0
139,False,3488,2107,25,18,18,6,5308416,2,1
140,False,3520,2115,18,15,18,6,5308416,2,2
141,False,3552,2147,32,18,15,6,5308416,2,2
142,False,3584,2148,30,18,15,0,0,0,0
143,False,3616,2155,25,15,15,0,0,0,0
144,False,3648,2163,18,15,15,0,0,0,0
145,False,3680,2195,32,18,15,0,0,0,0
146,False,3712,2208,30,18,15,0,0,0,0
147,False,3744,2215,25,15,15,0,0,0,0
148,False,3776,2226,18,18,15,0,0,0,0
149,False,3808,2258,32,18,18,3,2654208,1,0
150,False,3840,2271,30,18,15,3,2654208,1,0
150,True,3840,2253,18,15,15,0,0,0,0
151,False,3672,2285,32,18,15,0,0,0,0
152,False,3704,2292,27,15,15,0,0,0,0
153,False,3736,2298,18,15,15,0,0,0,0
154,False,3768,2330,32,18,15,0,0,0,0
155,False,3800,2343,30,18,15,0,0,0,0
156,False,3832,2350,25,15,15,0,0,0,0
157,False,3864,2358,18,15,15,0,0,0,0
158,False,3896,2390,32,18,15,0,0,0,0
159,False,3928,2397,27,15,15,0,0,0,0
160,False,3960,2407,22,15,15,0,0,0,0
161,False,3992,2418,18,15,15,0,0,0,0
162,False,4024,2450,32,18,15,0,0,0,0
163,False,4056,2457,27,15,15,0,0,0,0
164,False,4088,2467,22,15,15,0,0,0,0
165,False,4120,2499,32,22,15,0,0,0,0
166,False,4152,2511,32,18,16,1,16384,1,0
167,False,4184,2517,27,15,15,0,0,0,0
168,False,4216,2528,20,18,15,0,0,0,0
169,False,4248,2560,32,20,18,3,2654208,1,0
170,False,4280,2571,30,18,15,3,2654208,1,0
171,False,4312,2581,27,16,15,3,2654208,1,0
172,False,4344,2588,18,16,16,4,2662400,2,0
173,False,4376,2620,32,18,16,5,2678784,3,0
174,False,4408,2633,30,18,15,5,2678784,3,0
175,False,4440,2640,25,15,15,5,2678784,3,0
175,True,4440,2628,18,15,15,0,0,0,0
176,False,4272,2660,32,18,15,0,0,0,0
177,False,4304,2667,27,15,15,0,0,0,0
178,False,4336,2673,18,15,15,0,0,0,0
179,False,4368,2705,32,18,15,0,0,0,0
180,False,4400,2718,30,18,15,0,0,0,0
181,False,4432,2725,25,15,15,0,0,0,0
182,False,4464,2733,18,15,15,0,0,0,0
183,False,4496,2765,32,18,15,0,0,0,0
184,False,4528,2772,27,15,15,0,0,0,0
185,False,4560,2782,22,15,15,0,0,0,0
186,False,4592,2793,18,15,15,0,0,0,0
187,False,4624,2825,32,18,15,0,0,0,0
188,False,4656,2832,27,15,15,0,0,0,0
189,False,4688,2841,21,15,15,0,0,0,0
190,False,4720,2873,32,21,15,0,0,0,0
191,False,4752,2883,30,18,15,0,0,0,0
192,False,4784,2892,27,15,15,0,0,0,0
193,False,4816,2899,18,16,15,0,0,0,0
194,False,4848,2931,32,18,16,1,16384,1,0
195,False,4880,2950,30,21,18,4,2670592,2,0
196,False,4912,2957,25,15,18,4,2670592,3,0
197,False,4944,2968,18,18,15,4,2670592,3,0
198,False,4976,3000,32,18,18,7,5324800,4,0
199,False,5008,3013,30,18,15,7,5324800,4,0
200,False,5040,3020,25,15,15,7,5324800,4,0
200,True,5040,3003,18,15,15,0,0,0,0
