run_id,solution,N,H_over_dx,execution_type,conditional_status,output_directory,t_final_contract,dt_or_time_control,steps_or_integration_contract,common_time_contract,dependency_predecessors,parameter_source_priority,resolution_status
f5_hold_a_dt2p5e4,MMS-A,28,4.75,heldout_rk2,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_hold_a_dt2p5e4,0.015,dt=2.5e-4,60,stage01f5_frozen_common_times;count=16;range=0.000:0.001:0.015;interpolation=false,f5_ref_hold_a_baseline=PASS|f5_ref_hold_a_tighter=PASS|f5_ref_hold_a_third=PASS,run_row>stage01f5_frozen_config>no_default,RESOLVED
f5_hold_a_dt1p25e4,MMS-A,28,4.75,heldout_rk2,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_hold_a_dt1p25e4,0.015,dt=1.25e-4,120,stage01f5_frozen_common_times;count=16;range=0.000:0.001:0.015;interpolation=false,f5_ref_hold_a_baseline=PASS|f5_ref_hold_a_tighter=PASS|f5_ref_hold_a_third=PASS,run_row>stage01f5_frozen_config>no_default,RESOLVED
f5_hold_a_dt6p25e5,MMS-A,28,4.75,heldout_rk2,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_hold_a_dt6p25e5,0.015,dt=6.25e-5,240,stage01f5_frozen_common_times;count=16;range=0.000:0.001:0.015;interpolation=false,f5_ref_hold_a_baseline=PASS|f5_ref_hold_a_tighter=PASS|f5_ref_hold_a_third=PASS,run_row>stage01f5_frozen_config>no_default,RESOLVED
f5_hold_b_dt1e3,MMS-B,28,4.75,heldout_rk2,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_hold_b_dt1e3,0.015,dt=1e-3,15,stage01f5_frozen_common_times;count=16;range=0.000:0.001:0.015;interpolation=false,f5_ref_hold_b_baseline=PASS|f5_ref_hold_b_tighter=PASS|f5_ref_hold_b_third=PASS,run_row>stage01f5_frozen_config>no_default,RESOLVED
f5_hold_b_dt5e4,MMS-B,28,4.75,heldout_rk2,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_hold_b_dt5e4,0.015,dt=5e-4,30,stage01f5_frozen_common_times;count=16;range=0.000:0.001:0.015;interpolation=false,f5_ref_hold_b_baseline=PASS|f5_ref_hold_b_tighter=PASS|f5_ref_hold_b_third=PASS,run_row>stage01f5_frozen_config>no_default,RESOLVED
f5_hold_b_dt2p5e4,MMS-B,28,4.75,heldout_rk2,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_hold_b_dt2p5e4,0.015,dt=2.5e-4,60,stage01f5_frozen_common_times;count=16;range=0.000:0.001:0.015;interpolation=false,f5_ref_hold_b_baseline=PASS|f5_ref_hold_b_tighter=PASS|f5_ref_hold_b_third=PASS,run_row>stage01f5_frozen_config>no_default,RESOLVED
f5_hold_b_dt1p25e4,MMS-B,28,4.75,heldout_rk2,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_hold_b_dt1p25e4,0.015,dt=1.25e-4,120,stage01f5_frozen_common_times;count=16;range=0.000:0.001:0.015;interpolation=false,f5_ref_hold_b_baseline=PASS|f5_ref_hold_b_tighter=PASS|f5_ref_hold_b_third=PASS,run_row>stage01f5_frozen_config>no_default,RESOLVED
f5_hold_b_dt6p25e5,MMS-B,28,4.75,heldout_rk2,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_hold_b_dt6p25e5,0.015,dt=6.25e-5,240,stage01f5_frozen_common_times;count=16;range=0.000:0.001:0.015;interpolation=false,f5_ref_hold_b_baseline=PASS|f5_ref_hold_b_tighter=PASS|f5_ref_hold_b_third=PASS,run_row>stage01f5_frozen_config>no_default,RESOLVED
f5_space_iso_a_dt6p25e5,MMS-A,32,5.049509756796392,space_dt_isolation,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_space_iso_a_dt6p25e5,0.02,dt=6.25e-5,320,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv;count=21;interpolation=false,stage01f5q_horizon_amendment_frozen,run_row>stage01f5q_binding>stage01f5_frozen_config>no_default,RESOLVED
f5_space_iso_a_dt3p125e5,MMS-A,32,5.049509756796392,space_dt_isolation,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_space_iso_a_dt3p125e5,0.02,dt=3.125e-5,640,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv;count=21;interpolation=false,stage01f5q_horizon_amendment_frozen,run_row>stage01f5q_binding>stage01f5_frozen_config>no_default,RESOLVED
f5_space_iso_b_dt6p25e5,MMS-B,32,5.049509756796392,space_dt_isolation,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_space_iso_b_dt6p25e5,0.02,dt=6.25e-5,320,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv;count=21;interpolation=false,stage01f5q_horizon_amendment_frozen,run_row>stage01f5q_binding>stage01f5_frozen_config>no_default,RESOLVED
f5_space_iso_b_dt3p125e5,MMS-B,32,5.049509756796392,space_dt_isolation,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_space_iso_b_dt3p125e5,0.02,dt=3.125e-5,640,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv;count=21;interpolation=false,stage01f5q_horizon_amendment_frozen,run_row>stage01f5q_binding>stage01f5_frozen_config>no_default,RESOLVED
f5_space_a_n16,MMS-A,16,4.06155281280883,formal_space,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_space_a_n16,0.02,SPACE_STEP_DECISION:{6.25e-5|3.125e-5},320_if_dt=6.25e-5;640_if_dt=3.125e-5,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv;count=21;interpolation=false,space_step_decision_committed,run_row>stage01f5q_binding>stage01f5_frozen_config>no_default,RESOLVED
f5_space_a_n24,MMS-A,24,4.5,formal_space,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_space_a_n24,0.02,SPACE_STEP_DECISION:{6.25e-5|3.125e-5},320_if_dt=6.25e-5;640_if_dt=3.125e-5,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv;count=21;interpolation=false,space_step_decision_committed,run_row>stage01f5q_binding>stage01f5_frozen_config>no_default,RESOLVED
f5_space_a_n32,MMS-A,32,5.049509756796392,formal_space,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_space_a_n32,0.02,SPACE_STEP_DECISION:{6.25e-5|3.125e-5},320_if_dt=6.25e-5;640_if_dt=3.125e-5,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv;count=21;interpolation=false,space_step_decision_committed,run_row>stage01f5q_binding>stage01f5_frozen_config>no_default,RESOLVED
f5_space_a_n48,MMS-A,48,5.5,formal_space,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_space_a_n48,0.02,SPACE_STEP_DECISION:{6.25e-5|3.125e-5},320_if_dt=6.25e-5;640_if_dt=3.125e-5,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv;count=21;interpolation=false,space_step_decision_committed,run_row>stage01f5q_binding>stage01f5_frozen_config>no_default,RESOLVED
f5_space_b_n16,MMS-B,16,4.06155281280883,formal_space,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_space_b_n16,0.02,SPACE_STEP_DECISION:{6.25e-5|3.125e-5},320_if_dt=6.25e-5;640_if_dt=3.125e-5,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv;count=21;interpolation=false,space_step_decision_committed|f5_ref_space_b_n16_baseline=PASS|f5_ref_space_b_n16_tighter=PASS|f5_ref_space_b_n16_third=PASS,run_row>stage01f5q_binding>stage01f5_frozen_config>no_default,RESOLVED
f5_space_b_n24,MMS-B,24,4.5,formal_space,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_space_b_n24,0.02,SPACE_STEP_DECISION:{6.25e-5|3.125e-5},320_if_dt=6.25e-5;640_if_dt=3.125e-5,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv;count=21;interpolation=false,space_step_decision_committed|f5_ref_space_b_n24_baseline=PASS|f5_ref_space_b_n24_tighter=PASS|f5_ref_space_b_n24_third=PASS,run_row>stage01f5q_binding>stage01f5_frozen_config>no_default,RESOLVED
f5_space_b_n32,MMS-B,32,5.049509756796392,formal_space,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_space_b_n32,0.02,SPACE_STEP_DECISION:{6.25e-5|3.125e-5},320_if_dt=6.25e-5;640_if_dt=3.125e-5,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv;count=21;interpolation=false,space_step_decision_committed|f5_ref_space_b_n32_baseline=PASS|f5_ref_space_b_n32_tighter=PASS|f5_ref_space_b_n32_third=PASS,run_row>stage01f5q_binding>stage01f5_frozen_config>no_default,RESOLVED
f5_space_b_n48,MMS-B,48,5.5,formal_space,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_space_b_n48,0.02,SPACE_STEP_DECISION:{6.25e-5|3.125e-5},320_if_dt=6.25e-5;640_if_dt=3.125e-5,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv;count=21;interpolation=false,space_step_decision_committed|f5_ref_space_b_n48_baseline=PASS|f5_ref_space_b_n48_tighter=PASS|f5_ref_space_b_n48_third=PASS,run_row>stage01f5q_binding>stage01f5_frozen_config>no_default,RESOLVED
f5_main_a_dt6p25e5_rep2,MMS-A,20,4.357388321059432,determinism_repeat,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_main_a_dt6p25e5_rep2,0.015,dt=6.25e-5,240,stage01f5_frozen_common_times;count=16;range=0.000:0.001:0.015;interpolation=false,f5_main_a_dt6p25e5=PASS,run_row>stage01f5_frozen_config>no_default,RESOLVED
f5_main_b_dt6p25e5_rep2,MMS-B,20,4.357388321059432,determinism_repeat,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_main_b_dt6p25e5_rep2,0.015,dt=6.25e-5,240,stage01f5_frozen_common_times;count=16;range=0.000:0.001:0.015;interpolation=false,f5_main_b_dt6p25e5=PASS,run_row>stage01f5_frozen_config>no_default,RESOLVED
