step,tracked_tensor_count,tracked_tensor_storage_bytes,tracked_type_PeriodicNeighborhood,tracked_type_ForceEvaluation,tracked_type_DynamicSPHState,tracked_type_function,tracked_type_cell,current_rss_bytes
25,49,12402720,1,1,1,27943,14773,270270464
50,71,17940512,1,1,1,27947,14785,273186816
75,95,23511072,1,1,1,27952,14800,273956864
100,126,31784992,1,1,1,27957,14815,278151168
125,29,6897696,1,1,1,27940,14764,278249472
150,18,4128800,1,1,1,27936,14752,283623424
175,117,29048864,1,1,1,27956,14812,283738112
200,62,15204384,1,1,1,27946,14782,286572544
225,18,4128800,1,1,1,27936,14752,290865152
250,117,29048864,1,1,1,27956,14812,290930688
275,62,15204384,1,1,1,27946,14782,295026688
300,150,37355552,1,1,1,27962,14830,297762816
325,40,9666592,1,1,1,27942,14770,298123264
350,117,29048864,1,1,1,27956,14812,298156032
375,194,48431136,1,1,1,27970,14854,298205184
400,84,20742176,1,1,1,27950,14794,298237952
425,161,40124448,1,1,1,27964,14836,298254336
450,40,9666592,1,1,1,27942,14770,298975232
475,117,29048864,1,1,1,27956,14812,299237376
500,194,48431136,1,1,1,27970,14854,299384832
