step,tracked_tensor_count,tracked_tensor_storage_bytes,tracked_type_PeriodicNeighborhood,tracked_type_ForceEvaluation,tracked_type_DynamicSPHState,tracked_type_function,tracked_type_cell,current_rss_bytes
25,49,12402720,1,1,1,27943,14773,282607616
50,71,17940512,1,1,1,27947,14785,287686656
75,95,23511072,1,1,1,27952,14800,289865728
100,126,31784992,1,1,1,27957,14815,294027264
125,29,6897696,1,1,1,27940,14764,294174720
150,18,4128800,1,1,1,27936,14752,299581440
175,117,29048864,1,1,1,27956,14812,307298304
200,62,15204384,1,1,1,27946,14782,308068352
225,18,4128800,1,1,1,27936,14752,308166656
250,117,29048864,1,1,1,27956,14812,308215808
275,62,15204384,1,1,1,27946,14782,309723136
300,150,37355552,1,1,1,27962,14830,309755904
325,40,9666592,1,1,1,27942,14770,310493184
350,117,29048864,1,1,1,27956,14812,310575104
375,194,48431136,1,1,1,27970,14854,311918592
400,84,20742176,1,1,1,27950,14794,314867712
425,161,40124448,1,1,1,27964,14836,317669376
450,40,9666592,1,1,1,27942,14770,317882368
475,117,29048864,1,1,1,27956,14812,317915136
500,194,48431136,1,1,1,27970,14854,319307776
