run_id,role,solution,resolution,support_ratio,dt,step,time,labeled_position_l1,labeled_position_l2,labeled_position_linf,labeled_velocity_l1,labeled_velocity_l2,labeled_velocity_linf,labeled_density_l1,labeled_density_l2,labeled_density_linf,labeled_pressure_l1,labeled_pressure_l2,labeled_pressure_linf,field_velocity_l1,field_velocity_l2,field_velocity_linf,field_density_l1,field_density_l2,field_density_linf,field_pressure_l1,field_pressure_l2,field_pressure_linf,unwrapped_periodic_position_l2,pressure_pair_residual,viscosity_pair_residual,normalized_internal_force_residual,internal_force_x,internal_force_y,external_force_x,external_force_y,total_force_x,total_force_y,assembly_defect,momentum_update_defect,viscous_power,external_power,kinetic_energy_update_defect,edge_count,edge_hash,topology_structural_defects,minimum_separation_over_dx,current_rss_bytes,peak_rss_bytes,step_time_seconds
f3b_ct_a_0000625,continuous_time,MMS_A,32,5.049509756796392,6.25e-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.663316122264355e-05,0.00010290727631381126,0.00020675547720960807,0.034653264489057416,0.0411629105255245,0.08270219088384323,0.0,0.0,0.0,8.663316122264355e-05,0.00010290727631381126,0.00020675547720960807,0.034653264489057416,0.0411629105255245,0.08270219088384323,0.0,0.0,0.0,5.0794615010692056e-18,1.9396376865765674e-16,-1.6555767173853653e-16,-1.3240819031479223e-17,-4.336808689942018e-19,2.3215479018345864e-16,-1.6881027825599304e-16,5.1509033818556e-17,0.0,0.0,-6.6204095157396115e-18,0.0,82944,be62d1965486e5202b29f70cf1e14908b154763270f70214346260f22a66f12a,0,1.0,271679488,271679488,0.0
f3b_ct_a_0000625,continuous_time,MMS_A,32,5.049509756796392,6.25e-05,16,0.0010000000000000005,1.0580983081657334e-07,1.1042252406516079e-07,1.548314363039154e-07,0.0002114797646552534,0.00022069904947106424,0.00030945788959008266,8.645398288788372e-05,0.00010262116671995032,0.00020582651916167816,0.03458159315515349,0.04104846668798012,0.08233060766467126,0.0002114797646552534,0.00022069904947106424,0.00030945788959008266,8.645345012262213e-05,0.00010262068130778416,0.00020582649556444288,0.03458138004904885,0.04104827252311366,0.08233059822577715,1.1042252405928964e-07,0.0,0.0,3.522554582523879e-18,8.375461782450522e-18,1.7672495411513722e-16,-1.6029929120198183e-16,8.716985466783456e-17,-1.7740258047294066e-16,2.77921674389503e-16,2.908469896672985e-17,4.530999764966094e-18,-7.48587279157889e-08,0.001961059405468336,8.370400439975472e-14,82944,be62d1965486e5202b29f70cf1e14908b154763270f70214346260f22a66f12a,0,0.9999995178813457,375357440,375357440,0.08233720797579736
f3b_ct_a_0000625,continuous_time,MMS_A,32,5.049509756796392,6.25e-05,32,0.0020000000000000013,4.2243363633321155e-07,4.408492690626127e-07,6.181452505771092e-07,0.0004213763384510676,0.00043974585704703893,0.0006165961174432592,8.59178038428172e-05,0.00010177293274158276,0.00020304680820193433,0.03436712153712688,0.0407091730966331,0.08121872328077373,0.0004213763384510676,0.00043974585704703893,0.0006165961174432592,8.591567684434727e-05,0.00010177097866629715,0.00020304671399495877,0.03436627073773891,0.04070839146651886,0.08121868559798351,4.408492690460992e-07,0.0,0.0,4.152872295071808e-18,2.0883089094786422e-16,5.421010862427522e-19,-1.947227101783966e-16,-8.977193988179977e-17,-1.0476103491641187e-17,-8.413408858487514e-17,2.510684573658481e-17,3.136912461127125e-20,-2.971973116446559e-07,0.003907437894962944,1.6557088698114347e-13,82944,be62d1965486e5202b29f70cf1e14908b154763270f70214346260f22a66f12a,0,0.9999980751466495,383975424,383975424,0.08266595902387053
f3b_ct_a_0000625,continuous_time,MMS_A,32,5.049509756796392,6.25e-05,48,0.0030000000000000022,9.47541737434908e-07,9.888489472612082e-07,1.3865281026061887e-06,0.0006281996222058171,0.0006555853343481893,0.0009192315564928935,8.503105454184885e-05,0.00010039298856527043,0.00019843705153443914,0.03401242181673954,0.04015719542610817,0.07937482061377565,0.0006281996222058171,0.0006555853343481893,0.0009192315564928935,8.502613164577749e-05,0.0001003885453259327,0.00019843684023146402,0.034010452658311,0.040155418130373086,0.07937473609258561,9.888489472514502e-07,0.0,0.0,4.462397948965112e-18,2.2424011432431445e-16,-1.6371452804531117e-17,-2.515891141252613e-16,-4.607859233063394e-17,-2.4299681190831368e-17,-1.104395437948047e-16,4.8086280014049243e-17,5.8289120964338686e-18,-6.605406916832688e-07,0.005825317783138422,2.4262523689129304e-13,82944,be62d1965486e5202b29f70cf1e14908b154763270f70214346260f22a66f12a,0,0.9999956822705407,392724480,392724480,0.08274599997093901
f3b_ct_a_0000625,continuous_time,MMS_A,32,5.049509756796392,6.25e-05,64,0.004000000000000003,1.6773246729642421e-06,1.7504459503879259e-06,2.4543986935801286e-06,0.0008304819164797807,0.0008666857717906635,0.0012152140113589863,8.39317102554496e-05,9.853305848078387e-05,0.0001920311008711817,0.03357268410217984,0.03941322339231354,0.07681244034847268,0.0008304819164797807,0.0008666857717906635,0.0012152140113589863,8.392299585873895e-05,9.852504490872612e-05,0.00019203072684581546,0.03356919834349558,0.039410017963490446,0.07681229073832618,1.750445950365199e-06,0.0,0.0,3.635209661446862e-18,1.582257545471033e-16,-9.324138683375338e-17,1.2553705904666534e-16,3.252606517456513e-17,3.3050547975504996e-16,-6.562133648968516e-17,4.699942362818983e-17,4.535337504806483e-18,-1.154420730574054e-06,0.007701089091274477,3.1279048197724847e-13,82944,be62d1965486e5202b29f70cf1e14908b154763270f70214346260f22a66f12a,0,0.9999923563859952,392790016,392790016,0.08206716598942876
f3b_ct_a_0000625,continuous_time,MMS_A,32,5.049509756796392,6.25e-05,80,0.005000000000000004,2.6065208237771047e-06,2.7201491807596315e-06,3.814048375380451e-06,0.0010267883369151419,0.0010715497090646687,0.0015024415264589899,8.268331623775718e-05,9.626794116955359e-05,0.00018387569854261265,0.033073326495102875,0.03850717646782143,0.07355027941704506,0.0010267883369151419,0.0010715497090646687,0.0015024415264589899,8.266900339532683e-05,9.625519575634694e-05,0.00018387511735629136,0.033067601358130735,0.038502078302538774,0.07355004694251654,2.720149180729669e-06,0.0,0.0,1.6123398742306623e-18,5.411524093418274e-17,-6.1257422745431e-17,-9.211652707979967e-17,3.598467010479389e-16,-4.831475931138529e-17,3.3198270521506146e-16,3.494980242726815e-17,1.930730907703473e-18,-1.7646761310283135e-06,0.009521446126344618,3.7409242028114207e-13,82944,be62d1965486e5202b29f70cf1e14908b154763270f70214346260f22a66f12a,0,0.9999881211645558,403439616,403439616,0.08394404099090025
f3b_ct_a_0000625,continuous_time,MMS_A,32,5.049509756796392,6.25e-05,96,0.0060000000000000045,3.7284543399559356e-06,3.890991635688315e-06,5.455696905458261e-06,0.0012157269924780022,0.001268724558050982,0.0017788753422824358,8.161944894474532e-05,9.369787395824579e-05,0.00017403012923133954,0.03264777957789813,0.03747914958329831,0.06961205169253581,0.0012157269924780022,0.001268724558050982,0.0017788753422824358,8.159838379111564e-05,9.367914322047507e-05,0.00017402929795173883,0.03263935351644626,0.037471657288190026,0.06961171918069553,3.8909916356476684e-06,0.0,0.0,4.163868000955869e-18,-1.9275759374076662e-16,8.814563662307151e-17,5.969888212248309e-17,2.242130092700023e-16,-1.1668725881375241e-16,3.3003114130458755e-16,2.409027938818816e-17,3.671914545462544e-18,-2.473856848057418e-06,0.011273481861994698,4.2473489384789584e-13,82944,be62d1965486e5202b29f70cf1e14908b154763270f70214346260f22a66f12a,0,0.9999830066518527,403832832,403832832,0.08312766696326435
f3b_ct_a_0000625,continuous_time,MMS_A,32,5.049509756796392,6.25e-05,112,0.007000000000000005,5.035083097390772e-06,5.254580459267981e-06,7.367562932596589e-06,0.0013959588543971894,0.0014568129027896473,0.0020425543927390594,8.102919562395132e-05,9.095120335737977e-05,0.00016256578006346167,0.03241167824958053,0.0363804813429519,0.06502631202538467,0.0013959588543971894,0.0014568129027896473,0.0020425543927390594,8.100003122484846e-05,9.092514577140465e-05,0.00016256465757202854,0.03240001248993939,0.03637005830856185,0.06502586302881141,5.254580459252568e-06,0.0,0.0,5.210955210663564e-18,-2.38727765854152e-16,1.1850329745266563e-16,-1.3312647425406388e-16,3.7198976537977657e-16,-3.350659051430671e-16,5.082197683525802e-16,4.083647484915512e-17,1.5004518901862282e-18,-3.2617214432680355e-06,0.012944779451975578,4.631894708796109e-13,82944,be62d1965486e5202b29f70cf1e14908b154763270f70214346260f22a66f12a,0,0.9999770490591757,412647424,412647424,0.0827650410356
f3b_ct_a_0000625,continuous_time,MMS_A,32,5.049509756796392,6.25e-05,128,0.008000000000000005,6.517056339656934e-06,6.801157102356904e-06,9.535948708388537e-06,0.00156620724582188,0.0016344824034466357,0.0022916092399897954,8.101852939746128e-05,8.818667895263992e-05,0.00014956561254941825,0.03240741175898451,0.03527467158105597,0.0598262450197673,0.00156620724582188,0.0016344824034466357,0.0022916092399897954,8.098075883051354e-05,8.815189617272697e-05,0.0001495641598354691,0.032392303532205416,0.03526075846909079,0.059825663934187645,6.801157102333515e-06,0.0,0.0,2.018642482881752e-18,9.871660780480518e-17,3.209238430557093e-17,2.0396553369883552e-16,3.935653886122381e-16,2.824346659324739e-16,4.181496728733469e-16,2.1594717717132776e-17,4.250010532288327e-19,-4.105813202553014e-06,0.01452350022721971,4.885651849277888e-13,82944,be62d1965486e5202b29f70cf1e14908b154763270f70214346260f22a66f12a,0,0.999970290512799,412729344,412729344,0.0833263749955222
f3b_ct_a_0000625,continuous_time,MMS_A,32,5.049509756796392,6.25e-05,144,0.009000000000000006,8.163781591429957e-06,8.51966715879522e-06,1.1945338413801539e-05,0.0017252668849446835,0.0018004752340723949,0.0025242753472684075,8.102807850634771e-05,8.559403148962096e-05,0.0001351235504930548,0.032411231402539084,0.034237612595848385,0.05404942019722192,0.0017252668849446835,0.0018004752340723949,0.0025242753472684075,8.098076409673242e-05,8.554914210346382e-05,0.00013512173093233049,0.03239230563869297,0.034219656841385525,0.054048692372932194,8.519667158773064e-06,0.0,0.0,2.3224037847081867e-18,1.1964170973377541e-16,-1.0842021724855044e-17,-1.519238294195313e-16,4.981908982570893e-16,-4.0969289592796e-17,4.694459881590674e-16,1.989925458643759e-17,3.2485321400890232e-18,-4.982098616011034e-06,0.015998467552945844,4.998571958837229e-13,82944,be62d1965486e5202b29f70cf1e14908b154763270f70214346260f22a66f12a,0,0.9999627787623986,412778496,412778496,0.0822865410009399
