run_id,role,solution,resolution,support_ratio,dt,step,time,labeled_position_l1,labeled_position_l2,labeled_position_linf,labeled_velocity_l1,labeled_velocity_l2,labeled_velocity_linf,labeled_density_l1,labeled_density_l2,labeled_density_linf,labeled_pressure_l1,labeled_pressure_l2,labeled_pressure_linf,field_velocity_l1,field_velocity_l2,field_velocity_linf,field_density_l1,field_density_l2,field_density_linf,field_pressure_l1,field_pressure_l2,field_pressure_linf,unwrapped_periodic_position_l2,pressure_pair_residual,viscosity_pair_residual,normalized_internal_force_residual,internal_force_x,internal_force_y,external_force_x,external_force_y,total_force_x,total_force_y,assembly_defect,momentum_update_defect,viscous_power,external_power,kinetic_energy_update_defect,edge_count,edge_hash,topology_structural_defects,minimum_separation_over_dx,current_rss_bytes,peak_rss_bytes,step_time_seconds
f3b_space_b_n48,space_consistency,MMS_B,48,5.5,6.25e-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.682928338277135e-05,5.5538391494648436e-05,0.00011146092770319971,0.018731713353108543,0.022215356597859375,0.04458437108127988,0.0,0.0,0.0,4.682928338277135e-05,5.5538391494648436e-05,0.00011146092770319971,0.018731713353108543,0.022215356597859375,0.04458437108127988,0.0,0.0,0.0,2.0599766438870136e-18,1.682681771697503e-16,-1.0408340855860843e-17,1.6653345369377348e-16,1.97758476261356e-16,2.7755575615628914e-16,1.717376241217039e-16,5.933667229953932e-17,0.0,-0.7780815839614968,-0.6104316479128511,0.0,223488,6e3d84f6d5016406a9d7c8e583243fec7bacab5c8f60b75f31b6804938f20506,0,0.9999999999999964,314523648,314523648,0.0
f3b_space_b_n48,space_consistency,MMS_B,48,5.5,6.25e-05,16,0.0010000000000000005,5.708601265630199e-08,5.9580960139387004e-08,8.397138609545852e-08,0.0001140929617191996,0.00011907939588518035,0.00016782098394240499,4.672972190993291e-05,5.538392428780659e-05,0.0001109439869679818,0.018691888763973166,0.02215356971512264,0.04437759478719272,0.0001140927210043944,0.00011907911168106495,0.000167812367819938,4.6729438346455474e-05,5.5383660627756426e-05,0.00011094398126842986,0.01869177533858219,0.022153464251102567,0.044377592507371943,5.958096013883647e-08,0.0,0.0,1.645735943559168e-18,-1.0234868508263162e-16,6.375108774214766e-17,5.551115123125783e-17,4.5102810375396984e-17,2.0816681711721685e-16,1.1796119636642288e-16,2.551669294683505e-16,2.3091307236526574e-18,-0.7770019203394185,-0.6085254968645264,7.68428872507769e-13,223488,6e3d84f6d5016406a9d7c8e583243fec7bacab5c8f60b75f31b6804938f20506,0,0.9968733713759533,539607040,552714240,0.17604387499159202
f3b_space_b_n48,space_consistency,MMS_B,48,5.5,6.25e-05,32,0.0020000000000000013,2.2788878898307727e-07,2.3784867315824773e-07,3.3519346349064695e-07,0.0002272911495361759,0.00023722491195977955,0.0003343087301942398,4.644305664063526e-05,5.49263821077243e-05,0.00010939719549807325,0.018577222656254104,0.02197055284308972,0.0437588781992293,0.00022728957977638075,0.00023722313775121397,0.0003343706904790788,4.6441904094954986e-05,5.492532067180259e-05,0.00010939717274438543,0.018576761637981994,0.021970128268721037,0.04375886909775417,2.3784867315730668e-07,0.0,0.0,4.2681534308155325e-18,3.3133218391157016e-16,5.811323644522304e-17,3.469446951953614e-16,1.6479873021779667e-16,5.689893001203927e-16,2.203098814490545e-16,1.0931855180251751e-16,1.5061127285995298e-18,-0.7759236818473645,-0.6066288483189295,7.851986882955256e-13,223488,6e3d84f6d5016406a9d7c8e583243fec7bacab5c8f60b75f31b6804938f20506,0,0.993758707653016,566951936,566951936,0.17893279099371284
f3b_space_b_n48,space_consistency,MMS_B,48,5.5,6.25e-05,48,0.0030000000000000022,5.11091007536867e-07,5.334282377598201e-07,7.517312077382254e-07,0.0003387513080617368,0.00035355644213712817,0.000498294744226162,4.599541394722171e-05,5.418342461032788e-05,0.00010683255474774889,0.018398165578888688,0.021673369844131152,0.042733021899099555,0.00033874641860018903,0.000353551022614702,0.0004984262753289319,4.599277412773342e-05,5.4181011037914115e-05,0.00010683250371734676,0.01839710965109337,0.021672404415165648,0.042733001486938704,5.334282377652818e-07,0.0,0.0,3.0301148069335397e-18,-2.185751579730777e-16,1.192622389734055e-16,1.942890293094024e-16,4.683753385137379e-17,-8.326672684688674e-17,1.2923689896027213e-16,6.955273130222859e-17,6.645412491494025e-19,-0.7748468661717599,-0.604749435796345,8.003849590477313e-13,223488,6e3d84f6d5016406a9d7c8e583243fec7bacab5c8f60b75f31b6804938f20506,0,0.9906559565788892,575569920,575569920,0.17628058296395466
f3b_space_b_n48,space_consistency,MMS_B,48,5.5,6.25e-05,64,0.004000000000000003,9.045381929340698e-07,9.440710111930083e-07,1.3305090302651772e-06,0.0004476435281947314,0.00046720781416076054,0.0006585296516852308,4.5415370778729806e-05,5.3185065235378155e-05,0.00010326983751862695,0.018166148311491923,0.02127402609415126,0.04130793500745078,0.00044763244569707885,0.0004671956614413196,0.0006587492984233532,4.541057066368979e-05,5.318071243474712e-05,0.00010326974720709092,0.018164228265475917,0.021272284973898853,0.04130789888283637,9.440710111964063e-07,0.0,0.0,7.41586490752925e-18,-5.759281940243e-16,7.19910242530375e-17,5.551115123125783e-17,2.949029909160572e-17,-4.996003610813204e-16,6.852157730108388e-17,3.8983061664562125e-17,9.921957669930534e-19,-0.7737714704356453,-0.6028948708795918,8.135686270721934e-13,223488,6e3d84f6d5016406a9d7c8e583243fec7bacab5c8f60b75f31b6804938f20506,0,0.9875650662581258,577470464,577470464,0.1816515829996206
f3b_space_b_n48,space_consistency,MMS_B,48,5.5,6.25e-05,80,0.005000000000000004,1.4052551782308353e-06,1.4666717956018592e-06,2.067147061190179e-06,0.0005531574647435316,0.0005773332800336545,0.0008138172641089618,4.4825445579881753e-05,5.1974638280716517e-05,9.873643214941552e-05,0.017930178231952705,0.020789855312286606,0.03949457285976621,0.0005531364618313217,0.0005773103987953568,0.0008141380962966285,4.481772682235625e-05,5.196771635746504e-05,9.873629185408461e-05,0.017927090728942503,0.020787086542986014,0.039494516741633845,1.466671795607869e-06,0.0,0.0,4.36575090045401e-19,4.5102810375396984e-17,8.673617379884035e-19,2.0816681711721685e-16,5.551115123125783e-17,3.469446951953614e-16,7.719519468096792e-17,9.596016124726694e-17,5.289859885939931e-18,-0.7726974912752971,-0.6010725868752156,8.242206288137932e-13,223488,6e3d84f6d5016406a9d7c8e583243fec7bacab5c8f60b75f31b6804938f20506,0,0.9844859851521651,577568768,577568768,0.17883987503591925
f3b_space_b_n48,space_consistency,MMS_B,48,5.5,6.25e-05,96,0.0060000000000000045,2.0094687129695325e-06,2.0972924394480372e-06,2.956114917403933e-06,0.0006545084065054103,0.000683113852746338,0.0009629986279918012,4.432566545544953e-05,5.061005800018849e-05,9.326712751611677e-05,0.017730266182179807,0.020244023200075397,0.037306851006446706,0.0006544729392007311,0.0006830753733189331,0.0009634282462962466,4.4314221984432636e-05,5.059988919290035e-05,9.326692691791205e-05,0.01772568879377305,0.02023995567716014,0.03730677076716482,2.0972924394581775e-06,0.0,0.0,6.976484368236007e-19,-1.9081958235744878e-17,-4.9439619065339e-17,1.6653345369377348e-16,1.4051260155412137e-16,2.0816681711721685e-16,7.892991815694472e-17,6.191772198285271e-17,7.735337926524453e-19,-0.7716249249458679,-0.5992897838109685,8.31709945055617e-13,223488,6e3d84f6d5016406a9d7c8e583243fec7bacab5c8f60b75f31b6804938f20506,0,0.9814186620780554,577617920,577617920,0.17610570800025016
f3b_space_b_n48,space_consistency,MMS_B,48,5.5,6.25e-05,112,0.007000000000000005,2.7126360458995527e-06,2.831191675729695e-06,3.990745441126411e-06,0.0007509431540085278,0.0007837634426248627,0.0011049607634710645,4.414711174879393e-05,4.916515637543647e-05,8.690384064113932e-05,0.017658844699517576,0.019666062550174588,0.03476153625645573,0.0007508879078198789,0.000783703661766883,0.0011055013675965915,4.4131399128120326e-05,4.915101940605067e-05,8.690356988316772e-05,0.01765255965124813,0.01966040776242027,0.03476142795326709,2.8311916757320627e-06,0.0,0.0,5.966722112976754e-18,4.666406150377611e-16,-3.2959746043559335e-17,-5.551115123125783e-17,-1.960237527853792e-16,3.608224830031759e-16,-2.5066754227864863e-16,5.4781292955490445e-17,1.7294473656169053e-18,-0.7705537674522057,-0.5975533751733132,8.356489193108926e-13,223488,6e3d84f6d5016406a9d7c8e583243fec7bacab5c8f60b75f31b6804938f20506,0,0.9783630462057754,577667072,577667072,0.1776859579840675
f3b_space_b_n48,space_consistency,MMS_B,48,5.5,6.25e-05,128,0.008000000000000005,3.5094792668852146e-06,3.662860972328806e-06,5.163284864125383e-06,0.0008417456616838374,0.0008785347482619816,0.0012386450599242472,4.418690931740255e-05,4.773064061341733e-05,7.969528922913138e-05,0.01767476372696102,0.01909225624536693,0.03187811569165255,0.0008416646061767158,0.0008784471773377742,0.001239293577150765,4.4166581649024176e-05,4.771179103407183e-05,7.969493899140367e-05,0.01766663265960967,0.019084716413628734,0.03187797559656147,3.6628609723324774e-06,0.0,0.0,2.958327049728738e-18,2.463307335887066e-16,-2.0816681711721685e-17,-2.914335439641036e-16,-3.0531133177191805e-16,1.3877787807814457e-17,-2.8015784137025435e-16,7.477946032289696e-17,6.698562538491504e-19,-0.7694840147001257,-0.5958699367758904,8.359942783604107e-13,223488,6e3d84f6d5016406a9d7c8e583243fec7bacab5c8f60b75f31b6804938f20506,0,0.975319087054012,577765376,577765376,0.17636049998691306
f3b_space_b_n48,space_consistency,MMS_B,48,5.5,6.25e-05,144,0.009000000000000006,4.3940251499640855e-06,4.586066125355529e-06,6.4649511558503125e-06,0.0009262424031617886,0.0009667248590238852,0.0013630552661770135,4.4232176551445534e-05,4.641382433273704e-05,7.169661182104825e-05,0.017692870620578213,0.018565529733094815,0.0286786447284193,0.0009261288548837903,0.0009666022792813964,0.0013638035376128121,4.4206726227503145e-05,4.6389538875339404e-05,7.169617339164436e-05,0.017682690491001258,0.01855581555013576,0.028678469356657743,4.586066125366414e-06,0.0,0.0,9.063420656085188e-19,5.0306980803327406e-17,1.214306433183765e-17,-2.7755575615628914e-16,-1.7694179454963432e-16,-2.0816681711721685e-16,-1.708702623837155e-16,2.0024600693958887e-17,1.2007943262570474e-18,-0.7684156626626603,-0.594245658134245,8.326804279727359e-13,223488,6e3d84f6d5016406a9d7c8e583243fec7bacab5c8f60b75f31b6804938f20506,0,0.9722867344841449,586186752,586186752,0.17943462496623397
