field,value
topology.s[58],0.01416015625
topology.s[59],0.014404296875
topology.s[60],0.0146484375
topology.s[61],0.014892578125
topology.s[62],0.01513671875
topology.s[63],0.015380859375
topology.s[64],0.015625
topology.s[65],0.015869140625
topology.s[66],0.01611328125
topology.s[67],0.016357421875
topology.s[68],0.0166015625
topology.s[69],0.016845703125
topology.s[70],0.01708984375
topology.s[71],0.017333984375
topology.s[72],0.017578125
topology.s[73],0.017822265625
topology.s[74],0.01806640625
topology.s[75],0.018310546875
topology.s[76],0.0185546875
topology.s[77],0.018798828125
topology.s[78],0.01904296875
topology.s[79],0.019287109375
topology.s[80],0.01953125
topology.s[81],0.019775390625
topology.s[82],0.02001953125
topology.s[83],0.020263671875
topology.s[84],0.0205078125
topology.s[85],0.020751953125
topology.s[86],0.02099609375
topology.s[87],0.021240234375
topology.s[88],0.021484375
topology.s[89],0.021728515625
topology.s[90],0.02197265625
topology.s[91],0.022216796875
topology.s[92],0.0224609375
topology.s[93],0.022705078125
topology.s[94],0.02294921875
topology.s[95],0.023193359375
topology.s[96],0.0234375
topology.s[97],0.023681640625
topology.s[98],0.02392578125
topology.s[99],0.024169921875
topology.s[100],0.0244140625
topology.s[101],0.024658203125
topology.s[102],0.02490234375
topology.s[103],0.025146484375
topology.s[104],0.025390625
topology.s[105],0.025634765625
topology.s[106],0.02587890625
topology.s[107],0.026123046875
topology.s[108],0.0263671875
topology.s[109],0.026611328125
topology.s[110],0.02685546875
topology.s[111],0.027099609375
topology.s[112],0.02734375
topology.s[113],0.027587890625
topology.s[114],0.02783203125
topology.s[115],0.028076171875
topology.s[116],0.0283203125
topology.s[117],0.028564453125
topology.s[118],0.02880859375
topology.s[119],0.029052734375
topology.s[120],0.029296875
topology.s[121],0.029541015625
topology.s[122],0.02978515625
topology.s[123],0.030029296875
topology.s[124],0.0302734375
topology.s[125],0.030517578125
topology.s[126],0.03076171875
topology.s[127],0.031005859375
topology.s[128],0.03125
topology.s[129],0.031494140625
topology.s[130],0.03173828125
topology.s[131],0.031982421875
topology.s[132],0.0322265625
topology.s[133],0.032470703125
topology.s[134],0.03271484375
topology.s[135],0.032958984375
topology.s[136],0.033203125
topology.s[137],0.033447265625
topology.s[138],0.03369140625
topology.s[139],0.033935546875
topology.s[140],0.0341796875
topology.s[141],0.034423828125
topology.s[142],0.03466796875
topology.s[143],0.034912109375
topology.s[144],0.03515625
topology.s[145],0.035400390625
topology.s[146],0.03564453125
topology.s[147],0.035888671875
topology.s[148],0.0361328125
topology.s[149],0.036376953125
topology.s[150],0.03662109375
topology.s[151],0.036865234375
topology.s[152],0.037109375
topology.s[153],0.037353515625
topology.s[154],0.03759765625
topology.s[155],0.037841796875
topology.s[156],0.0380859375
topology.s[157],0.038330078125
topology.s[158],0.03857421875
topology.s[159],0.038818359375
topology.s[160],0.0390625
topology.s[161],0.039306640625
topology.s[162],0.03955078125
topology.s[163],0.039794921875
topology.s[164],0.0400390625
topology.s[165],0.040283203125
topology.s[166],0.04052734375
topology.s[167],0.040771484375
topology.s[168],0.041015625
topology.s[169],0.041259765625
topology.s[170],0.04150390625
topology.s[171],0.041748046875
topology.s[172],0.0419921875
topology.s[173],0.042236328125
topology.s[174],0.04248046875
topology.s[175],0.042724609375
topology.s[176],0.04296875
topology.s[177],0.043212890625
topology.s[178],0.04345703125
topology.s[179],0.043701171875
topology.s[180],0.0439453125
topology.s[181],0.044189453125
topology.s[182],0.04443359375
topology.s[183],0.044677734375
topology.s[184],0.044921875
topology.s[185],0.045166015625
topology.s[186],0.04541015625
topology.s[187],0.045654296875
topology.s[188],0.0458984375
topology.s[189],0.046142578125
topology.s[190],0.04638671875
topology.s[191],0.046630859375
topology.s[192],0.046875
topology.s[193],0.047119140625
topology.s[194],0.04736328125
topology.s[195],0.047607421875
topology.s[196],0.0478515625
topology.s[197],0.048095703125
topology.s[198],0.04833984375
topology.s[199],0.048583984375
topology.s[200],0.048828125
topology.s[201],0.049072265625
topology.s[202],0.04931640625
topology.s[203],0.049560546875
topology.s[204],0.0498046875
topology.s[205],0.050048828125
topology.s[206],0.05029296875
topology.s[207],0.050537109375
topology.s[208],0.05078125
topology.s[209],0.051025390625
topology.s[210],0.05126953125
topology.s[211],0.051513671875
topology.s[212],0.0517578125
topology.s[213],0.052001953125
topology.s[214],0.05224609375
topology.s[215],0.052490234375
topology.s[216],0.052734375
topology.s[217],0.052978515625
topology.s[218],0.05322265625
topology.s[219],0.053466796875
topology.s[220],0.0537109375
topology.s[221],0.053955078125
topology.s[222],0.05419921875
topology.s[223],0.054443359375
topology.s[224],0.0546875
topology.s[225],0.054931640625
topology.s[226],0.05517578125
topology.s[227],0.055419921875
topology.s[228],0.0556640625
topology.s[229],0.055908203125
topology.s[230],0.05615234375
topology.s[231],0.056396484375
topology.s[232],0.056640625
topology.s[233],0.056884765625
topology.s[234],0.05712890625
topology.s[235],0.057373046875
topology.s[236],0.0576171875
topology.s[237],0.057861328125
topology.s[238],0.05810546875
topology.s[239],0.058349609375
topology.s[240],0.05859375
topology.s[241],0.058837890625
topology.s[242],0.05908203125
topology.s[243],0.059326171875
topology.s[244],0.0595703125
topology.s[245],0.059814453125
topology.s[246],0.06005859375
topology.s[247],0.060302734375
topology.s[248],0.060546875
topology.s[249],0.060791015625
topology.s[250],0.06103515625
topology.s[251],0.061279296875
topology.s[252],0.0615234375
topology.s[253],0.061767578125
topology.s[254],0.06201171875
topology.s[255],0.062255859375
topology.s[256],0.0625
topology.s[257],0.062744140625
topology.s[258],0.06298828125
topology.s[259],0.063232421875
topology.s[260],0.0634765625
topology.s[261],0.063720703125
topology.s[262],0.06396484375
topology.s[263],0.064208984375
topology.s[264],0.064453125
topology.s[265],0.064697265625
topology.s[266],0.06494140625
topology.s[267],0.065185546875
topology.s[268],0.0654296875
topology.s[269],0.065673828125
topology.s[270],0.06591796875
topology.s[271],0.066162109375
topology.s[272],0.06640625
topology.s[273],0.066650390625
topology.s[274],0.06689453125
topology.s[275],0.067138671875
topology.s[276],0.0673828125
topology.s[277],0.067626953125
topology.s[278],0.06787109375
topology.s[279],0.068115234375
topology.s[280],0.068359375
topology.s[281],0.068603515625
topology.s[282],0.06884765625
topology.s[283],0.069091796875
topology.s[284],0.0693359375
topology.s[285],0.069580078125
topology.s[286],0.06982421875
topology.s[287],0.070068359375
topology.s[288],0.0703125
topology.s[289],0.070556640625
topology.s[290],0.07080078125
topology.s[291],0.071044921875
topology.s[292],0.0712890625
topology.s[293],0.071533203125
topology.s[294],0.07177734375
topology.s[295],0.072021484375
topology.s[296],0.072265625
topology.s[297],0.072509765625
topology.s[298],0.07275390625
topology.s[299],0.072998046875
topology.s[300],0.0732421875
topology.s[301],0.073486328125
topology.s[302],0.07373046875
topology.s[303],0.073974609375
topology.s[304],0.07421875
topology.s[305],0.074462890625
topology.s[306],0.07470703125
topology.s[307],0.074951171875
topology.s[308],0.0751953125
topology.s[309],0.075439453125
topology.s[310],0.07568359375
topology.s[311],0.075927734375
topology.s[312],0.076171875
topology.s[313],0.076416015625
topology.s[314],0.07666015625
topology.s[315],0.076904296875
topology.s[316],0.0771484375
topology.s[317],0.077392578125
topology.s[318],0.07763671875
topology.s[319],0.077880859375
topology.s[320],0.078125
topology.s[321],0.078369140625
topology.s[322],0.07861328125
topology.s[323],0.078857421875
topology.s[324],0.0791015625
topology.s[325],0.079345703125
topology.s[326],0.07958984375
topology.s[327],0.079833984375
topology.s[328],0.080078125
topology.s[329],0.080322265625
topology.s[330],0.08056640625
topology.s[331],0.080810546875
topology.s[332],0.0810546875
topology.s[333],0.081298828125
topology.s[334],0.08154296875
topology.s[335],0.081787109375
topology.s[336],0.08203125
topology.s[337],0.082275390625
topology.s[338],0.08251953125
topology.s[339],0.082763671875
topology.s[340],0.0830078125
topology.s[341],0.083251953125
topology.s[342],0.08349609375
topology.s[343],0.083740234375
topology.s[344],0.083984375
topology.s[345],0.084228515625
topology.s[346],0.08447265625
topology.s[347],0.084716796875
topology.s[348],0.0849609375
topology.s[349],0.085205078125
topology.s[350],0.08544921875
topology.s[351],0.085693359375
topology.s[352],0.0859375
topology.s[353],0.086181640625
topology.s[354],0.08642578125
topology.s[355],0.086669921875
topology.s[356],0.0869140625
topology.s[357],0.087158203125
topology.s[358],0.08740234375
topology.s[359],0.087646484375
topology.s[360],0.087890625
topology.s[361],0.088134765625
topology.s[362],0.08837890625
topology.s[363],0.088623046875
topology.s[364],0.0888671875
topology.s[365],0.089111328125
topology.s[366],0.08935546875
topology.s[367],0.089599609375
topology.s[368],0.08984375
topology.s[369],0.090087890625
topology.s[370],0.09033203125
topology.s[371],0.090576171875
topology.s[372],0.0908203125
topology.s[373],0.091064453125
topology.s[374],0.09130859375
topology.s[375],0.091552734375
topology.s[376],0.091796875
topology.s[377],0.092041015625
topology.s[378],0.09228515625
topology.s[379],0.092529296875
topology.s[380],0.0927734375
topology.s[381],0.093017578125
topology.s[382],0.09326171875
topology.s[383],0.093505859375
topology.s[384],0.09375
topology.s[385],0.093994140625
