step,live_tensor_count,live_unique_storage_count,live_total_bytes,current_state_bytes,current_edge_dependent_bytes,current_force_workspace_bytes,monitor_bytes,unknown_live_bytes,old_survivor_bytes,old_survivor_storage_count,inventory_error_count,semantic_current_state_bytes,semantic_current_neighborhood_bytes,semantic_current_density_EOS_bytes,semantic_current_pressure_force_bytes,semantic_current_viscosity_force_bytes,semantic_RK2_midpoint_bytes,semantic_diagnostics_temporary_bytes,semantic_archive_checkpoint_bytes,semantic_memory_monitor_temporary_bytes,semantic_unknown_bytes,directed_edge_count,unique_pair_count
325,20,19,3998016,65568,3866912,65536,0,0,0,0,0,65568,3866912,0,16384,16384,0,32768,0,0,0,80560,40792
350,20,19,3984192,65568,3853088,65536,0,0,0,0,0,65568,3853088,0,16384,16384,0,32768,0,0,0,80272,40648
375,20,19,3964992,65568,3833888,65536,0,0,0,0,0,65568,3833888,0,16384,16384,0,32768,0,0,0,79872,40448
400,20,19,3963456,65568,3832352,65536,0,0,0,0,0,65568,3832352,0,16384,16384,0,32768,0,0,0,79840,40432
425,20,19,3962688,65568,3831584,65536,0,0,0,0,0,65568,3831584,0,16384,16384,0,32768,0,0,0,79824,40424
450,20,19,3981888,65568,3850784,65536,0,0,0,0,0,65568,3850784,0,16384,16384,0,32768,0,0,0,80224,40624
475,20,19,3975744,65568,3844640,65536,0,0,0,0,0,65568,3844640,0,16384,16384,0,32768,0,0,0,80096,40560
500,20,19,3981888,65568,3850784,65536,0,0,0,0,0,65568,3850784,0,16384,16384,0,32768,0,0,0,80224,40624
525,20,19,3990336,65568,3859232,65536,0,0,0,0,0,65568,3859232,0,16384,16384,0,32768,0,0,0,80400,40712
550,20,19,3991104,65568,3860000,65536,0,0,0,0,0,65568,3860000,0,16384,16384,0,32768,0,0,0,80416,40720
575,20,19,3984960,65568,3853856,65536,0,0,0,0,0,65568,3853856,0,16384,16384,0,32768,0,0,0,80288,40656
600,20,19,3991104,65568,3860000,65536,0,0,0,0,0,65568,3860000,0,16384,16384,0,32768,0,0,0,80416,40720
625,20,19,3998784,65568,3867680,65536,0,0,0,0,0,65568,3867680,0,16384,16384,0,32768,0,0,0,80576,40800
650,20,19,3973440,65568,3842336,65536,0,0,0,0,0,65568,3842336,0,16384,16384,0,32768,0,0,0,80048,40536
675,20,19,3956544,65568,3825440,65536,0,0,0,0,0,65568,3825440,0,16384,16384,0,32768,0,0,0,79696,40360
700,20,19,3958848,65568,3827744,65536,0,0,0,0,0,65568,3827744,0,16384,16384,0,32768,0,0,0,79744,40384
725,20,19,3968832,65568,3837728,65536,0,0,0,0,0,65568,3837728,0,16384,16384,0,32768,0,0,0,79952,40488
750,20,19,3958080,65568,3826976,65536,0,0,0,0,0,65568,3826976,0,16384,16384,0,32768,0,0,0,79728,40376
775,20,19,3958848,65568,3827744,65536,0,0,0,0,0,65568,3827744,0,16384,16384,0,32768,0,0,0,79744,40384
800,20,19,3965760,65568,3834656,65536,0,0,0,0,0,65568,3834656,0,16384,16384,0,32768,0,0,0,79888,40456
825,20,19,3971904,65568,3840800,65536,0,0,0,0,0,65568,3840800,0,16384,16384,0,32768,0,0,0,80016,40520
850,20,19,3974208,65568,3843104,65536,0,0,0,0,0,65568,3843104,0,16384,16384,0,32768,0,0,0,80064,40544
875,20,19,3981888,65568,3850784,65536,0,0,0,0,0,65568,3850784,0,16384,16384,0,32768,0,0,0,80224,40624
900,20,19,3974208,65568,3843104,65536,0,0,0,0,0,65568,3843104,0,16384,16384,0,32768,0,0,0,80064,40544
925,20,19,3971136,65568,3840032,65536,0,0,0,0,0,65568,3840032,0,16384,16384,0,32768,0,0,0,80000,40512
950,20,19,3975744,65568,3844640,65536,0,0,0,0,0,65568,3844640,0,16384,16384,0,32768,0,0,0,80096,40560
975,20,19,3987264,65568,3856160,65536,0,0,0,0,0,65568,3856160,0,16384,16384,0,32768,0,0,0,80336,40680
1000,20,19,3981120,65568,3850016,65536,0,0,0,0,0,65568,3850016,0,16384,16384,0,32768,0,0,0,80208,40616
1025,20,19,3982656,65568,3851552,65536,0,0,0,0,0,65568,3851552,0,16384,16384,0,32768,0,0,0,80240,40632
1050,20,19,3990336,65568,3859232,65536,0,0,0,0,0,65568,3859232,0,16384,16384,0,32768,0,0,0,80400,40712
1075,20,19,3992640,65568,3861536,65536,0,0,0,0,0,65568,3861536,0,16384,16384,0,32768,0,0,0,80448,40736
1100,20,19,3984192,65568,3853088,65536,0,0,0,0,0,65568,3853088,0,16384,16384,0,32768,0,0,0,80272,40648
1125,20,19,3990336,65568,3859232,65536,0,0,0,0,0,65568,3859232,0,16384,16384,0,32768,0,0,0,80400,40712
1150,20,19,3981888,65568,3850784,65536,0,0,0,0,0,65568,3850784,0,16384,16384,0,32768,0,0,0,80224,40624
1175,20,19,3983424,65568,3852320,65536,0,0,0,0,0,65568,3852320,0,16384,16384,0,32768,0,0,0,80256,40640
