layout,step,time,cases,velocity_relative_l2_mean,modal_error_mean,density_fluctuation_mean,EOS_pressure_rms_mean,pressure_operator_residual_l2_mean,EOS_initialization_residual_l2_mean,viscosity_residual_l2_mean,total_material_residual_l2_mean,minimum_separation_mean,edge_count_mean
regular,0,0.0,1,0.0,0.0,8.83203509945464e-05,0.03532814039781856,0.15380724511540791,1.4169890816793942,0.007345242208509425,1.5708135003415091,0.0625,82944.0
regular,1,0.00025,1,0.0005552592630688979,2.442499649535357e-06,8.832110637023858e-05,0.03532844254809544,0.1537768825004074,1.4160779094850522,0.007349750394163568,1.5695775741444484,0.06245122976299644,76672.0
regular,2,0.0005,1,0.0011099692540868379,4.576383173304777e-06,8.832863938846164e-05,0.035331455755384655,0.1537465153308371,1.4139045373861057,0.007366084634040066,1.5670798060889026,0.06240246422761886,76640.0
regular,3,0.00075,1,0.0016636837719123969,6.402225974921905e-06,8.835871672471042e-05,0.03534348668988417,0.15371614362527308,1.4104709693626363,0.007394096908414836,1.563322436565901,0.06235370344321067,76640.0
regular,4,0.001,1,0.0022159574078353802,7.920849763531912e-06,8.843748866089264e-05,0.03537499546435706,0.15368576740915385,1.4057802238312593,0.0074335489309495075,1.5583087199662078,0.06230494748996129,76640.0
regular,5,0.00125,1,0.0027663459032926056,9.133321807408556e-06,8.860123273279986e-05,0.035440493093119946,0.15365538671469606,1.3998363311238502,0.007484117857821539,1.5520429219689773,0.062256196478859493,76640.0
regular,6,0.0015,1,0.003314406506674553,1.0040953993151192e-05,8.889585633473784e-05,0.035558342533895136,0.1536250015808163,1.3926443301964404,0.007545403771471372,1.5445303160572987,0.06220745055162391,76640.0
regular,7,0.00175,1,0.003859698328942455,1.0645301686151853e-05,8.937603069745748e-05,0.03575041227898299,0.15359461205306565,1.3842102645708902,0.007616938523812145,1.5357771792629857,0.062158709880606455,76640.0
regular,8,0.002,1,0.004401782697772961,1.0948162403656703e-05,9.010382448199647e-05,0.036041529792798586,0.15356421818357202,1.374541177514595,0.007698195482432034,1.525790787145422,0.06210997466867285,76640.0
regular,9,0.0022500000000000003,1,0.004940223509951233,1.0951574291984123e-05,9.114673683249062e-05,0.03645869473299625,0.15353382003099186,1.3636451064689301,0.007788599722132641,1.5145794080145336,0.062061245149054756,76640.0
regular,10,0.0025000000000000005,1,0.005474587581734245,1.0657814416004108e-05,9.257510810839436e-05,0.03703004324335774,0.15350341766047176,1.3515310767316233,0.007887538237731332,1.502152296402185,0.062012521585181,76640.0
regular,11,0.0027500000000000007,1,0.006004444996905387,1.006939685499475e-05,9.445901069915491e-05,0.03778360427966197,0.1534730111436164,1.3382090944077973,0.007994369813653557,1.4885196857955487,0.06196380427048043,76640.0
regular,12,0.003000000000000001,1,0.006529369452247405,9.189070616755224e-06,9.68648699655559e-05,0.038745947986222364,0.15344260055846756,1.3236901386389894,0.008108434261210586,1.473692780640197,0.06191509352816116,76640.0
regular,13,0.003250000000000001,1,0.007048938600158457,8.019817360205295e-06,9.98521911633107e-05,0.039940876465324286,0.15341218598948841,1.3079861531285708,0.008229060815655238,1.457683747629292,0.0618663897109637,76672.0
regular,14,0.0035000000000000014,1,0.007562734388140221,6.564848934798029e-06,0.00010347081786935202,0.04138832714774081,0.15338176752755742,1.2911100369782944,0.008355575563793132,1.4405057062909705,0.06181769320089048,76672.0
regular,15,0.0037500000000000016,1,0.008070343394891377,4.827604739188196e-06,0.000107759085225062,0.0431036340900248,0.15335134526996852,1.2730756348583026,0.008487307843057958,1.4221727188928404,0.06176900440890987,76672.0
regular,16,0.004000000000000002,1,0.008571357162737221,2.8117488977130733e-06,0.00011274306543307283,0.04509722617322913,0.15332091932043812,1.2538977265350326,0.008623595610934849,1.4026997796836285,0.06172032377463643,76640.0
regular,17,0.004250000000000002,1,0.009065372526134667,5.211672573501858e-07,0.00011843688788772718,0.047374755155090875,0.1532904897891192,1.2335920157851687,0.00876378982802908,1.382102803494439,0.06167165176598477,76608.0
regular,18,0.004500000000000002,1,0.009551991935991346,2.0400357879646336e-06,0.00012484392629409242,0.04993757051763697,0.15326005679261953,1.2121751187300613,0.008907257929196366,1.3603986137266517,0.061622988878801355,76608.0
regular,19,0.0047500000000000025,1,0.010030823779542196,4.867540649544644e-06,0.0001319585361484881,0.05278341445939524,0.15322962045402744,1.189664551631815,0.0090533864763937,1.3376049297580612,0.06157433563647041,76608.0
regular,20,0.005000000000000003,1,0.010501482695529897,7.956816066800876e-06,0.0001397680127504027,0.055907205100161075,0.1531991809029415,1.1660787182009167,0.009201583096290133,1.3137403538045567,0.06152569258949647,76608.0
regular,21,0.005250000000000003,1,0.010963589884439934,1.1303122797179377e-05,0.00014825449963437568,0.059301799853750274,0.15316873827550423,1.1414368964746868,0.00935127780741688,1.2888243572801028,0.06147706031506406,76608.0
regular,22,0.005500000000000003,1,0.011416773413543715,1.4901517472853953e-05,0.00015739667057089595,0.06295866822835838,0.15313829271444138,1.115759225341089,0.009501923837866008,1.2628772667077135,0.06142843941657272,76608.0
regular,23,0.005750000000000003,1,0.01186066851650876,1.8746856618623298e-05,0.00016717110022058403,0.0668684400882336,0.15310784436910183,1.0890666908013928,0.009652998027132799,1.2359202492458197,0.061379830523150325,76608.0
regular,24,0.006000000000000004,1,0.012294917887337956,2.2833800832788853e-05,0.00017755330913414523,0.07102132365365808,0.15307739339550336,1.0613811120838847,0.00980400089616644,1.2079752979032337,0.061331234289141,76576.0
regular,25,0.006250000000000004,1,0.012719171968405243,2.7156819117135633e-05,0.00018851851262617728,0.07540740505047092,0.15304693995637886,1.0327251277605825,0.00995445645921897,1.1790652165419433,0.06128265139357447,76576.0
regular,26,0.006500000000000004,1,0.013133089232359922,3.171019336889458e-05,0.0002000421237911296,0.08001684951645184,0.15301648422122444,1.0031221820509968,0.01010391184051308,1.1492136047799455,0.061234082539610046,76576.0
regular,27,0.006750000000000004,1,0.013536336457675414,3.648802301225995e-05,0.00021210006565389064,0.08484002626155626,0.15298602636635036,0.9725965115629402,0.01025193674865274,1.118444842945269,0.06118552845396019,76576.0
regular,28,0.0070000000000000045,1,0.013928588997624803,4.1484229786337146e-05,0.0002246689430325304,0.08986757721301217,0.15295556657492776,0.941173132792514,0.010398122852429904,1.086784077265987,0.061136989886292126,76576.0
regular,29,0.007250000000000005,1,0.014309531042470817,4.669256266509603e-05,0.00023772611624548127,0.09509044649819251,0.15292510503704373,0.9088778308179992,0.010542083093418335,1.054257205538068,0.06108846760860931,76656.0
regular,30,0.007500000000000005,1,0.014678855874661832,5.210660292154223e-05,0.00025124970950237823,0.10049988380095129,0.15289464194974303,0.8757371497740413,0.010683450963554577,1.0208908635833254,0.06103996241461207,76720.0
regular,31,0.007750000000000005,1,0.015036266116833043,5.7719769325670356e-05,0.0002652185783347455,0.1060874313338982,0.15286417751705586,0.8417783859140315,0.010821879769773609,0.9867124129108915,0.06099147511903813,76848.0
regular,32,0.008000000000000005,1,0.01538147397241702,6.352532346898254e-05,0.00027961225341319255,0.11184490136527703,0.15283371194999035,0.8070295843837443,0.010957041902623496,0.9517499301296477,0.06094300655698315,76912.0
regular,33,0.008250000000000006,1,0.01571420145867379,6.951637522034648e-05,0.0002944108726568865,0.11776434906275461,0.15280324546650118,0.7715195413076689,0.011088628121533462,0.9160321988604664,0.060894557583202724,76944.0
regular,34,0.008500000000000006,1,0.016034180631956774,7.568588829853784e-05,0.0003095951095120929,0.12383804380483715,0.15277277829143535,0.7352778134852717,0.011216346865952133,0.8795887051616889,0.06084612907139619,77040.0
