R_density_L1,R_density_L2,R_density_Linf,R_density_relative_L2,R_pressure_operator_L1,R_pressure_operator_L2,R_pressure_operator_Linf,R_pressure_operator_relative_L2,R_EOS_initialization_L1,R_EOS_initialization_L2,R_EOS_initialization_Linf,R_EOS_initialization_relative_L2,R_viscosity_L1,R_viscosity_L2,R_viscosity_Linf,R_viscosity_relative_L2,R_total_L1,R_total_L2,R_total_Linf,R_total_relative_L2,closure_L1,closure_L2,closure_Linf,closure_relative_L2,density_rms,EOS_pressure_rms,analytic_pressure_rms,mean_edge_count,mean_neighbor_count,minimum_separation,resolution,particle_count,dx,H,support_ratio,dx_over_H,jitter_fraction,seed,case_id,support_family,layout,case_wall_seconds,config_sha256,code_git_hash
0.0004157504550326525,0.0004157504550326525,0.00041575045503283725,0.0004157504550326525,0.35335002551769124,0.36733071852628396,0.4799407126878715,0.23384999841182297,1.1576614259145717,1.2034656082685662,1.5724035932661906,0.7661500015881474,0.017456638125251174,0.018199110766943024,0.024777228065207338,0.06519366993802779,1.511091015575116,1.5709017499210132,2.059389219742891,0.9846391828610751,1.0025454307470117e-16,1.1446525731913323e-16,2.9893669801409083e-16,7.174667507905004e-17,0.0004157504550326525,0.166300182013061,0.25,12544.0,48.0,0.125,16,256,0.125,0.5,4.0,0.25,0.0,0,constant_neighbor_n16_regular_s0,constant_neighbor,regular,0.02364124997984618,ee1aa91554e807665105e62822c43932e7654217d9da610f8b597d18696cde93,273c5a79705bca6a716cb891be967c1f659a6808
0.007391011300682147,0.0091779720248154,0.02989228722267001,0.0091779720248154,0.35238356744434696,0.3679912174744665,0.5482278686710518,0.23438830881721445,14.526542899994848,16.227028184956506,41.15163176094202,10.335642571864188,0.01882001836182095,0.019932237117190003,0.03441582812648775,0.0714257838322902,14.591178767082972,16.3084995398626,41.513072590987804,10.22954580681612,1.1685847883738955e-15,1.516747205140489e-15,4.7890512603618944e-15,9.513833553123845e-16,0.0091779720248154,3.67118880992616,0.2502908670399204,12028.0,45.984375,0.11268445862410839,16,256,0.125,0.5,4.0,0.25,0.05,20261001,constant_neighbor_n16_jitter_05_s20261001,constant_neighbor,jitter_05,0.021285582974087447,ee1aa91554e807665105e62822c43932e7654217d9da610f8b597d18696cde93,273c5a79705bca6a716cb891be967c1f659a6808
0.007689764584632294,0.009444577529440917,0.02396281874826922,0.009444577529440917,0.35642266110318366,0.3698800307548258,0.5419697254311683,0.23559158212016731,14.316112778263836,15.814324668274448,36.53806184193977,10.072784305650591,0.019572913888664684,0.020656701030006407,0.034323136881032515,0.07400140442624872,14.332290405483706,15.819828628147322,36.80556721264487,9.91970183163404,1.091039486744473e-15,1.4114056057269122e-15,5.7058132606939315e-15,8.850110264403947e-16,0.009444577529440917,3.777831011776367,0.2501531451741645,12060.0,46.109375,0.1129755617351618,16,256,0.125,0.5,4.0,0.25,0.05,20261019,constant_neighbor_n16_jitter_05_s20261019,constant_neighbor,jitter_05,0.02107462502317503,ee1aa91554e807665105e62822c43932e7654217d9da610f8b597d18696cde93,273c5a79705bca6a716cb891be967c1f659a6808
0.006892192402978689,0.008595172668909079,0.021556287248150063,0.008595172668909079,0.3575605687733089,0.3722425253664225,0.5464447656330427,0.2369523378693372,13.104764830679379,14.56071443887121,32.44870596779432,9.26867590945472,0.019595866063048983,0.02056614708324584,0.033043834763008796,0.07363353920848136,13.148781819994655,14.615825458172573,32.10711315644258,9.161671187288766,1.0456105109013852e-15,1.351373108783693e-15,5.729661390981275e-15,8.470842861015112e-16,0.008595172668909079,3.4380690675636316,0.24970601101849174,12042.0,46.0390625,0.1133791308647308,16,256,0.125,0.5,4.0,0.25,0.05,20261037,constant_neighbor_n16_jitter_05_s20261037,constant_neighbor,jitter_05,0.021040832973085344,ee1aa91554e807665105e62822c43932e7654217d9da610f8b597d18696cde93,273c5a79705bca6a716cb891be967c1f659a6808
0.007209979789832149,0.0090848757226414,0.031135590726250273,0.0090848757226414,0.35914105897099746,0.3734897446783951,0.5421350000845354,0.237733313895893,13.973622999580153,15.842157967270618,38.088993655876564,10.083834339452824,0.020131709756666775,0.021003077376664306,0.03342629634814568,0.07519357082507848,13.96996523682568,15.842543863703995,37.939157501836675,9.933724357964707,1.1060827753255545e-15,1.4194233726255575e-15,5.688335768013442e-15,8.900187149375069e-16,0.0090848757226414,3.6339502890565605,0.24966357042764273,12016.0,45.9375,0.11298674749249216,16,256,0.125,0.5,4.0,0.25,0.05,20261061,constant_neighbor_n16_jitter_05_s20261061,constant_neighbor,jitter_05,0.021112125017680228,ee1aa91554e807665105e62822c43932e7654217d9da610f8b597d18696cde93,273c5a79705bca6a716cb891be967c1f659a6808
0.006643187086876669,0.008288990484329605,0.02412312829632457,0.008288990484329605,0.35603140721820536,0.3709642857798259,0.539148203295998,0.23609461859304348,12.635277721928851,14.268117588383143,31.78270774614635,9.08072800859691,0.018816266273812304,0.01986386453627663,0.030805387401334833,0.07116539014677474,12.726584318858894,14.371086061308572,32.24802878849053,9.00196549441051,9.991786584987465e-16,1.3319378546912709e-15,6.051288393278194e-15,8.343181967931389e-16,0.008288990484329605,3.3155961937318423,0.24998472996374957,12028.0,45.984375,0.11411890625282849,16,256,0.125,0.5,4.0,0.25,0.05,20261079,constant_neighbor_n16_jitter_05_s20261079,constant_neighbor,jitter_05,0.02079399995272979,ee1aa91554e807665105e62822c43932e7654217d9da610f8b597d18696cde93,273c5a79705bca6a716cb891be967c1f659a6808
0.007783280925998249,0.00967538861703247,0.02676580084979019,0.00967538861703247,0.35591420968481813,0.3708537672911311,0.5346074500812747,0.23602500627070613,14.186432217913413,15.9268940183504,39.16401639970626,10.136462379801,0.019249194845340448,0.02038589557279528,0.037641926004957194,0.07307055418309541,14.165519929548179,15.90042352296052,39.073615591568945,9.961135743086443,1.158223897022329e-15,1.5367882292614477e-15,5.873768566431738e-15,9.627514724966574e-16,0.00967538861703247,3.8701554468129884,0.25022414176508506,12028.0,45.984375,0.11353481413385867,16,256,0.125,0.5,4.0,0.25,0.05,20261103,constant_neighbor_n16_jitter_05_s20261103,constant_neighbor,jitter_05,0.020991124969441444,ee1aa91554e807665105e62822c43932e7654217d9da610f8b597d18696cde93,273c5a79705bca6a716cb891be967c1f659a6808
0.008059424825388498,0.009943686910337122,0.02531077498005363,0.009943686910337122,0.3552653885992535,0.36965788770846464,0.5459871601949966,0.23540727195450256,15.652804399032732,17.559122609227604,38.26521827514951,11.182082917199564,0.019318489335716577,0.020317308361630752,0.03376040396647501,0.07278610154014868,15.648613920163342,17.55615379550092,38.669763065406435,11.007477566489266,1.276373653408005e-15,1.7410511165354012e-15,8.895567264614205e-15,1.0916161552586642e-15,0.009943686910337122,3.9774747641348487,0.2501115222620263,12020.0,45.953125,0.11328638829356544,16,256,0.125,0.5,4.0,0.25,0.05,20261121,constant_neighbor_n16_jitter_05_s20261121,constant_neighbor,jitter_05,0.020919749978929758,ee1aa91554e807665105e62822c43932e7654217d9da610f8b597d18696cde93,273c5a79705bca6a716cb891be967c1f659a6808
0.00722303795044864,0.008736866961984424,0.02337818599488517,0.008736866961984424,0.35478606862686074,0.37000644983205205,0.5342952163647354,0.2356195861025485,13.878089334339471,15.339339077554738,32.85934597918907,9.76806951927628,0.019147362981895392,0.020244812788572587,0.0324223379009023,0.07251457589790254,13.924238032360364,15.388698550436574,32.695254353506996,9.647767451311266,1.1066664244145648e-15,1.433710537155743e-15,4.890793424952701e-15,8.988483210349685e-16,0.008736866961984424,3.494746784793769,0.2500198581433134,12052.0,46.078125,0.11399161258543557,16,256,0.125,0.5,4.0,0.25,0.05,20261147,constant_neighbor_n16_jitter_05_s20261147,constant_neighbor,jitter_05,0.020803832972887903,ee1aa91554e807665105e62822c43932e7654217d9da610f8b597d18696cde93,273c5a79705bca6a716cb891be967c1f659a6808
0.0067990359985859155,0.008414904942826432,0.02389009206760262,0.008414904942826432,0.35342394485604894,0.3671837782949065,0.5219870777633226,0.23392268606314043,12.939271081653283,14.283408129074196,27.484847988116435,9.099566465612241,0.018562800732093702,0.019703096983646917,0.035330603241883245,0.07061171961872113,12.931898405061407,14.271605099586964,27.893761516089935,8.951120901805051,1.0515543818582095e-15,1.3609813761712198e-15,4.451423477279052e-15,8.536046757323869e-16,0.008414904942826432,3.365961977130573,0.2503925221966958,12026.0,45.9765625,0.11278389022049545,16,256,0.125,0.5,4.0,0.25,0.05,20261171,constant_neighbor_n16_jitter_05_s20261171,constant_neighbor,jitter_05,0.02093633299227804,ee1aa91554e807665105e62822c43932e7654217d9da610f8b597d18696cde93,273c5a79705bca6a716cb891be967c1f659a6808
