support_family,layout,N,cases,H,dx,dx_over_H,density_rms_mean,density_rms_max,EOS_pressure_rms_mean,EOS_pressure_rms_max,R_pressure_operator_L2_mean,R_pressure_operator_L2_max,R_EOS_initialization_L2_mean,R_EOS_initialization_L2_max,R_viscosity_L2_mean,R_viscosity_L2_max,R_total_L2_mean,R_total_L2_max,closure_Linf_mean,closure_Linf_max,mean_edge_count_mean,mean_edge_count_max
constant_neighbor,regular,16,1,0.5,0.125,0.25,0.0004157504550326525,0.0004157504550326525,0.166300182013061,0.166300182013061,0.36733071852628396,0.36733071852628396,1.2034656082685662,1.2034656082685662,0.018199110766943024,0.018199110766943024,1.5709017499210132,1.5709017499210132,2.9893669801409083e-16,2.9893669801409083e-16,12544.0,12544.0
constant_neighbor,regular,24,1,0.3333333333333333,0.08333333333333333,0.25,0.0004157504550325188,0.0004157504550325188,0.16630018201300753,0.16630018201300753,0.17618508509523295,0.17618508509523295,1.3946112416997318,1.3946112416997318,0.008646138609489073,0.008646138609489073,1.570820122097183,1.570820122097183,3.236828524569469e-16,3.236828524569469e-16,28224.0,28224.0
constant_neighbor,regular,32,1,0.25,0.0625,0.25,0.00041575045503263494,0.00041575045503263494,0.16630018201305397,0.16630018201305397,0.10287982289721546,0.10287982289721546,1.4679165038976403,1.4679165038976403,0.0051995854769295476,0.0051995854769295476,1.5708049324984128,1.5708049324984128,2.9893669801409083e-16,2.9893669801409083e-16,50176.0,50176.0
constant_neighbor,regular,48,1,0.16666666666666666,0.041666666666666664,0.25,0.00041575045503269414,0.00041575045503269414,0.16630018201307767,0.16630018201307767,0.0483443512177652,0.0483443512177652,1.522451975577336,1.522451975577336,0.0027042308318056926,0.0027042308318056926,1.5707986545504085,1.5707986545504085,3.787898901196402e-16,3.787898901196402e-16,112896.0,112896.0
constant_neighbor,regular,64,1,0.125,0.03125,0.25,0.0004157504550326254,0.0004157504550326254,0.1663001820130501,0.1663001820130501,0.028816234710749414,0.028816234710749414,1.5419800920841231,1.5419800920841231,0.0018241838282650451,0.0018241838282650451,1.5707973860173388,1.5707973860173388,2.9504581591051765e-16,2.9504581591051765e-16,200704.0,200704.0
constant_neighbor,jitter_05,16,10,0.5,0.125,0.25,0.009005020750832815,0.009943686910337122,3.602008300333126,3.9774747641348487,0.37006894579098276,0.3734897446783951,15.447346366760025,17.559122609227604,0.02022900944072309,0.021003077376664306,15.474072296187408,17.55615379550092,5.846666517833382e-15,8.895567264614205e-15,12033.2,12060.0
constant_neighbor,jitter_05,24,10,0.3333333333333333,0.08333333333333333,0.25,0.00905646143371476,0.009681060896712432,3.622584573485904,3.872424358684973,0.18807106392734643,0.1908672969903386,23.3826471127629,25.638659170313346,0.015462250333271381,0.016670112921032827,23.3927077454536,25.64965330460828,9.80958950090477e-15,1.1574075031717257e-14,27065.8,27112.0
constant_neighbor,jitter_05,32,10,0.25,0.0625,0.25,0.009182858885180282,0.009793314097597662,3.673143554072113,3.9173256390390647,0.13293227933241758,0.13472881794773617,31.849260081255395,34.56973513259602,0.017832221740927804,0.01854622891019355,31.85328637807241,34.57619718741761,1.5571821762480605e-14,1.9628535260679792e-14,48132.0,48168.0
constant_neighbor,jitter_05,48,10,0.16666666666666666,0.041666666666666664,0.25,0.009139381842500894,0.009657031303290495,3.6557527370003577,3.8628125213161977,0.13143265085068956,0.13497520597840548,47.39946809990522,50.866293515287836,0.02543095722721795,0.02638389183227988,47.399335801612025,50.861352943452054,2.5050598713533127e-14,4.184753201087541e-14,108265.8,108320.0
constant_neighbor,jitter_05,64,10,0.125,0.03125,0.25,0.009139151645015614,0.009422326449305954,3.6556606580062456,3.768930579722381,0.16527203624639325,0.1705903374620641,63.056836329552695,65.27249835034411,0.03367748656156182,0.034648490098329585,63.05803286880127,65.27794461328723,3.1999552356733675e-14,4.0623136705872736e-14,192485.4,192636.0
