panel,lineage,run_id,Q_def,origin,record_id,variant
(a),HET_S1_02,D1_seed20700711,0.165797371709085,19,HET_S1_02_MAIN_N8_O19,MAIN
(a),HET_S1_02,D1_seed20700711,0.1628393449977441,20,HET_S1_02_MAIN_N8_O20,MAIN
(a),HET_S1_02,D1_seed20700711,0.15987923470748802,21,HET_S1_02_MAIN_N8_O21,MAIN
(a),HET_S1_02,D1_seed20700711,0.15691870428273189,22,HET_S1_02_MAIN_N8_O22,MAIN
(a),HET_S1_02,D1_seed20700711,0.15395954617008734,23,HET_S1_02_MAIN_N8_O23,MAIN
(a),HET_S1_02,D1_seed20700711,0.15100363659159025,24,HET_S1_02_MAIN_N8_O24,MAIN
(a),HET_S1_02,D1_seed20700711,0.14805301497418544,25,HET_S1_02_MAIN_N8_O25,MAIN
(a),HET_S1_02,D1_seed20700711,0.1451097605903952,26,HET_S1_02_MAIN_N8_O26,MAIN
(a),HET_S1_02,D1_seed20700711,0.1421761519448495,27,HET_S1_02_MAIN_N8_O27,MAIN
(a),HET_S1_02,D1_seed20700711,0.1392545518099265,28,HET_S1_02_MAIN_N8_O28,MAIN
(a),HET_S1_02,D1_seed20700711,0.13634753680724004,29,HET_S1_02_MAIN_N8_O29,MAIN
(a),HET_S1_02,D1_seed20700711,0.13345789770892985,30,HET_S1_02_MAIN_N8_O30,MAIN
(a),HET_S1_02,D1_seed20700711,0.1305884854872572,31,HET_S1_02_MAIN_N8_O31,MAIN
(a),HET_S1_02,D1_seed20700712,0.15739982717137022,0,HET_S1_02_LOW_N8_O00,LOW
(a),HET_S1_02,D1_seed20700712,0.15553830220631776,1,HET_S1_02_LOW_N8_O01,LOW
(a),HET_S1_02,D1_seed20700712,0.15368427817007435,2,HET_S1_02_LOW_N8_O02,LOW
(a),HET_S1_02,D1_seed20700712,0.15183915352784522,3,HET_S1_02_LOW_N8_O03,LOW
(a),HET_S1_02,D1_seed20700712,0.15000436988607976,4,HET_S1_02_LOW_N8_O04,LOW
(a),HET_S1_02,D1_seed20700712,0.1481814146560033,5,HET_S1_02_LOW_N8_O05,LOW
(a),HET_S1_02,D1_seed20700712,0.14637182563514411,6,HET_S1_02_LOW_N8_O06,LOW
(a),HET_S1_02,D1_seed20700712,0.14457718069585784,7,HET_S1_02_LOW_N8_O07,LOW
(a),HET_S1_02,D1_seed20700712,0.1427991453977646,8,HET_S1_02_LOW_N8_O08,LOW
(a),HET_S1_02,D1_seed20700712,0.14103948509324918,9,HET_S1_02_LOW_N8_O09,LOW
(a),HET_S1_02,D1_seed20700712,0.13929994765338263,10,HET_S1_02_LOW_N8_O10,LOW
(a),HET_S1_02,D1_seed20700712,0.1375823310438515,11,HET_S1_02_LOW_N8_O11,LOW
(a),HET_S1_02,D1_seed20700712,0.13588850579435843,12,HET_S1_02_LOW_N8_O12,LOW
(a),HET_S1_02,D1_seed20700712,0.13422040359332363,13,HET_S1_02_LOW_N8_O13,LOW
(a),HET_S1_02,D1_seed20700712,0.13258000568313041,14,HET_S1_02_LOW_N8_O14,LOW
(a),HET_S1_02,D1_seed20700712,0.13096934674664984,15,HET_S1_02_LOW_N8_O15,LOW
(a),HET_S1_02,D1_seed20700712,0.12939051124027903,16,HET_S1_02_LOW_N8_O16,LOW
(a),HET_S1_02,D1_seed20700712,0.12784563081221884,17,HET_S1_02_LOW_N8_O17,LOW
(a),HET_S1_02,D1_seed20700712,0.12633686057416804,18,HET_S1_02_LOW_N8_O18,LOW
(a),HET_S1_02,D1_seed20700712,0.1248664010056149,19,HET_S1_02_LOW_N8_O19,LOW
(a),HET_S1_02,D1_seed20700712,0.12343651264157611,20,HET_S1_02_LOW_N8_O20,LOW
(a),HET_S1_02,D1_seed20700712,0.12204951234305185,21,HET_S1_02_LOW_N8_O21,LOW
(a),HET_S1_02,D1_seed20700712,0.12070773189465003,22,HET_S1_02_LOW_N8_O22,LOW
(a),HET_S1_02,D1_seed20700712,0.11941345056876777,23,HET_S1_02_LOW_N8_O23,LOW
