panel,lineage,variant,origin,run_id,error,target_RMS,source_RMS
(a),LCDF_01,VARIANT_LOW,21,D1_seed20600611,0.2744358026257837,0.10221261450048304,0.0013970071230933248
(a),LCDF_01,VARIANT_LOW,10,D1_seed20600611,0.24878205114902657,0.08970472337196658,0.001749882735379505
(a),LCDF_01,VARIANT_LOW,3,D1_seed20600611,0.2228988567351209,0.07828367051047995,0.0020055298322172238
(a),LCDF_01,VARIANT_LOW,14,D1_seed20600611,0.2603237588878443,0.09506361350551965,0.0016101779035508717
(a),LCDF_01,VARIANT_LOW,24,D1_seed20600611,0.27802599215905616,0.10436433259260278,0.001324447991509242
(a),LCDF_01,VARIANT_LOW,15,D1_seed20600611,0.2628212745556431,0.0962621125151282,0.0015768270728496669
(a),LCDF_01,VARIANT_LOW,2,D1_seed20600611,0.2186451869788517,0.07645518718777061,0.0020419188332075266
(a),LCDF_01,VARIANT_LOW,7,D1_seed20600611,0.23854650220458765,0.08511548166759193,0.001858858288949257
(a),LCDF_01,VARIANT_LOW,28,D1_seed20600611,0.28046697730764447,0.10635193238520216,0.0012514943114119428
(a),LCDF_01,VARIANT_LOW,16,D1_seed20600611,0.2651604750022272,0.0974026264568367,0.00154428591761469
(a),LCDF_01,VARIANT_LOW,22,D1_seed20600611,0.2757989078387752,0.10299203792604647,0.0013713091031071491
(a),LCDF_01,VARIANT_LOW,9,D1_seed20600611,0.24551740582512457,0.08822781338271928,0.0017859486631414169
(a),LCDF_01,VARIANT_LOW,30,D1_seed20600611,0.2806750011448657,0.106962447715927,0.0012267699411739482
(a),LCDF_01,VARIANT_LOW,26,D1_seed20600611,0.2795832693880282,0.10548519777572421,0.0012842686887596538
(a),LCDF_01,VARIANT_LOW,11,D1_seed20600611,0.2518968399386194,0.09112759904933894,0.0017141870347428818
(a),LCDF_01,VARIANT_LOW,23,D1_seed20600611,0.27699587811530263,0.10370942137365782,0.001347090519272069
(a),LCDF_01,VARIANT_LOW,4,D1_seed20600611,0.2270182635005278,0.08006500017141395,0.0019689525065454882
(a),LCDF_01,VARIANT_LOW,5,D1_seed20600611,0.2310009255900218,0.08179810303478673,0.001932263042230875
(a),LCDF_01,VARIANT_LOW,31,D1_seed20600611,0.28052540844550417,0.10717113915266088,0.00121759660253287
(a),LCDF_01,VARIANT_LOW,8,D1_seed20600611,0.2421048708558055,0.08669775887915655,0.0018223012590509475
(a),LCDF_01,VARIANT_LOW,12,D1_seed20600611,0.25485989556728667,0.09249558316308595,0.0016789464999369447
(a),LCDF_01,VARIANT_LOW,18,D1_seed20600611,0.2693583887089474,0.09950698581516576,0.0014820037402338525
(a),LCDF_01,VARIANT_LOW,6,D1_seed20600611,0.2348444436695943,0.08348193500717399,0.001895538792900068
(a),LCDF_01,VARIANT_LOW,0,D1_seed20600611,0.2097453879683045,0.07266119341441014,0.002113832988175371
(a),LCDF_01,VARIANT_LOW,27,D1_seed20600611,0.2801094940735865,0.10595047636542258,0.001266913266335544
(a),LCDF_01,VARIANT_LOW,25,D1_seed20600611,0.27888862920327423,0.10495637697119888,0.0013034765511191358
(a),LCDF_01,VARIANT_LOW,20,D1_seed20600611,0.272907383867357,0.10137162072614492,0.0014240871785619483
(a),LCDF_01,VARIANT_LOW,19,D1_seed20600611,0.27121457255192244,0.10046956332684409,0.0014524517525417
(a),LCDF_01,VARIANT_LOW,13,D1_seed20600611,0.2576694328034306,0.0938078515245742,0.0016442475041153924
(a),LCDF_01,VARIANT_LOW,29,D1_seed20600611,0.28065552015368156,0.10668932393500637,0.0012380897244694523
(a),LCDF_01,VARIANT_LOW,17,D1_seed20600611,0.26733995079174394,0.09848446816405408,0.0015126468536785158
(a),LCDF_01,VARIANT_LOW,1,D1_seed20600611,0.21425981677307007,0.07458065173489799,0.002078044494519059
(a),LCDF_01,VARIANT_MAIN,1,D1_seed20600611,0.28568125601969996,0.09944150402697008,0.0028483895433308636
(a),LCDF_01,VARIANT_MAIN,22,D1_seed20600611,0.3677360396344245,0.13732442449225782,0.0022368481011910773
(a),LCDF_01,VARIANT_MAIN,4,D1_seed20600611,0.3026929054708483,0.10675412239631286,0.0027343618485484184
(a),LCDF_01,VARIANT_MAIN,9,D1_seed20600611,0.32735911281335794,0.11763814596136721,0.002557959365445767
(a),LCDF_01,VARIANT_MAIN,20,D1_seed20600611,0.36388047804037477,0.13516378646152974,0.0022712524965928485
(a),LCDF_01,VARIANT_MAIN,16,D1_seed20600611,0.3535508065540712,0.12987160597935968,0.0023567682318186445
(a),LCDF_01,VARIANT_MAIN,30,D1_seed20600611,0.3742379796933858,0.14261852019480561,0.00215203562118915
(a),LCDF_01,VARIANT_MAIN,31,D1_seed20600611,0.37403854505326806,0.14289678804101089,0.0021470122037933396
(a),LCDF_01,VARIANT_MAIN,26,D1_seed20600611,0.37278216324074376,0.14064876992208356,0.0021842339570892345
(a),LCDF_01,VARIANT_MAIN,0,D1_seed20600611,0.2796618950392943,0.0968821776243109,0.002887135279702624
(a),LCDF_01,VARIANT_MAIN,8,D1_seed20600611,0.3228089276459461,0.11559801797933558,0.002591433216031943
(a),LCDF_01,VARIANT_MAIN,17,D1_seed20600611,0.3564568963677621,0.13131411123480488,0.002333296610550928
(a),LCDF_01,VARIANT_MAIN,12,D1_seed20600611,0.33981617824554083,0.1233286708218191,0.002464197348755729
(a),LCDF_01,VARIANT_MAIN,7,D1_seed20600611,0.3180642979153514,0.11348825992300439,0.002625896504493144
(a),LCDF_01,VARIANT_MAIN,15,D1_seed20600611,0.35043174659726195,0.12835086965799214,0.0023816188308595
(a),LCDF_01,VARIANT_MAIN,25,D1_seed20600611,0.37185591076235813,0.13994364670819012,0.002195415238455323
(a),LCDF_01,VARIANT_MAIN,10,D1_seed20600611,0.33171211161118996,0.11960741459582275,0.002525550958640207
(a),LCDF_01,VARIANT_MAIN,21,D1_seed20600611,0.36591847104797703,0.13628515354811283,0.0022533603946099643
(a),LCDF_01,VARIANT_MAIN,28,D1_seed20600611,0.37396054299917697,0.14180446441542224,0.0021656746150370753
(a),LCDF_01,VARIANT_MAIN,19,D1_seed20600611,0.36162328904398006,0.13396099903548983,0.0022905359529741495
(a),LCDF_01,VARIANT_MAIN,3,D1_seed20600611,0.297200231223058,0.10437896376101892,0.002771891704970016
(a),LCDF_01,VARIANT_MAIN,2,D1_seed20600611,0.2915285423633024,0.10194093468271706,0.0028099374055137022
(a),LCDF_01,VARIANT_MAIN,14,D1_seed20600611,0.347101596273565,0.1267528186932265,0.0024078276534041806
(a),LCDF_01,VARIANT_MAIN,23,D1_seed20600611,0.36933208818826413,0.13828097295927808,0.002221699752922158
(a),LCDF_01,VARIANT_MAIN,24,D1_seed20600611,0.37070565458312793,0.13915422246166156,0.002207896060242691
(a),LCDF_01,VARIANT_MAIN,27,D1_seed20600611,0.37348385352679825,0.1412691671292735,0.0021743282857974535
(a),LCDF_01,VARIANT_MAIN,13,D1_seed20600611,0.34356236252492367,0.12507841608359335,0.002435366063976226
(a),LCDF_01,VARIANT_MAIN,5,D1_seed20600611,0.30800325576097587,0.10906497957479976,0.002697453167969648
(a),LCDF_01,VARIANT_MAIN,11,D1_seed20600611,0.3358653009908265,0.12150463728474067,0.0024942766401261467
(a),LCDF_01,VARIANT_MAIN,18,D1_seed20600611,0.35914826456659776,0.13267751613218678,0.002311217160110289
(a),LCDF_01,VARIANT_MAIN,6,D1_seed20600611,0.31312808252748187,0.11131014299800493,0.0026612662864216132
(a),LCDF_01,VARIANT_MAIN,29,D1_seed20600611,0.3742119736953246,0.14225433915277133,0.002158250530461918
(a),LCDF_01,VARIANT_LOW,21,D1_seed20600612,0.28051767456031435,0.10221261450048304,0.0013970071230933248
(a),LCDF_01,VARIANT_LOW,10,D1_seed20600612,0.2516445231054121,0.08970472337196658,0.001749882735379505
(a),LCDF_01,VARIANT_LOW,3,D1_seed20600612,0.22358910824450123,0.07828367051047995,0.0020055298322172238
(a),LCDF_01,VARIANT_LOW,14,D1_seed20600612,0.26439368675010083,0.09506361350551965,0.0016101779035508717
(a),LCDF_01,VARIANT_LOW,24,D1_seed20600612,0.2849185966481501,0.10436433259260278,0.001324447991509242
(a),LCDF_01,VARIANT_LOW,15,D1_seed20600612,0.2671873872228383,0.0962621125151282,0.0015768270728496669
(a),LCDF_01,VARIANT_LOW,2,D1_seed20600612,0.21902195691305504,0.07645518718777061,0.0020419188332075266
(a),LCDF_01,VARIANT_LOW,7,D1_seed20600612,0.2404846456977722,0.08511548166759193,0.001858858288949257
(a),LCDF_01,VARIANT_LOW,28,D1_seed20600612,0.28838173760680375,0.10635193238520216,0.0012514943114119428
(a),LCDF_01,VARIANT_LOW,16,D1_seed20600612,0.26982014288239964,0.0974026264568367,0.00154428591761469
(a),LCDF_01,VARIANT_LOW,22,D1_seed20600612,0.28215490657124526,0.10299203792604647,0.0013713091031071491
(a),LCDF_01,VARIANT_LOW,9,D1_seed20600612,0.24807324532622463,0.08822781338271928,0.0017859486631414169
(a),LCDF_01,VARIANT_LOW,30,D1_seed20600612,0.2890728420649791,0.106962447715927,0.0012267699411739482
(a),LCDF_01,VARIANT_LOW,26,D1_seed20600612,0.28699587575089236,0.10548519777572421,0.0012842686887596538
(a),LCDF_01,VARIANT_LOW,11,D1_seed20600612,0.2550642207115859,0.09112759904933894,0.0017141870347428818
