step,gc_collected,watched_tensor_reference_count,alive_tensor_reference_count,age0_alive_tensor_reference_count,age1_alive_tensor_reference_count,age2_alive_tensor_reference_count,old_survivor_storage_count,old_survivor_bytes,old_survivor_slot_count,same_slot_multiple_generation_count
130,False,320,8,8,0,0,0,0,0,0
131,False,352,8,8,0,0,0,0,0,0
132,False,384,8,8,0,0,0,0,0,0
133,False,416,8,8,0,0,0,0,0,0
134,False,448,8,8,0,0,0,0,0,0
135,False,480,8,8,0,0,0,0,0,0
136,False,512,8,8,0,0,0,0,0,0
137,False,544,8,8,0,0,0,0,0,0
138,False,576,8,8,0,0,0,0,0,0
139,False,608,8,8,0,0,0,0,0,0
140,False,640,8,8,0,0,0,0,0,0
141,False,672,8,8,0,0,0,0,0,0
142,False,704,8,8,0,0,0,0,0,0
143,False,736,8,8,0,0,0,0,0,0
144,False,768,8,8,0,0,0,0,0,0
145,False,800,8,8,0,0,0,0,0,0
146,False,832,8,8,0,0,0,0,0,0
147,False,864,8,8,0,0,0,0,0,0
148,False,896,8,8,0,0,0,0,0,0
149,False,928,8,8,0,0,0,0,0,0
150,False,960,8,8,0,0,0,0,0,0
150,True,960,8,8,0,0,0,0,0,0
151,False,192,8,8,0,0,0,0,0,0
152,False,224,8,8,0,0,0,0,0,0
153,False,256,8,8,0,0,0,0,0,0
154,False,288,8,8,0,0,0,0,0,0
155,False,320,8,8,0,0,0,0,0,0
156,False,352,8,8,0,0,0,0,0,0
157,False,384,8,8,0,0,0,0,0,0
158,False,416,8,8,0,0,0,0,0,0
159,False,448,8,8,0,0,0,0,0,0
160,False,480,8,8,0,0,0,0,0,0
161,False,512,8,8,0,0,0,0,0,0
162,False,544,8,8,0,0,0,0,0,0
163,False,576,8,8,0,0,0,0,0,0
164,False,608,8,8,0,0,0,0,0,0
165,False,640,8,8,0,0,0,0,0,0
166,False,672,8,8,0,0,0,0,0,0
167,False,704,8,8,0,0,0,0,0,0
168,False,736,8,8,0,0,0,0,0,0
169,False,768,8,8,0,0,0,0,0,0
170,False,800,8,8,0,0,0,0,0,0
171,False,832,8,8,0,0,0,0,0,0
172,False,864,8,8,0,0,0,0,0,0
173,False,896,8,8,0,0,0,0,0,0
174,False,928,8,8,0,0,0,0,0,0
