q,W,dW_dr,gradW_l2,pressure_pair_l2,viscosity_gamma,viscosity_pair_l2,total_pair_l2,acceleration_contribution_l2
0.9999,2.1387063132828657e-22,-2.566380354239365e-17,2.566380354239365e-17,1.0024943308623113e-23,2.0531042628583963e-18,3.8173770089383586e-22,3.7254425472479434e-22,2.3842832302386838e-20
0.999999,2.139039074173069e-34,-2.5668462166639267e-27,2.5668462166639267e-27,1.0026763087358612e-33,2.05327369902961e-28,3.8176920449334493e-32,3.725740916066084e-32,2.3844741862822938e-30
0.99999999,2.1390424660305887e-46,-2.566850939616194e-37,2.566850939616194e-37,1.0026781536427804e-43,2.0532754446791886e-38,3.817695290653935e-42,3.725743992810443e-42,2.3844761553986834e-40
0.9999999999,2.1390434967301453e-58,-2.566851983626662e-47,2.566851983626662e-47,1.0026785614601852e-53,2.0532762594806887e-48,3.81769680563034e-52,3.725745470389791e-52,2.3844771010494663e-50
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.00000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
