label,solution,time,density_absolute_linf,density_relative_linf,pressure_absolute_linf,pressure_relative_linf,pressure_acceleration_absolute_linf,pressure_acceleration_relative_linf,viscosity_acceleration_absolute_linf,viscosity_acceleration_relative_linf,source_absolute_linf,source_relative_linf,total_acceleration_absolute_linf,total_acceleration_relative_linf,dx_dt_absolute_linf,dx_dt_relative_linf,dv_dt_absolute_linf,dv_dt_relative_linf,finite
random_perturbation_0,MMS_B,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-15,1.238180506485142e-15,2.3592239273284576e-16,6.651203340484389e-16,0.0,0.0,3.3306690738754696e-15,1.3419741559726864e-15,0.0,0.0,3.3306690738754696e-15,1.3419741559726864e-15,True
random_perturbation_1,MMS_B,0.0,0.0,0.0,0.0,0.0,2.6645352591003757e-15,1.050066965731272e-15,2.636779683484747e-16,7.428853588645679e-16,0.0,0.0,2.886579864025407e-15,1.1926015950535495e-15,0.0,0.0,2.886579864025407e-15,1.1926015950535495e-15,True
random_perturbation_2,MMS_B,0.0,0.0,0.0,0.0,0.0,2.831068712794149e-15,1.103006062974331e-15,2.220446049250313e-16,6.261796920159305e-16,0.0,0.0,2.886579864025407e-15,1.177572101708278e-15,0.0,0.0,2.886579864025407e-15,1.177572101708278e-15,True
edge_switch_00_before,MMS_B,0.00563300440333479,0.0,0.0,0.0,0.0,3.0531133177191805e-15,1.2842516694557783e-15,2.220446049250313e-16,6.266430934363313e-16,0.0,0.0,2.9976021664879227e-15,1.4097138880624457e-15,0.0,0.0,2.9976021664879227e-15,1.4097138880624457e-15,True
edge_switch_00_after,MMS_B,0.00563300442333479,0.0,0.0,0.0,0.0,1.9984014443252818e-15,8.406010925676374e-16,2.498001805406602e-16,7.049734801168154e-16,0.0,0.0,1.9984014443252818e-15,9.398092587549104e-16,0.0,0.0,1.9984014443252818e-15,9.398092587549104e-16,True
edge_switch_01_before,MMS_B,0.005632092530050856,0.0,0.0,0.0,0.0,2.942091015256665e-15,1.2375628250141857e-15,3.0531133177191805e-16,8.616342009648681e-16,0.0,0.0,2.886579864025407e-15,1.3574991954493983e-15,0.0,0.0,2.886579864025407e-15,1.3574991954493983e-15,True
edge_switch_01_after,MMS_B,0.0056320925500508556,0.0,0.0,0.0,0.0,2.4424906541753444e-15,1.0274106469775058e-15,1.942890293094024e-16,5.483126733420127e-16,0.0,0.0,2.6645352591003757e-15,1.2530761804772655e-15,0.0,0.0,2.6645352591003757e-15,1.2530761804772655e-15,True
edge_switch_02_before,MMS_B,0.00563209253005156,0.0,0.0,0.0,0.0,2.886579864025407e-15,1.2142125830327113e-15,2.220446049250313e-16,6.266430552471765e-16,0.0,0.0,2.6645352591003757e-15,1.2530761804151232e-15,0.0,0.0,2.6645352591003757e-15,1.2530761804151232e-15,True
edge_switch_02_after,MMS_B,0.00563209255005156,0.0,0.0,0.0,0.0,3.83026943495679e-15,1.6111666963964797e-15,2.220446049250313e-16,6.266430552480142e-16,0.0,0.0,3.774758283725532e-15,1.7751912556758622e-15,0.0,0.0,3.774758283725532e-15,1.7751912556758622e-15,True
edge_switch_03_before,MMS_B,0.0056330044033345,0.0,0.0,0.0,0.0,2.9976021664879227e-15,1.2609016391020266e-15,2.636779683484747e-16,7.441386734556428e-16,0.0,0.0,3.1086244689504383e-15,1.4619255135466229e-15,0.0,0.0,3.1086244689504383e-15,1.4619255135466229e-15,True
edge_switch_03_after,MMS_B,0.0056330044233345,0.0,0.0,0.0,0.0,2.4424906541753444e-15,1.0274013353604462e-15,2.220446049250313e-16,6.266430934371689e-16,0.0,0.0,2.6645352591003757e-15,1.25307901167318e-15,0.0,0.0,2.6645352591003757e-15,1.25307901167318e-15,True
edge_switch_04_before,MMS_B,0.0056330044033345,0.0,0.0,0.0,0.0,2.9976021664879227e-15,1.2609016391020266e-15,2.636779683484747e-16,7.441386734556428e-16,0.0,0.0,3.1086244689504383e-15,1.4619255135466229e-15,0.0,0.0,3.1086244689504383e-15,1.4619255135466229e-15,True
edge_switch_04_after,MMS_B,0.0056330044233345,0.0,0.0,0.0,0.0,2.4424906541753444e-15,1.0274013353604462e-15,2.220446049250313e-16,6.266430934371689e-16,0.0,0.0,2.6645352591003757e-15,1.25307901167318e-15,0.0,0.0,2.6645352591003757e-15,1.25307901167318e-15,True
edge_switch_05_before,MMS_B,0.00563209253005156,0.0,0.0,0.0,0.0,2.886579864025407e-15,1.2142125830327113e-15,2.220446049250313e-16,6.266430552471765e-16,0.0,0.0,2.6645352591003757e-15,1.2530761804151232e-15,0.0,0.0,2.6645352591003757e-15,1.2530761804151232e-15,True
edge_switch_05_after,MMS_B,0.00563209255005156,0.0,0.0,0.0,0.0,3.83026943495679e-15,1.6111666963964797e-15,2.220446049250313e-16,6.266430552480142e-16,0.0,0.0,3.774758283725532e-15,1.7751912556758622e-15,0.0,0.0,3.774758283725532e-15,1.7751912556758622e-15,True
edge_switch_06_before,MMS_B,0.00563300440333479,0.0,0.0,0.0,0.0,3.0531133177191805e-15,1.2842516694557783e-15,2.220446049250313e-16,6.266430934363313e-16,0.0,0.0,2.9976021664879227e-15,1.4097138880624457e-15,0.0,0.0,2.9976021664879227e-15,1.4097138880624457e-15,True
edge_switch_06_after,MMS_B,0.00563300442333479,0.0,0.0,0.0,0.0,1.9984014443252818e-15,8.406010925676374e-16,2.498001805406602e-16,7.049734801168154e-16,0.0,0.0,1.9984014443252818e-15,9.398092587549104e-16,0.0,0.0,1.9984014443252818e-15,9.398092587549104e-16,True
edge_switch_07_before,MMS_B,0.005632092530050856,0.0,0.0,0.0,0.0,2.942091015256665e-15,1.2375628250141857e-15,3.0531133177191805e-16,8.616342009648681e-16,0.0,0.0,2.886579864025407e-15,1.3574991954493983e-15,0.0,0.0,2.886579864025407e-15,1.3574991954493983e-15,True
edge_switch_07_after,MMS_B,0.0056320925500508556,0.0,0.0,0.0,0.0,2.4424906541753444e-15,1.0274106469775058e-15,1.942890293094024e-16,5.483126733420127e-16,0.0,0.0,2.6645352591003757e-15,1.2530761804772655e-15,0.0,0.0,2.6645352591003757e-15,1.2530761804772655e-15,True
edge_switch_08_before,MMS_B,0.005632092530050856,0.0,0.0,0.0,0.0,2.942091015256665e-15,1.2375628250141857e-15,3.0531133177191805e-16,8.616342009648681e-16,0.0,0.0,2.886579864025407e-15,1.3574991954493983e-15,0.0,0.0,2.886579864025407e-15,1.3574991954493983e-15,True
edge_switch_08_after,MMS_B,0.0056320925500508556,0.0,0.0,0.0,0.0,2.4424906541753444e-15,1.0274106469775058e-15,1.942890293094024e-16,5.483126733420127e-16,0.0,0.0,2.6645352591003757e-15,1.2530761804772655e-15,0.0,0.0,2.6645352591003757e-15,1.2530761804772655e-15,True
edge_switch_09_before,MMS_B,0.00563300440333479,0.0,0.0,0.0,0.0,3.0531133177191805e-15,1.2842516694557783e-15,2.220446049250313e-16,6.266430934363313e-16,0.0,0.0,2.9976021664879227e-15,1.4097138880624457e-15,0.0,0.0,2.9976021664879227e-15,1.4097138880624457e-15,True
edge_switch_09_after,MMS_B,0.00563300442333479,0.0,0.0,0.0,0.0,1.9984014443252818e-15,8.406010925676374e-16,2.498001805406602e-16,7.049734801168154e-16,0.0,0.0,1.9984014443252818e-15,9.398092587549104e-16,0.0,0.0,1.9984014443252818e-15,9.398092587549104e-16,True
edge_switch_10_before,MMS_B,0.00563209253005156,0.0,0.0,0.0,0.0,2.886579864025407e-15,1.2142125830327113e-15,2.220446049250313e-16,6.266430552471765e-16,0.0,0.0,2.6645352591003757e-15,1.2530761804151232e-15,0.0,0.0,2.6645352591003757e-15,1.2530761804151232e-15,True
edge_switch_10_after,MMS_B,0.00563209255005156,0.0,0.0,0.0,0.0,3.83026943495679e-15,1.6111666963964797e-15,2.220446049250313e-16,6.266430552480142e-16,0.0,0.0,3.774758283725532e-15,1.7751912556758622e-15,0.0,0.0,3.774758283725532e-15,1.7751912556758622e-15,True
edge_switch_11_before,MMS_B,0.0056330044033345,0.0,0.0,0.0,0.0,2.9976021664879227e-15,1.2609016391020266e-15,2.636779683484747e-16,7.441386734556428e-16,0.0,0.0,3.1086244689504383e-15,1.4619255135466229e-15,0.0,0.0,3.1086244689504383e-15,1.4619255135466229e-15,True
edge_switch_11_after,MMS_B,0.0056330044233345,0.0,0.0,0.0,0.0,2.4424906541753444e-15,1.0274013353604462e-15,2.220446049250313e-16,6.266430934371689e-16,0.0,0.0,2.6645352591003757e-15,1.25307901167318e-15,0.0,0.0,2.6645352591003757e-15,1.25307901167318e-15,True
edge_switch_12_before,MMS_B,0.005633004403334391,0.0,0.0,0.0,0.0,2.6645352591003757e-15,1.1208014569794738e-15,3.191891195797325e-16,9.007994468147255e-16,0.0,0.0,2.6645352591003757e-15,1.253079011611106e-15,0.0,0.0,2.6645352591003757e-15,1.253079011611106e-15,True
edge_switch_12_after,MMS_B,0.005633004423334391,0.0,0.0,0.0,0.0,2.942091015256665e-15,1.2375516085022378e-15,1.8735013540549517e-16,5.287301100876112e-16,0.0,0.0,2.9976021664879227e-15,1.4097138881324133e-15,0.0,0.0,2.9976021664879227e-15,1.4097138881324133e-15,True
edge_switch_13_before,MMS_B,0.00563209253005156,0.0,0.0,0.0,0.0,2.886579864025407e-15,1.2142125830327113e-15,2.220446049250313e-16,6.266430552471765e-16,0.0,0.0,2.6645352591003757e-15,1.2530761804151232e-15,0.0,0.0,2.6645352591003757e-15,1.2530761804151232e-15,True
edge_switch_13_after,MMS_B,0.00563209255005156,0.0,0.0,0.0,0.0,3.83026943495679e-15,1.6111666963964797e-15,2.220446049250313e-16,6.266430552480142e-16,0.0,0.0,3.774758283725532e-15,1.7751912556758622e-15,0.0,0.0,3.774758283725532e-15,1.7751912556758622e-15,True
edge_switch_14_before,MMS_B,0.005632092530050856,0.0,0.0,0.0,0.0,2.942091015256665e-15,1.2375628250141857e-15,3.0531133177191805e-16,8.616342009648681e-16,0.0,0.0,2.886579864025407e-15,1.3574991954493983e-15,0.0,0.0,2.886579864025407e-15,1.3574991954493983e-15,True
edge_switch_14_after,MMS_B,0.0056320925500508556,0.0,0.0,0.0,0.0,2.4424906541753444e-15,1.0274106469775058e-15,1.942890293094024e-16,5.483126733420127e-16,0.0,0.0,2.6645352591003757e-15,1.2530761804772655e-15,0.0,0.0,2.6645352591003757e-15,1.2530761804772655e-15,True
edge_switch_15_before,MMS_B,0.00563300440333479,0.0,0.0,0.0,0.0,3.0531133177191805e-15,1.2842516694557783e-15,2.220446049250313e-16,6.266430934363313e-16,0.0,0.0,2.9976021664879227e-15,1.4097138880624457e-15,0.0,0.0,2.9976021664879227e-15,1.4097138880624457e-15,True
edge_switch_15_after,MMS_B,0.00563300442333479,0.0,0.0,0.0,0.0,1.9984014443252818e-15,8.406010925676374e-16,2.498001805406602e-16,7.049734801168154e-16,0.0,0.0,1.9984014443252818e-15,9.398092587549104e-16,0.0,0.0,1.9984014443252818e-15,9.398092587549104e-16,True
