particle_i,particle_j,time_before,time_after,estimated_event_time,ratio_before,ratio_after,added,reciprocal,evaluation_ratio_before,evaluation_ratio_after,directed_edge_before,reverse_edge_before,directed_edge_after,reverse_edge_after,pressure_before_l2,pressure_after_l2,viscosity_before_l2,viscosity_after_l2,pair_total_max_l2,aggregated_rhs_jump_linf
114,126,0.005,0.006,0.0056330044133345,0.9982905535941966,1.0009910844260104,False,True,0.9999999999729939,1.0000000000270048,True,True,False,False,1.8776081139951258e-52,0.0,5.946577502885818e-53,0.0,1.2837368240736414e-52,4.738534009618434e-10
129,141,0.005,0.006,0.005633004413334391,0.998290553594197,1.0009910844260108,False,True,0.9999999999729939,1.0000000000270048,True,True,False,False,1.878878651001548e-52,0.0,5.950601423923591e-53,0.0,1.2846055011570944e-52,4.737161773959997e-10
130,142,0.005,0.006,0.005632092540051559,0.9982924911255423,1.000993851733963,False,True,0.9999999999729863,1.0000000000270133,True,True,False,False,1.348282094925409e-52,0.0,5.958974513759897e-53,0.0,7.530178743036108e-53,4.73990624527687e-10
245,249,0.005,0.006,0.005632092540050856,0.9982924911255441,1.000993851733965,False,True,0.9999999999729863,1.0000000000270133,True,True,False,False,1.3482820949273616e-52,0.0,5.958974513759834e-53,0.0,7.530178743055694e-53,4.743210268998155e-10
246,250,0.005,0.006,0.00563300441333479,0.9982905535941966,1.0009910844260095,False,True,0.9999999999729939,1.0000000000270048,True,True,False,False,1.8788786510039763e-52,0.0,5.950601423923546e-53,0.0,1.2846055011595267e-52,4.735238867681346e-10
0,192,0.006,0.007,0.006660614790471087,0.9984946964184622,1.0007733507103835,False,True,0.9999999999772136,1.0000000000227864,True,True,False,False,3.6292569341209976e-53,0.0,2.1603134988685866e-53,0.0,1.509712066595937e-53,5.530393920594179e-10
1,29,0.006,0.007,0.006685326606268225,1.0015373273399655,0.9992942425244142,True,True,1.0000000000224294,0.9999999999775712,False,False,True,True,0.0,6.171472098583811e-54,0.0,2.0889885465956313e-53,1.5300484769834848e-53,5.547891035462271e-10
1,253,0.006,0.007,0.006213379347733365,1.000513372080165,0.9981080235365352,True,True,1.0000000000240583,0.999999999975943,False,False,True,True,0.0,1.6612140879740098e-52,0.0,3.3190860043409114e-53,1.9640237981540177e-52,5.963149973808868e-10
2,30,0.006,0.007,0.006752035711114585,1.001668961187475,0.9994499095373343,True,True,1.0000000000221867,0.9999999999778134,False,False,True,True,0.0,3.293974673662306e-53,0.0,2.1108105422650613e-53,5.227348793305759e-53,5.623603804849608e-10
2,254,0.006,0.007,0.006213379347733365,1.000513372080165,0.9981080235365352,True,True,1.0000000000240579,0.999999999975943,False,False,True,True,0.0,1.6609906402266205e-52,0.0,3.318639558398383e-53,1.963759619866267e-52,5.963149973808868e-10
4,8,0.006,0.007,0.006664885911422828,0.998486798943791,1.0007626954708957,False,True,0.9999999999772405,1.0000000000227591,True,True,False,False,1.0121984180162098e-52,0.0,2.1476173397260404e-53,0.0,7.998765187762232e-53,5.530784719098847e-10
7,11,0.006,0.007,0.006660614790470058,0.9984946964184646,1.0007733507103855,False,True,0.9999999999772131,1.0000000000227869,True,True,False,False,3.6296106042695774e-53,0.0,2.1605240208578378e-53,0.0,1.509859187647751e-53,5.520810475445614e-10
13,17,0.006,0.007,0.0067718507068555535,1.0017034679051378,0.9994966724731896,True,True,1.0000000000220632,0.9999999999779374,False,False,True,True,0.0,8.545249207184138e-53,0.0,2.0549432083785685e-53,1.0364520041935142e-52,5.643419065393118e-10
13,241,0.006,0.007,0.0061994022184179605,1.0004819695705038,0.9980654496795438,True,True,1.0000000000241693,0.9999999999758307,False,False,True,True,0.0,1.547390724195774e-53,0.0,3.3970945723197955e-53,4.836574841949371e-53,5.975460126705912e-10
14,18,0.006,0.007,0.0066983367197994146,1.0015607103466875,0.9993259336232705,True,True,1.0000000000223468,0.9999999999776533,False,False,True,True,0.0,1.3122774019991439e-52,0.0,2.0540837279459446e-53,1.5049595796612997e-52,5.564939620228415e-10
14,242,0.006,0.007,0.0061994022184179605,1.0004819695705038,0.9980654496795438,True,True,1.0000000000241693,0.9999999999758307,False,False,True,True,0.0,1.5471824458337984e-53,0.0,3.3966373243455884e-53,4.8359238403303e-53,5.975460126705912e-10
15,207,0.006,0.007,0.0066648859114226315,0.9984867989437919,1.0007626954708957,False,True,0.999999999977241,1.0000000000227587,True,True,False,False,1.0126801696509115e-52,0.0,2.148639489286108e-53,0.0,8.002572166841347e-53,5.526934465649447e-10
17,209,0.006,0.007,0.006628074011909062,0.998555113924281,1.000855631967238,False,True,0.9999999999769943,1.0000000000230047,True,True,False,False,3.7748155709431647e-53,0.0,2.286521903137196e-53,0.0,1.5317014358712996e-53,5.514628753644502e-10
21,25,0.006,0.007,0.006632265270710654,0.9985472167611338,1.0008449772751287,False,True,0.9999999999770223,1.0000000000229774,True,True,False,False,1.0577310979133905e-52,0.0,2.2727190231918213e-53,0.0,8.329998715895428e-53,5.513367540288527e-10
22,26,0.006,0.007,0.0066280740119085595,0.9985551139242823,1.0008556319672393,False,True,0.9999999999769945,1.0000000000230052,True,True,False,False,3.7746334071914163e-53,0.0,2.2864115609468163e-53,0.0,1.5316275195526667e-53,5.521290091792252e-10
22,215,0.006,0.007,0.006771850706855624,1.0017034679051384,0.9994966724731903,True,True,1.000000000022064,0.9999999999779372,False,False,True,True,0.0,8.535627223601247e-53,0.0,2.0526293343956107e-53,1.0352849552371488e-52,5.643894240847658e-10
23,214,0.006,0.007,0.006685326606268577,1.0015373273399657,0.9992942425244147,True,True,1.0000000000224296,0.9999999999775705,False,False,True,True,0.0,6.172388613163824e-54,0.0,2.089298778596624e-53,1.5302757017681255e-53,5.551310522378117e-10
23,216,0.006,0.007,0.006213379347733365,1.000513372080165,0.9981080235365349,True,True,1.000000000024058,0.999999999975943,False,False,True,True,0.0,1.6612140879718217e-52,0.0,3.3190860043409197e-53,1.964023798151838e-52,5.963149973808868e-10
24,215,0.006,0.007,0.0061994022184178686,1.0004819695705038,0.998065449679544,True,True,1.0000000000241691,0.9999999999758307,False,False,True,True,0.0,1.5471824458197736e-53,0.0,3.3966373243455944e-53,4.835923840316957e-53,5.97558447168467e-10
24,217,0.006,0.007,0.0066983367197994146,1.0015607103466873,0.9993259336232703,True,True,1.0000000000223466,0.9999999999776542,False,False,True,True,0.0,1.312016637576663e-52,0.0,2.053675558182575e-53,1.5046605271019768e-52,5.564939620228415e-10
