step,gc_collected,watched_tensor_reference_count,alive_tensor_reference_count,age0_alive_tensor_reference_count,age1_alive_tensor_reference_count,age2_alive_tensor_reference_count,old_survivor_storage_count,old_survivor_bytes,old_survivor_slot_count,same_slot_multiple_generation_count
125,False,3240,1895,32,18,15,0,0,0,0
125,True,3240,1878,18,15,15,0,0,0,0
126,False,3072,1910,32,18,15,0,0,0,0
127,False,3104,1908,18,15,15,0,0,0,0
128,False,3136,1940,32,18,15,0,0,0,0
129,False,3168,1938,18,15,15,0,0,0,0
130,False,3200,1970,32,18,15,0,0,0,0
131,False,3232,1968,18,15,15,0,0,0,0
132,False,3264,2000,32,18,15,0,0,0,0
133,False,3296,1998,18,15,15,0,0,0,0
134,False,3328,2030,32,18,15,0,0,0,0
135,False,3360,2028,18,15,15,0,0,0,0
136,False,3392,2060,32,18,15,0,0,0,0
137,False,3424,2058,18,15,15,0,0,0,0
138,False,3456,2090,32,18,15,0,0,0,0
139,False,3488,2088,18,15,15,0,0,0,0
140,False,3520,2120,32,18,15,0,0,0,0
141,False,3552,2118,18,15,15,0,0,0,0
142,False,3584,2150,32,18,15,0,0,0,0
143,False,3616,2148,18,15,15,0,0,0,0
144,False,3648,2180,32,18,15,0,0,0,0
145,False,3680,2178,18,15,15,0,0,0,0
146,False,3712,2210,32,18,15,0,0,0,0
147,False,3744,2208,18,15,15,0,0,0,0
148,False,3776,2240,32,18,15,0,0,0,0
149,False,3808,2238,18,15,15,0,0,0,0
150,False,3840,2270,32,18,15,0,0,0,0
150,True,3840,2253,18,15,15,0,0,0,0
151,False,3672,2285,32,18,15,0,0,0,0
152,False,3704,2283,18,15,15,0,0,0,0
153,False,3736,2315,32,18,15,0,0,0,0
154,False,3768,2313,18,15,15,0,0,0,0
155,False,3800,2345,32,18,15,0,0,0,0
156,False,3832,2343,18,15,15,0,0,0,0
157,False,3864,2375,32,18,15,0,0,0,0
158,False,3896,2373,18,15,15,0,0,0,0
159,False,3928,2405,32,18,15,0,0,0,0
160,False,3960,2403,18,15,15,0,0,0,0
161,False,3992,2435,32,18,15,0,0,0,0
162,False,4024,2433,18,15,15,0,0,0,0
163,False,4056,2465,32,18,15,0,0,0,0
164,False,4088,2463,18,15,15,0,0,0,0
165,False,4120,2495,32,18,15,0,0,0,0
166,False,4152,2493,18,15,15,0,0,0,0
167,False,4184,2525,32,18,15,0,0,0,0
168,False,4216,2523,18,15,15,0,0,0,0
169,False,4248,2555,32,18,15,0,0,0,0
170,False,4280,2553,18,15,15,0,0,0,0
171,False,4312,2585,32,18,15,0,0,0,0
172,False,4344,2583,18,15,15,0,0,0,0
173,False,4376,2615,32,18,15,0,0,0,0
174,False,4408,2613,18,15,15,0,0,0,0
175,False,4440,2645,32,18,15,0,0,0,0
175,True,4440,2628,18,15,15,0,0,0,0
176,False,4272,2660,32,18,15,0,0,0,0
177,False,4304,2658,18,15,15,0,0,0,0
178,False,4336,2690,32,18,15,0,0,0,0
179,False,4368,2688,18,15,15,0,0,0,0
180,False,4400,2720,32,18,15,0,0,0,0
181,False,4432,2718,18,15,15,0,0,0,0
182,False,4464,2750,32,18,15,0,0,0,0
183,False,4496,2748,18,15,15,0,0,0,0
184,False,4528,2780,32,18,15,0,0,0,0
185,False,4560,2778,18,15,15,0,0,0,0
186,False,4592,2810,32,18,15,0,0,0,0
187,False,4624,2808,18,15,15,0,0,0,0
188,False,4656,2840,32,18,15,0,0,0,0
189,False,4688,2838,18,15,15,0,0,0,0
190,False,4720,2870,32,18,15,0,0,0,0
191,False,4752,2868,18,15,15,0,0,0,0
192,False,4784,2900,32,18,15,0,0,0,0
193,False,4816,2898,18,15,15,0,0,0,0
194,False,4848,2930,32,18,15,0,0,0,0
195,False,4880,2928,18,15,15,0,0,0,0
196,False,4912,2960,32,18,15,0,0,0,0
197,False,4944,2958,18,15,15,0,0,0,0
198,False,4976,2990,32,18,15,0,0,0,0
199,False,5008,2988,18,15,15,0,0,0,0
200,False,5040,3020,32,18,15,0,0,0,0
200,True,5040,3003,18,15,15,0,0,0,0
201,False,4872,3035,32,18,15,0,0,0,0
202,False,4904,3033,18,15,15,0,0,0,0
203,False,4936,3065,32,18,15,0,0,0,0
204,False,4968,3063,18,15,15,0,0,0,0
205,False,5000,3095,32,18,15,0,0,0,0
206,False,5032,3093,18,15,15,0,0,0,0
207,False,5064,3125,32,18,15,0,0,0,0
208,False,5096,3123,18,15,15,0,0,0,0
209,False,5128,3155,32,18,15,0,0,0,0
210,False,5160,3153,18,15,15,0,0,0,0
211,False,5192,3185,32,18,15,0,0,0,0
212,False,5224,3183,18,15,15,0,0,0,0
213,False,5256,3215,32,18,15,0,0,0,0
214,False,5288,3213,18,15,15,0,0,0,0
215,False,5320,3245,32,18,15,0,0,0,0
216,False,5352,3243,18,15,15,0,0,0,0
217,False,5384,3275,32,18,15,0,0,0,0
218,False,5416,3273,18,15,15,0,0,0,0
219,False,5448,3305,32,18,15,0,0,0,0
220,False,5480,3303,18,15,15,0,0,0,0
221,False,5512,3335,32,18,15,0,0,0,0
222,False,5544,3333,18,15,15,0,0,0,0
223,False,5576,3365,32,18,15,0,0,0,0
224,False,5608,3363,18,15,15,0,0,0,0
225,False,5640,3395,32,18,15,0,0,0,0
225,True,5640,3378,18,15,15,0,0,0,0
226,False,5472,3410,32,18,15,0,0,0,0
227,False,5504,3408,18,15,15,0,0,0,0
228,False,5536,3440,32,18,15,0,0,0,0
229,False,5568,3438,18,15,15,0,0,0,0
230,False,5600,3470,32,18,15,0,0,0,0
231,False,5632,3468,18,15,15,0,0,0,0
232,False,5664,3500,32,18,15,0,0,0,0
233,False,5696,3498,18,15,15,0,0,0,0
234,False,5728,3530,32,18,15,0,0,0,0
235,False,5760,3528,18,15,15,0,0,0,0
