run_id,category,mms,method,resolution,particle_count,support_ratio,time_control,reference_level,parent_run_id,conditional,output_dir
f5_space_iso_a_dt3p125e5,space_dt_isolation,MMS-A,RK2,32,1024,5.049509756796392,dt=3.125e-5,,,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_space_iso_a_dt3p125e5
f5_space_iso_b_dt6p25e5,space_dt_isolation,MMS-B,RK2,32,1024,5.049509756796392,dt=6.25e-5,,,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_space_iso_b_dt6p25e5
f5_space_iso_b_dt3p125e5,space_dt_isolation,MMS-B,RK2,32,1024,5.049509756796392,dt=3.125e-5,,,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_space_iso_b_dt3p125e5
f5_space_a_n16,formal_space,MMS-A,RK2,16,256,4.06155281280883,dt=SPACE_STEP_DECISION,,,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_space_a_n16
f5_space_a_n24,formal_space,MMS-A,RK2,24,576,4.5,dt=SPACE_STEP_DECISION,,,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_space_a_n24
f5_space_a_n32,formal_space,MMS-A,RK2,32,1024,5.049509756796392,dt=SPACE_STEP_DECISION,,,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_space_a_n32
f5_space_a_n48,formal_space,MMS-A,RK2,48,2304,5.5,dt=SPACE_STEP_DECISION,,,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_space_a_n48
f5_space_b_n16,formal_space,MMS-B,RK2,16,256,4.06155281280883,dt=SPACE_STEP_DECISION,,,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_space_b_n16
f5_space_b_n24,formal_space,MMS-B,RK2,24,576,4.5,dt=SPACE_STEP_DECISION,,,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_space_b_n24
f5_space_b_n32,formal_space,MMS-B,RK2,32,1024,5.049509756796392,dt=SPACE_STEP_DECISION,,,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_space_b_n32
f5_space_b_n48,formal_space,MMS-B,RK2,48,2304,5.5,dt=SPACE_STEP_DECISION,,,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_space_b_n48
f5_main_a_dt6p25e5_rep2,determinism_repeat,MMS-A,repeat,20,400,4.357388321059432,inherit_parent,,f5_main_a_dt6p25e5,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_main_a_dt6p25e5_rep2
f5_main_b_dt6p25e5_rep2,determinism_repeat,MMS-B,repeat,20,400,4.357388321059432,inherit_parent,,f5_main_b_dt6p25e5,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_main_b_dt6p25e5_rep2
f5_hold_a_dt6p25e5_rep2,determinism_repeat,MMS-A,repeat,28,784,4.75,inherit_parent,,f5_hold_a_dt6p25e5,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_hold_a_dt6p25e5_rep2
f5_hold_b_dt6p25e5_rep2,determinism_repeat,MMS-B,repeat,28,784,4.75,inherit_parent,,f5_hold_b_dt6p25e5,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_hold_b_dt6p25e5_rep2
f5_space_a_n32_rep2,determinism_repeat,MMS-A,repeat,32,1024,5.049509756796392,inherit_parent,,f5_space_a_n32,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_space_a_n32_rep2
f5_space_b_n32_rep2,determinism_repeat,MMS-B,repeat,32,1024,5.049509756796392,inherit_parent,,f5_space_b_n32,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_space_b_n32_rep2
f5_ref_space_b_n16_baseline,space_mms_b_reference,MMS-B,DOP853,16,256,4.06155281280883,max_step=3.125e-5,baseline,,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_ref_space_b_n16_baseline
f5_ref_space_b_n16_tighter,space_mms_b_reference,MMS-B,DOP853,16,256,4.06155281280883,max_step=1.5625e-5,tighter,,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_ref_space_b_n16_tighter
f5_ref_space_b_n16_third,space_mms_b_reference,MMS-B,DOP853,16,256,4.06155281280883,max_step=7.8125e-6,third,,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_ref_space_b_n16_third
f5_ref_space_b_n24_baseline,space_mms_b_reference,MMS-B,DOP853,24,576,4.5,max_step=3.125e-5,baseline,,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_ref_space_b_n24_baseline
f5_ref_space_b_n24_tighter,space_mms_b_reference,MMS-B,DOP853,24,576,4.5,max_step=1.5625e-5,tighter,,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_ref_space_b_n24_tighter
f5_ref_space_b_n24_third,space_mms_b_reference,MMS-B,DOP853,24,576,4.5,max_step=7.8125e-6,third,,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_ref_space_b_n24_third
f5_ref_space_b_n32_baseline,space_mms_b_reference,MMS-B,DOP853,32,1024,5.049509756796392,max_step=3.125e-5,baseline,,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_ref_space_b_n32_baseline
f5_ref_space_b_n32_tighter,space_mms_b_reference,MMS-B,DOP853,32,1024,5.049509756796392,max_step=1.5625e-5,tighter,,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_ref_space_b_n32_tighter
f5_ref_space_b_n32_third,space_mms_b_reference,MMS-B,DOP853,32,1024,5.049509756796392,max_step=7.8125e-6,third,,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_ref_space_b_n32_third
f5_ref_space_b_n48_baseline,space_mms_b_reference,MMS-B,DOP853,48,2304,5.5,max_step=3.125e-5,baseline,,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_ref_space_b_n48_baseline
f5_ref_space_b_n48_tighter,space_mms_b_reference,MMS-B,DOP853,48,2304,5.5,max_step=1.5625e-5,tighter,,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_ref_space_b_n48_tighter
f5_ref_space_b_n48_third,space_mms_b_reference,MMS-B,DOP853,48,2304,5.5,max_step=7.8125e-6,third,,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_ref_space_b_n48_third
f5_space_a_n64,conditional_n64,MMS-A,RK2,64,4096,6.041381265149109,dt=SPACE_STEP_DECISION,,,true,06_experiments/stage_01f5b_requalification_execution/runs/f5_space_a_n64
f5_space_b_n64,conditional_n64,MMS-B,RK2,64,4096,6.041381265149109,dt=SPACE_STEP_DECISION,,,true,06_experiments/stage_01f5b_requalification_execution/runs/f5_space_b_n64
