schema_version,run_id,config_hash,git_hash,protocol,method_id,device,dtype,resolution,particle_count,dt,t_final,sample_interval,status,failure_class,failure_reason,first_failure_step,first_failure_time,final_velocity_relative_l2,maximum_velocity_relative_l2,final_modal_amplitude_relative_error,final_kinetic_energy_relative_error,maximum_density_fluctuation_relative_rms,maximum_mach,maximum_momentum_drift_normalized,maximum_angular_momentum_drift_normalized,maximum_pressure_relative_pair_force_residual,maximum_viscosity_relative_pair_force_residual,maximum_relative_total_internal_force,maximum_assembled_relative_internal_force,maximum_assembly_force_consistency_relative_linf,maximum_viscous_power,minimum_separation,minimum_neighbor_count,maximum_neighbor_count,maximum_duplicate_edge_count,maximum_omitted_strict_support_edge_count,maximum_nonreciprocal_nonself_edge_count,wall_clock_seconds,mean_step_seconds,thermal_slowdown_fraction,peak_rss_bytes,sample_table_path,stdout_log_path,stderr_log_path,failure_evidence_path,acoustic_cfl_max,all_states_finite,checkpoint_available,clustering_pass,config_path,current_rss_final_bytes,current_rss_initial_bytes,dx,edge_count,eos_reference_density,jitter_fraction,layout,mass_reference_density,memory_growth_with_step,minimum_separation_over_dx,peak_rss_measurement,physical_viscosity,projected_over_two_hours_without_checkpoint,seed,sound_speed,source_tree_dirty,state_path,support_family,support_ratio,sustained_memory_pressure,system_memory_free_minimum_percent,velocity_amplitude
sph-pio-poc.stage01d.dynamic-diagnostics.v1,smoke_n16_increasing_neighbor_n16_h4p00_dt0p00100000_tf0p010_cs20p0_regular_s0,99ebe59e37466f17f87ed14c2b5ef228bfd01695f546df8a685a208dd460acc9,3290b65837805ae5aa15f98580ffcd7e002161ba,smoke_n16,explicit_midpoint_rk2_stage01c_pairs,cpu,float64,16,256,0.001,0.01,0.001,PASS,,,,,0.018845924331919527,0.018845924331919527,2.923597631692356e-05,0.0004137078932503714,0.0005461387944127562,0.048134620994057825,7.376609531724784e-18,9.540979117872439e-18,0.0,0.0,5.417403545550323e-18,5.417403545550323e-18,0.0,-0.7328323632824885,0.1211847184193029,46.0,49.0,0.0,0.0,0.0,0.46242816699668765,0.022171870991587638,0.01501705315278512,232341504,06_experiments/stage_01d_fixed_physics_tgv/results/trajectory_samples/smoke_n16_increasing_neighbor_n16_h4p00_dt0p00100000_tf0p010_cs20p0_regular_s0.csv,06_experiments/stage_01d_fixed_physics_tgv/logs/smoke_n16_increasing_neighbor_n16_h4p00_dt0p00100000_tf0p010_cs20p0_regular_s0_stdout.log,06_experiments/stage_01d_fixed_physics_tgv/logs/smoke_n16_increasing_neighbor_n16_h4p00_dt0p00100000_tf0p010_cs20p0_regular_s0_stderr.log,,0.16770153935904927,True,False,True,06_experiments/stage_01d_fixed_physics_tgv/logs/smoke_n16_increasing_neighbor_n16_h4p00_dt0p00100000_tf0p010_cs20p0_regular_s0_config.json,232325120,216858624,0.125,12032,1.0,0.0,regular,1.0,False,0.9694777473544232,getrusage_RUSAGE_SELF_single_trajectory_process_through_archive,0.02,False,0,20.0,False,06_experiments/stage_01d_fixed_physics_tgv/results/trajectory_states/smoke_n16_increasing_neighbor_n16_h4p00_dt0p00100000_tf0p010_cs20p0_regular_s0.npz,increasing_neighbor,4.0,False,55.0,1.0
sph-pio-poc.stage01d.dynamic-diagnostics.v1,smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0,991475d1d013dc2cf2cb299958cc2eb8d60625688e57f6c5f2f1405cb4e52a2a,3290b65837805ae5aa15f98580ffcd7e002161ba,smoke_n32,explicit_midpoint_rk2_stage01c_pairs,cpu,float64,32,1024,0.0005,0.01,0.0005,FAIL,MEMORY_GROWTH,sustained current RSS growth,4,0.002,0.004402205135349553,0.004402205135349553,1.095788234087989e-05,4.129520576036657e-05,9.010530678641701e-05,0.04952196187369352,4.9028128433960815e-18,1.951563910473908e-18,0.0,0.0,1.0721510262957422e-17,1.0721510262957422e-17,0.0,-0.7676259130378276,0.06210997415019737,72.0,81.0,0.0,0.0,0.0,0.6901544170104899,0.07753338574548252,-0.02555879925857585,324403200,06_experiments/stage_01d_fixed_physics_tgv/results/trajectory_samples/smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0.csv,06_experiments/stage_01d_fixed_physics_tgv/logs/smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0_stdout.log,06_experiments/stage_01d_fixed_physics_tgv/logs/smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0_stderr.log,06_experiments/stage_01d_fixed_physics_tgv/logs/smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0_failure.txt,0.167923513899791,True,False,True,06_experiments/stage_01d_fixed_physics_tgv/logs/smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0_config.json,324386816,233783296,0.0625,76640,1.0,0.0,regular,1.0,True,0.9937595864031579,getrusage_RUSAGE_SELF_single_trajectory_process_through_archive,0.02,False,0,20.0,False,06_experiments/stage_01d_fixed_physics_tgv/results/trajectory_states/smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0.npz,increasing_neighbor,5.0,False,56.0,1.0
sph-pio-poc.stage01d.dynamic-diagnostics.v1,zero_flow_constant_neighbor_n16_h4p00_dt0p00100000_tf0p100_cs20p0_regular_s0,e114ffd2d32efb5ffdb9c22d49374952d7df4a2f35e0d2b57d09849d596a464e,3290b65837805ae5aa15f98580ffcd7e002161ba,zero_flow,explicit_midpoint_rk2_stage01c_pairs,cpu,float64,16,256,0.001,0.1,0.001,PASS,,,,,,0.0,,,4.154664352776189e-16,1.2673657055993248e-15,9.486979989512451e-31,6.77927340424307e-32,0.0,0.0,3.5754613447286015e-18,3.5754613447286015e-18,0.0,0.0,0.125,49.0,49.0,0.0,0.0,0.0,4.213590124971233,0.02184838537883479,0.0021997968878471053,236158976,06_experiments/stage_01d_fixed_physics_tgv/results/trajectory_samples/zero_flow_constant_neighbor_n16_h4p00_dt0p00100000_tf0p100_cs20p0_regular_s0.csv,06_experiments/stage_01d_fixed_physics_tgv/logs/zero_flow_constant_neighbor_n16_h4p00_dt0p00100000_tf0p100_cs20p0_regular_s0_stdout.log,06_experiments/stage_01d_fixed_physics_tgv/logs/zero_flow_constant_neighbor_n16_h4p00_dt0p00100000_tf0p100_cs20p0_regular_s0_stderr.log,,0.1600000000000002,True,False,True,06_experiments/stage_01d_fixed_physics_tgv/logs/zero_flow_constant_neighbor_n16_h4p00_dt0p00100000_tf0p100_cs20p0_regular_s0_config.json,236126208,215662592,0.125,12544,1.000415750455033,0.0,regular,1.0,False,1.0,getrusage_RUSAGE_SELF_single_trajectory_process_through_archive,0.02,False,0,20.0,False,06_experiments/stage_01d_fixed_physics_tgv/results/trajectory_states/zero_flow_constant_neighbor_n16_h4p00_dt0p00100000_tf0p100_cs20p0_regular_s0.npz,constant_neighbor,4.0,False,55.0,1.0
