config_hash,config_path,git_hash,protocol,run_id,sample_table_path,state_path,status
99ebe59e37466f17f87ed14c2b5ef228bfd01695f546df8a685a208dd460acc9,06_experiments/stage_01d_fixed_physics_tgv/logs/smoke_n16_increasing_neighbor_n16_h4p00_dt0p00100000_tf0p010_cs20p0_regular_s0_config.json,3290b65837805ae5aa15f98580ffcd7e002161ba,smoke_n16,smoke_n16_increasing_neighbor_n16_h4p00_dt0p00100000_tf0p010_cs20p0_regular_s0,06_experiments/stage_01d_fixed_physics_tgv/results/trajectory_samples/smoke_n16_increasing_neighbor_n16_h4p00_dt0p00100000_tf0p010_cs20p0_regular_s0.csv,06_experiments/stage_01d_fixed_physics_tgv/results/trajectory_states/smoke_n16_increasing_neighbor_n16_h4p00_dt0p00100000_tf0p010_cs20p0_regular_s0.npz,PASS
991475d1d013dc2cf2cb299958cc2eb8d60625688e57f6c5f2f1405cb4e52a2a,06_experiments/stage_01d_fixed_physics_tgv/logs/smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0_config.json,3290b65837805ae5aa15f98580ffcd7e002161ba,smoke_n32,smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0,06_experiments/stage_01d_fixed_physics_tgv/results/trajectory_samples/smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0.csv,06_experiments/stage_01d_fixed_physics_tgv/results/trajectory_states/smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0.npz,FAIL
e114ffd2d32efb5ffdb9c22d49374952d7df4a2f35e0d2b57d09849d596a464e,06_experiments/stage_01d_fixed_physics_tgv/logs/zero_flow_constant_neighbor_n16_h4p00_dt0p00100000_tf0p100_cs20p0_regular_s0_config.json,3290b65837805ae5aa15f98580ffcd7e002161ba,zero_flow,zero_flow_constant_neighbor_n16_h4p00_dt0p00100000_tf0p100_cs20p0_regular_s0,06_experiments/stage_01d_fixed_physics_tgv/results/trajectory_samples/zero_flow_constant_neighbor_n16_h4p00_dt0p00100000_tf0p100_cs20p0_regular_s0.csv,06_experiments/stage_01d_fixed_physics_tgv/results/trajectory_states/zero_flow_constant_neighbor_n16_h4p00_dt0p00100000_tf0p100_cs20p0_regular_s0.npz,PASS
