solution_id,variable,ad,fd,relative_difference,finite,nonzero
MMS_A,numerical_x,16.467165083945897,16.467165083966506,1.2515385584364027e-12,True,True
MMS_A,numerical_y,17.148827338439368,17.148827338608896,9.88571334806817e-12,True,True
MMS_A,physical_time,-8.233582541972948,-8.233582541983253,1.2515385584364027e-12,True,True
MMS_A,density_amplitude,2725.379899746387,2725.3798997479707,5.811611890452498e-13,True,True
MMS_A,translation_speed,-0.6092851081059981,-0.6092851081440642,6.247667194586943e-11,True,True
MMS_B,numerical_x,7.726264979875975,7.7262649789133775,1.245876391292771e-10,True,True
MMS_B,numerical_y,9.331733638746055,9.331733638262563,5.1811632862530776e-11,True,True
MMS_B,physical_time,1.8843990165922777,1.8843990168271318,1.246307889366173e-10,True,True
MMS_B,density_amplitude,2842.5721745046776,2842.5721745057863,3.900249398782478e-13,True,True
MMS_B,vortex_amplitude,-2.691998595131825,-2.6919985951501246,6.797768803913888e-12,True,True
MMS_B,decay_rate,0.43872346218287317,0.43872346200402035,4.0766641599707824e-10,True,True
