panel,arm,group,lineage,model_seed,origin,variant,active_factors,component,cosine_alignment,full_gradient_L2,historical_reverse,mean_dot,primary_reason,projection_ratio,reconstructed_derivative,reconstruction_abs_error,reconstruction_pass,reconstruction_relative_error,residual_RMS,scaled_projection,sqrt_parameter_dimension,state_JVP_RMS,L2,Linf,RMS,deterministic_repeat,element_count,finite_count,histogram_decade,nonzero_element_count,sign_balance,A_mid,A_start,RHO_accept,RHO_over_dt2_A_mid,V_accept,V_over_dt_A_mid,X_accept,X_over_dt2_A_mid,D0_dimensionless_state_residual_RMS,D0_loss,random_minus_D0_state_RMS,random_model_loss,resolution,reason,count
a-d,D1,D1_PAIR_HEAD,LCDF_01,20400402,8,VARIANT_LOW,[],L_rho,0.6439630647163649,2.7864196718290178e-14,2.1544282681693406e-16,1.077214134082796e-16,UNRESOLVED,0.007731887231312735,2.154428268165592e-16,3.7485684139970955e-28,True,1.7399365155853281e-12,1.7557167302639883e-06,0.5101873940100702,65.98484674529449,9.527668474513976e-11,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_TOKEN_ENCODER,LCDF_01,20400403,8,VARIANT_LOW,"[""TASK_RESIDUAL_TOO_SMALL""]",L_x,0.672638028255827,4.8836292954768435e-18,4.541939405376522e-20,2.270969702690933e-20,TASK_RESIDUAL_TOO_SMALL,0.009300336144643923,4.541939405381866e-20,5.343853742566958e-32,True,1.1765576916845e-12,4.72567228193408e-09,0.34897954579594664,37.52332607858744,7.1444092262770705e-12,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_TOKEN_ENCODER,LCDF_01,20400403,8,VARIANT_LOW,"[""GROUP_DIRECTION_PROJECTION_DILUTION""]",L_v,0.6573337529739378,1.2392606085404608e-12,1.116012211643476e-14,5.580061058211332e-15,GROUP_DIRECTION_PROJECTION_DILUTION,0.009005468292564059,1.1160122116422664e-14,1.2096393120658995e-26,True,1.083894333274853e-12,2.34084294573529e-06,0.33791512323226125,37.52332607858744,3.62644204613458e-09,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_TOKEN_ENCODER,LCDF_01,20400403,8,VARIANT_LOW,[],L_rho,0.553404488941335,9.994936078282399e-15,-9.296014890435997e-17,-4.648007445221443e-17,UNRESOLVED,0.009300724704618112,-9.296014890442886e-17,6.888974373875367e-29,True,7.41067484837813e-13,1.756367873049446e-06,0.34899412585855927,37.52332607858744,4.781989882466262e-11,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_PAIR_HEAD,LCDF_01,20400403,8,VARIANT_LOW,"[""TASK_RESIDUAL_TOO_SMALL""]",L_x,0.9983676574677965,1.5143050599272716e-17,1.1753151442812106e-19,5.876575721398809e-20,TASK_RESIDUAL_TOO_SMALL,0.007761415948366824,1.1753151442797618e-19,1.4487808006652982e-31,True,1.2326743237460208e-12,4.72567228193408e-09,0.5121358418794694,65.98484674529449,1.2455760024621973e-11,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_PAIR_HEAD,LCDF_01,20400403,8,VARIANT_LOW,"[""GROUP_DIRECTION_PROJECTION_DILUTION""]",L_v,0.9982894969389697,3.834462982126691e-12,3.093320526454166e-14,1.5466602632251274e-14,GROUP_DIRECTION_PROJECTION_DILUTION,0.0080671544904015,3.093320526450255e-14,3.911487912447865e-26,True,1.2644948620735252e-12,2.34084294573529e-06,0.5323099527197573,65.98484674529449,6.618600219065335e-09,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_PAIR_HEAD,LCDF_01,20400403,8,VARIANT_LOW,[],L_rho,0.9964293483982172,3.099209732615613e-14,-2.4054319397575437e-16,-1.202715969879443e-16,UNRESOLVED,0.007761436454084223,-2.405431939758886e-16,1.3425426530730095e-28,True,5.58129552901664e-13,1.756367873049446e-06,0.5121371949460893,65.98484674529449,6.872283746159917e-11,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_TOKEN_ENCODER,LCDF_01,20400401,19,VARIANT_LOW,"[""TASK_RESIDUAL_TOO_SMALL""]",L_x,0.9981953358775381,7.657845673949763e-18,2.662766434038683e-19,1.3313832170191755e-19,TASK_RESIDUAL_TOO_SMALL,0.03477174322142329,2.662766434038351e-19,3.322229154067982e-32,True,1.2476607454560237e-13,5.472666232469138e-09,1.3047514592183784,37.52332607858744,2.4371854664473527e-11,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_TOKEN_ENCODER,LCDF_01,20400401,19,VARIANT_LOW,"[""GROUP_DIRECTION_PROJECTION_DILUTION""]",L_v,0.9947613024946734,1.9768755503072683e-12,6.878125756069808e-14,3.4390628780347985e-14,GROUP_DIRECTION_PROJECTION_DILUTION,0.03479291225490007,6.878125756069597e-14,2.1078363387505435e-27,True,3.0645504509574e-14,2.751910363985733e-06,1.3055457917642963,37.52332607858744,1.2562814588416562e-08,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_TOKEN_ENCODER,LCDF_01,20400401,19,VARIANT_LOW,[],L_rho,0.9968611013949988,8.127688764267828e-15,-2.8267923888482306e-16,-1.4133961944239272e-16,UNRESOLVED,0.034779781446304905,-2.8267923888478544e-16,3.7618804417727e-29,True,1.3307947398660815e-13,1.0545759506036861e-06,1.3050530801517044,37.52332607858744,1.3444708942500869e-10,,,,,,,,,,,,,,,,,,,,,,,,
