run_id,resolution,support_ratio,velocity_relative_l2,modal_error,kinetic_energy_error,status
stage01d2_s_n16_inc,16,4.0,0.01865615480046095,0.002550509801116485,0.0059537335716813855,PASS
stage01d2_s_n24_inc,24,4.5,0.004906640448520584,0.0016072477529518459,0.003284279398274692,PASS
stage01d2_t_n32_dt1p25e4,32,5.0,0.01498544527448892,0.0011821416163716458,0.0025234233918977056,PASS
