schema_version,run_id,step,time,state_all_finite,gc_enabled,grad_enabled,current_rss_bytes,peak_rss_bytes,system_available_memory_fraction,step_wall_seconds,edge_count,light_duplicate_edge_count,light_nonreciprocal_edge_count,full_structure_audit,neighbor_duplicate_edge_count,neighbor_missing_self_edge_count,neighbor_nonreciprocal_nonself_edge_count,neighbor_out_of_bounds_edge_count,neighbor_omitted_strict_support_edge_count,neighbor_unexpected_edge_count,pressure_relative_pair_force_residual,viscosity_relative_pair_force_residual,relative_total_internal_force,viscous_power
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,700,0.08750000000000006,True,True,False,299089920,299089920,0.37605762481689453,0.07767191698076203,80864,0,0,True,0,0,0,0,0,0,0.0,0.0,4.714759101857465e-18,-0.7178268276193774
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,725,0.09062500000000007,True,True,False,299089920,299089920,0.3771963119506836,0.08126233401708305,80928,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,750,0.09375000000000007,True,True,False,299106304,299106304,0.37902259826660156,0.07788150000851601,80960,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,775,0.09687500000000007,True,True,False,299106304,299106304,0.37738704681396484,0.07828937500016764,80960,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,800,0.10000000000000007,True,True,False,299106304,299106304,0.377410888671875,0.08117912500165403,80736,0,0,True,0,0,0,0,0,0,0.0,0.0,5.093937275243601e-18,-0.7119037218092428
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,825,0.10312500000000008,True,True,False,299106304,299106304,0.3793764114379883,0.07761216600192711,80352,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,850,0.10625000000000008,True,True,False,299122688,299122688,0.3770132064819336,0.0781796250375919,80256,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,875,0.10937500000000008,True,True,False,299122688,299122688,0.37758541107177734,0.07770058303140104,80128,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,900,0.11250000000000009,True,True,False,299139072,299139072,0.38038158416748047,0.07821066700853407,80000,0,0,True,0,0,0,0,0,0,0.0,0.0,3.782814454037347e-18,-0.7049151732549117
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,925,0.11562500000000009,True,True,False,299139072,299139072,0.3790168762207031,0.07832016702741385,79872,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,950,0.11875000000000009,True,True,False,299139072,299139072,0.3772268295288086,0.07823416602332145,79824,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,975,0.1218750000000001,True,True,False,299139072,299139072,0.3803567886352539,0.07704570901114494,79760,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,1000,0.12500000000000008,True,True,False,299139072,299139072,0.3790092468261719,0.07805812504375353,79808,0,0,True,0,0,0,0,0,0,0.0,0.0,2.8344875096803076e-18,-0.6981254448816987
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,1025,0.12812499999999974,True,True,False,299139072,299139072,0.3769826889038086,0.0774524169974029,79680,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,1050,0.1312499999999994,True,True,False,299139072,299139072,0.3795003890991211,0.07734266598708928,79792,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,1075,0.13437499999999905,True,True,False,300204032,300204032,0.3787841796875,0.07765079103410244,79952,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,1100,0.1374999999999987,True,True,False,300204032,300204032,0.37728118896484375,0.07734529196750373,79984,0,0,True,0,0,0,0,0,0,2.6104379709827384e-18,4.565966847116971e-18,2.7582689233739054e-18,-0.6904145202108021
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,1125,0.14062499999999836,True,True,False,300204032,300204032,0.3787727355957031,0.07709195901406929,79968,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,1150,0.14374999999999802,True,True,False,300892160,300892160,0.37847900390625,0.07977283303625882,80128,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,1175,0.14687499999999767,True,True,False,300892160,300892160,0.3769655227661133,0.07824045803863555,80224,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,1200,0.14999999999999733,True,True,False,300892160,300892160,0.37989044189453125,0.07786987494910136,80336,0,0,True,0,0,0,0,0,0,0.0,0.0,5.9609634955052256e-18,-0.68451867751042
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,1225,0.15312499999999699,True,True,False,300892160,300892160,0.3793811798095703,0.07727320800768211,80304,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,1250,0.15624999999999664,True,True,False,300892160,300892160,0.3773002624511719,0.07788591604912654,80336,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,1275,0.1593749999999963,True,True,False,300908544,300908544,0.37880516052246094,0.07788854104001075,80464,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,1300,0.16249999999999595,True,True,False,300908544,300908544,0.37874603271484375,0.07867516699479893,80560,0,0,True,0,0,0,0,0,0,0.0,0.0,2.5990625087716615e-18,-0.6779963876469
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,1325,0.1656249999999956,True,True,False,300941312,300941312,0.3774585723876953,0.07835179200628772,80400,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,1350,0.16874999999999526,True,True,False,300941312,300941312,0.3796720504760742,0.07766025001183152,80496,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,1375,0.17187499999999492,True,True,False,300941312,300941312,0.37890625,0.07824370899470523,80288,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,1400,0.17499999999999458,True,True,False,300941312,300941312,0.37674903869628906,0.07888116699177772,80304,0,0,True,0,0,0,0,0,0,0.0,0.0,5.5222599649930414e-18,-0.671390342214427
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,1425,0.17812499999999423,True,True,False,300941312,300941312,0.37831878662109375,0.07779349997872487,80112,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,1450,0.1812499999999939,True,True,False,300941312,300941312,0.3784761428833008,0.0786217909771949,79984,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,1475,0.18437499999999354,True,True,False,300941312,300941312,0.3768577575683594,0.07723225001245737,79984,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,1500,0.1874999999999932,True,True,False,300941312,300941312,0.3768959045410156,0.0817598330322653,79872,0,0,True,0,0,0,0,0,0,0.0,0.0,2.0563600223174177e-18,-0.6639803206279109
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,1525,0.19062499999999286,True,True,False,300941312,300941312,0.37851715087890625,0.07763025001622736,80096,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,1550,0.1937499999999925,True,True,False,300957696,300957696,0.37659645080566406,0.07759166602045298,79936,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,1575,0.19687499999999217,True,True,False,300957696,300957696,0.37643909454345703,0.07796720799524337,79968,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,1600,0.19999999999999182,True,True,False,300957696,300957696,0.3769235610961914,0.07735625002533197,79840,0,0,True,0,0,0,0,0,0,0.0,0.0,4.552394396273844e-18,-0.657299791882664
