step,retired_old_survivor_count,retired_old_survivor_bytes,same_slot_multigeneration_count,maximum_retired_generations_in_one_slot,retired_slot_count,gc_count_generation_0,gc_count_generation_1,gc_count_generation_2,gc_collections_generation_0,gc_collections_generation_1,gc_collections_generation_2,gc_collected_generation_0,gc_collected_generation_1,gc_collected_generation_2,manual_gc_collected_objects,manual_gc_wall_seconds,current_rss_bytes,live_current_tensor_bytes,edge_count,step_wall_seconds
1,0,0,0,0,0,483,3,6,311,28,2,6139,466,10,0,0.0,236486656,4112416,82944,0.02259304199833423
2,0,0,0,0,0,38,4,6,312,28,2,6438,466,10,0,0.0,240533504,4112416,82944,0.022304416983388364
3,3,2654208,0,1,3,323,4,6,312,28,2,6438,466,10,0,0.0,240599040,4112416,82944,0.02250829100375995
4,13,8011776,3,2,13,636,4,6,312,28,2,6438,466,10,0,0.0,244695040,4112416,82944,0.02213704102905467
5,7,2703360,0,1,7,154,5,6,313,28,2,6869,466,10,0,0.0,246054912,4112416,82944,0.022481457970570773
6,15,8028160,5,2,13,423,5,6,313,28,2,6869,466,10,0,0.0,248758272,4112416,82944,0.022171291988343
7,25,13385728,13,3,13,19,6,6,314,28,2,7315,466,10,0,0.0,249495552,4112416,82944,0.02487870800541714
8,12,5373952,5,2,10,244,6,6,314,28,2,7315,466,10,0,0.0,249495552,4112416,82944,0.022491833951789886
9,22,10731520,10,3,13,531,6,6,314,28,2,7315,466,10,0,0.0,249544704,4112416,82944,0.02193616604199633
10,9,2719744,2,2,10,37,7,6,315,28,2,7762,466,10,0,0.0,251871232,4112416,82944,0.022093791980296373
11,12,5373952,5,2,10,284,7,6,315,28,2,7762,466,10,0,0.0,251871232,4112416,82944,0.022414625040255487
12,22,10731520,10,3,13,569,7,6,315,28,2,7762,466,10,0,0.0,254623744,4112416,82944,0.02201579202665016
13,14,5390336,8,3,10,37,8,6,316,28,2,8185,466,10,0,0.0,255983616,4112416,82944,0.022488207963760942
14,17,8044544,8,3,10,299,8,6,316,28,2,8185,466,10,0,0.0,256000000,4112416,82944,0.02267750003375113
15,27,13402112,10,4,13,588,8,6,316,28,2,8185,466,10,0,0.0,256049152,4112416,82944,0.02209487499203533
