step,retired_old_survivor_count,retired_old_survivor_bytes,same_slot_multigeneration_count,maximum_retired_generations_in_one_slot,retired_slot_count,gc_count_generation_0,gc_count_generation_1,gc_count_generation_2,gc_collections_generation_0,gc_collections_generation_1,gc_collections_generation_2,gc_collected_generation_0,gc_collected_generation_1,gc_collected_generation_2,manual_gc_collected_objects,manual_gc_wall_seconds,current_rss_bytes,live_current_tensor_bytes,edge_count,step_wall_seconds
1,0,0,0,0,0,483,3,6,311,28,2,6139,466,10,0,0.0,233111552,4112416,82944,0.02221845800522715
2,0,0,0,0,0,38,4,6,312,28,2,6438,466,10,0,0.0,239828992,4112416,82944,0.02451066701905802
3,3,2654208,0,1,3,323,4,6,312,28,2,6438,466,10,0,0.0,243646464,4112416,82944,0.024315042013768107
4,13,8011776,3,2,13,636,4,6,312,28,2,6438,466,10,0,0.0,248414208,4112416,82944,0.024974709027446806
5,7,2703360,0,1,7,154,5,6,313,28,2,6870,466,10,0,0.0,248512512,4112416,82944,0.025793874985538423
6,15,8028160,5,2,13,423,5,6,313,28,2,6870,466,10,0,0.0,249872384,4112416,82944,0.0261072909925133
7,25,13385728,13,3,13,18,6,6,314,28,2,7313,466,10,0,0.0,251265024,4112416,82944,0.024743415997363627
8,12,5373952,5,2,10,245,6,6,314,28,2,7313,466,10,0,0.0,251297792,4112416,82944,0.025052957993466407
9,22,10731520,10,3,13,532,6,6,314,28,2,7313,466,10,0,0.0,251330560,4112416,82944,0.023616750026121736
10,9,2719744,2,2,10,37,7,6,315,28,2,7761,466,10,0,0.0,253362176,4112416,82944,0.025434291979763657
11,12,5373952,5,2,10,285,7,6,315,28,2,7761,466,10,0,0.0,253362176,4112416,82944,0.023745083017274737
12,22,10731520,10,3,13,570,7,6,315,28,2,7761,466,10,0,0.0,253427712,4112416,82944,0.02742462500464171
13,14,5390336,8,3,10,37,8,6,316,28,2,8185,466,10,0,0.0,258834432,4112416,82944,0.025218249997124076
14,17,8044544,8,3,10,298,8,6,316,28,2,8185,466,10,0,0.0,258867200,4112416,82944,0.022831250040326267
15,27,13402112,10,4,13,587,8,6,316,28,2,8185,466,10,0,0.0,258916352,4112416,82944,0.02251604205230251
16,17,8044544,8,3,10,38,9,6,317,28,2,8657,466,10,0,0.0,259244032,4112416,82944,0.02350195898907259
17,20,10698752,8,4,10,285,9,6,317,28,2,8657,466,10,0,0.0,259637248,4112416,82944,0.023048250004649162
18,30,16056320,10,5,13,572,9,6,317,28,2,8657,466,10,0,0.0,260440064,4112416,82944,0.024905583006329834
19,17,8044544,8,3,10,37,10,6,318,28,2,9152,466,10,0,0.0,263127040,4112416,82944,0.02490570896770805
20,20,10698752,8,4,10,277,10,6,318,28,2,9152,466,10,0,0.0,263815168,4112416,82944,0.023520082992035896
21,30,16056320,10,5,13,563,10,6,318,28,2,9152,466,10,0,0.0,263864320,4112416,82944,0.02327133301878348
22,20,10698752,8,4,10,37,11,6,319,28,2,9638,466,10,0,0.0,265912320,4112416,82944,0.023869750031735748
23,23,13352960,8,5,10,274,11,6,319,28,2,9638,466,10,0,0.0,265912320,4112416,82944,0.024956499983090907
24,33,18710528,10,6,13,560,11,6,319,28,2,9638,466,10,0,0.0,265945088,4112416,82944,0.02564820897532627
25,0,0,0,0,0,74,0,0,319,29,3,9638,1105,61,51,0.023118000011891127,267960320,4112416,82944,0.02455508301500231
26,3,2654208,0,1,3,270,0,0,319,29,3,9638,1105,61,0,0.0,267993088,4112416,82944,0.02643575001275167
27,13,8011776,3,2,13,555,0,0,319,29,3,9638,1105,61,0,0.0,267993088,4112416,82944,0.023044749977998435
28,0,0,0,0,0,37,1,0,320,29,3,10068,1105,61,0,0.0,268009472,4112416,82944,0.023425874998793006
29,3,2654208,0,1,3,259,1,0,320,29,3,10068,1105,61,0,0.0,268009472,4112416,82944,0.022667457989882678
30,13,8011776,3,2,13,539,1,0,320,29,3,10068,1105,61,0,0.0,268009472,4112416,82944,0.022290249995421618
31,0,0,0,0,0,37,2,0,321,29,3,10560,1105,61,0,0.0,268009472,4112416,82944,0.02183058299124241
32,3,2654208,0,1,3,272,2,0,321,29,3,10560,1105,61,0,0.0,268009472,4112416,82944,0.022998458007350564
33,13,8011776,3,2,13,557,2,0,321,29,3,10560,1105,61,0,0.0,268025856,4112416,82944,0.022269500012043864
34,4,49152,0,1,4,37,3,0,322,29,3,11020,1105,61,0,0.0,268681216,4112416,82944,0.021932500007096678
35,7,2703360,0,1,7,286,3,0,322,29,3,11020,1105,61,0,0.0,268681216,4112416,82944,0.021898417035117745
36,17,8060928,7,2,13,573,3,0,322,29,3,11020,1105,61,0,0.0,268681216,4112416,82944,0.021792875020764768
37,4,49152,0,1,4,37,4,0,323,29,3,11502,1105,61,0,0.0,268681216,4112416,82944,0.021396333002485335
38,7,2703360,0,1,7,278,4,0,323,29,3,11502,1105,61,0,0.0,268681216,4112416,82944,0.021403291961178184
39,17,8060928,7,2,13,565,4,0,323,29,3,11502,1105,61,0,0.0,268730368,4112416,82944,0.02122958400286734
40,7,2703360,0,1,10,37,5,0,324,29,3,11988,1105,61,0,0.0,268779520,4112416,82944,0.021167250000871718
41,10,5357568,3,2,10,273,5,0,324,29,3,11988,1105,61,0,0.0,268812288,4112416,82944,0.021102583967149258
42,20,10715136,10,3,13,559,5,0,324,29,3,11988,1105,61,0,0.0,268861440,4112416,82944,0.021327916998416185
43,7,2703360,0,1,10,37,6,0,325,29,3,12469,1105,61,0,0.0,271515648,4112416,82944,0.021055541990790516
44,10,5357568,3,2,10,278,6,0,325,29,3,12469,1105,61,0,0.0,271515648,4112416,82944,0.021423625003080815
45,20,10715136,10,3,13,564,6,0,325,29,3,12469,1105,61,0,0.0,271548416,4112416,82944,0.021348207956179976
46,7,2703360,0,1,10,37,7,0,326,29,3,12952,1105,61,0,0.0,271548416,4112416,82944,0.02116641600150615
