step,retired_old_survivor_count,retired_old_survivor_bytes,same_slot_multigeneration_count,maximum_retired_generations_in_one_slot,retired_slot_count,gc_count_generation_0,gc_count_generation_1,gc_count_generation_2,gc_collections_generation_0,gc_collections_generation_1,gc_collections_generation_2,gc_collected_generation_0,gc_collected_generation_1,gc_collected_generation_2,manual_gc_collected_objects,manual_gc_wall_seconds,current_rss_bytes,live_current_tensor_bytes,edge_count,step_wall_seconds
1,0,0,0,0,0,514,1,6,309,28,2,6139,466,10,0,0.0,239190016,4112416,82944,0.025470416992902756
2,13,8011776,0,1,13,900,1,6,309,28,2,6139,466,10,0,0.0,243941376,4112416,82944,0.023064167005941272
3,23,13369344,13,2,13,1252,1,6,309,28,2,6139,466,10,0,0.0,250724352,4112416,82944,0.02534991700667888
4,33,18726912,13,3,13,1604,1,6,309,28,2,6139,466,10,0,0.0,256475136,4112416,82944,0.0243220420088619
5,43,24084480,13,4,13,1956,1,6,309,28,2,6139,466,10,0,0.0,263258112,4112416,82944,0.024085790966637433
6,53,29442048,13,5,13,2307,1,6,309,28,2,6139,466,10,0,0.0,267763712,4112416,82944,0.02281416702317074
7,63,34799616,13,6,13,2658,1,6,309,28,2,6139,466,10,0,0.0,272482304,4112416,82944,0.02320829196833074
8,73,40157184,13,7,13,3009,1,6,309,28,2,6139,466,10,0,0.0,278528000,4112416,82944,0.023107666987925768
9,83,45514752,13,8,13,3360,1,6,309,28,2,6139,466,10,0,0.0,286064640,4112416,82944,0.021938458958175033
10,93,50872320,13,9,13,3711,1,6,309,28,2,6139,466,10,0,0.0,290242560,4112416,82944,0.022634540975559503
11,103,56229888,13,10,13,4062,1,6,309,28,2,6139,466,10,0,0.0,295665664,4112416,82944,0.024937166017480195
12,113,61587456,13,11,13,4413,1,6,309,28,2,6139,466,10,0,0.0,301809664,4112416,82944,0.022124667011667043
13,123,66945024,13,12,13,4764,1,6,309,28,2,6139,466,10,0,0.0,308215808,4112416,82944,0.02196287497645244
14,133,72302592,13,13,13,5115,1,6,309,28,2,6139,466,10,0,0.0,315031552,4112416,82944,0.021768332982901484
15,143,77660160,13,14,13,5466,1,6,309,28,2,6139,466,10,0,0.0,318586880,4112416,82944,0.0218283329741098
16,153,83017728,13,15,13,5817,1,6,309,28,2,6139,466,10,0,0.0,326123520,4112416,82944,0.021701250050682575
