step,retired_old_survivor_count,retired_old_survivor_bytes,same_slot_multigeneration_count,maximum_retired_generations_in_one_slot,retired_slot_count,gc_count_generation_0,gc_count_generation_1,gc_count_generation_2,gc_collections_generation_0,gc_collections_generation_1,gc_collections_generation_2,gc_collected_generation_0,gc_collected_generation_1,gc_collected_generation_2,manual_gc_collected_objects,manual_gc_wall_seconds,current_rss_bytes,live_current_tensor_bytes,edge_count,step_wall_seconds
1,-1,-1,-1,-1,-1,87,3,6,311,28,2,6139,466,10,0,0.0,236879872,4112416,82944,0.021448250045068562
2,-1,-1,-1,-1,-1,181,3,6,311,28,2,6139,466,10,0,0.0,240254976,4112416,82944,0.021491833962500095
3,-1,-1,-1,-1,-1,244,3,6,311,28,2,6139,466,10,0,0.0,240402432,4112416,82944,0.020952792023308575
4,-1,-1,-1,-1,-1,307,3,6,311,28,2,6139,466,10,0,0.0,244760576,4112416,82944,0.021180042007472366
5,-1,-1,-1,-1,-1,370,3,6,311,28,2,6139,466,10,0,0.0,247513088,4112416,82944,0.02116004197159782
6,-1,-1,-1,-1,-1,432,3,6,311,28,2,6139,466,10,0,0.0,248905728,4112416,82944,0.02068608399713412
7,-1,-1,-1,-1,-1,494,3,6,311,28,2,6139,466,10,0,0.0,252461056,4112416,82944,0.02071375004015863
8,-1,-1,-1,-1,-1,556,3,6,311,28,2,6139,466,10,0,0.0,254509056,4112416,82944,0.020736000034958124
9,-1,-1,-1,-1,-1,618,3,6,311,28,2,6139,466,10,0,0.0,255868928,4112416,82944,0.020853750000242144
10,-1,-1,-1,-1,-1,0,4,6,312,28,2,6378,466,10,0,0.0,258670592,4112416,82944,0.02067612501559779
11,-1,-1,-1,-1,-1,48,4,6,312,28,2,6378,466,10,0,0.0,258768896,4112416,82944,0.02165112498914823
12,-1,-1,-1,-1,-1,108,4,6,312,28,2,6378,466,10,0,0.0,258785280,4112416,82944,0.021170249965507537
13,-1,-1,-1,-1,-1,168,4,6,312,28,2,6378,466,10,0,0.0,259457024,4112416,82944,0.021239207999315113
14,-1,-1,-1,-1,-1,228,4,6,312,28,2,6378,466,10,0,0.0,259473408,4112416,82944,0.02079841698287055
15,-1,-1,-1,-1,-1,288,4,6,312,28,2,6378,466,10,0,0.0,260145152,4112416,82944,0.020966665993910283
16,-1,-1,-1,-1,-1,348,4,6,312,28,2,6378,466,10,0,0.0,260177920,4112416,82944,0.021330250019673258
17,-1,-1,-1,-1,-1,408,4,6,312,28,2,6378,466,10,0,0.0,260177920,4112416,82944,0.02141154103446752
18,-1,-1,-1,-1,-1,468,4,6,312,28,2,6378,466,10,0,0.0,260177920,4112416,82944,0.021011625009123236
19,-1,-1,-1,-1,-1,528,4,6,312,28,2,6378,466,10,0,0.0,261521408,4112416,82944,0.02079158299602568
20,-1,-1,-1,-1,-1,590,4,6,312,28,2,6378,466,10,0,0.0,262848512,4112416,82944,0.020822582999244332
21,-1,-1,-1,-1,-1,652,4,6,312,28,2,6378,466,10,0,0.0,264912896,4112416,82944,0.020614833978470415
22,-1,-1,-1,-1,-1,25,5,6,313,28,2,6660,466,10,0,0.0,268976128,4112416,82944,0.02017704100580886
23,-1,-1,-1,-1,-1,81,5,6,313,28,2,6660,466,10,0,0.0,268992512,4112416,82944,0.02144416596274823
24,-1,-1,-1,-1,-1,141,5,6,313,28,2,6660,466,10,0,0.0,268992512,4112416,82944,0.021567750023677945
25,-1,-1,-1,-1,-1,201,5,6,313,28,2,6660,466,10,0,0.0,269008896,4112416,82944,0.020939666021149606
26,-1,-1,-1,-1,-1,276,5,6,313,28,2,6660,466,10,0,0.0,270352384,4112416,82944,0.0220761249656789
