step,retired_old_survivor_count,retired_old_survivor_bytes,same_slot_multigeneration_count,maximum_retired_generations_in_one_slot,retired_slot_count,gc_count_generation_0,gc_count_generation_1,gc_count_generation_2,gc_collections_generation_0,gc_collections_generation_1,gc_collections_generation_2,gc_collected_generation_0,gc_collected_generation_1,gc_collected_generation_2,manual_gc_collected_objects,manual_gc_wall_seconds,current_rss_bytes,live_current_tensor_bytes,edge_count,step_wall_seconds
1,-1,-1,-1,-1,-1,87,3,6,311,28,2,6139,466,10,0,0.0,238157824,4112416,82944,0.02167762501630932
2,-1,-1,-1,-1,-1,181,3,6,311,28,2,6139,466,10,0,0.0,239501312,4112416,82944,0.021364999993238598
3,-1,-1,-1,-1,-1,244,3,6,311,28,2,6139,466,10,0,0.0,241565696,4112416,82944,0.02078179200179875
4,-1,-1,-1,-1,-1,307,3,6,311,28,2,6139,466,10,0,0.0,245743616,4112416,82944,0.02071675000479445
5,-1,-1,-1,-1,-1,370,3,6,311,28,2,6139,466,10,0,0.0,247562240,4112416,82944,0.021087291999720037
6,-1,-1,-1,-1,-1,432,3,6,311,28,2,6139,466,10,0,0.0,248987648,4112416,82944,0.020754207973368466
7,-1,-1,-1,-1,-1,494,3,6,311,28,2,6139,466,10,0,0.0,253640704,4112416,82944,0.020496458048000932
8,-1,-1,-1,-1,-1,556,3,6,311,28,2,6139,466,10,0,0.0,258359296,4112416,82944,0.020420499960891902
9,-1,-1,-1,-1,-1,618,3,6,311,28,2,6139,466,10,0,0.0,260456448,4112416,82944,0.020635708002373576
10,-1,-1,-1,-1,-1,0,4,6,312,28,2,6378,466,10,0,0.0,263340032,4112416,82944,0.02027741598431021
11,-1,-1,-1,-1,-1,48,4,6,312,28,2,6378,466,10,0,0.0,263372800,4112416,82944,0.021634458971675485
12,-1,-1,-1,-1,-1,108,4,6,312,28,2,6378,466,10,0,0.0,263389184,4112416,82944,0.021790041006170213
13,-1,-1,-1,-1,-1,168,4,6,312,28,2,6378,466,10,0,0.0,263389184,4112416,82944,0.021291500015649945
14,-1,-1,-1,-1,-1,228,4,6,312,28,2,6378,466,10,0,0.0,263421952,4112416,82944,0.023434083035681397
15,-1,-1,-1,-1,-1,288,4,6,312,28,2,6378,466,10,0,0.0,263421952,4112416,82944,0.02322695800103247
