step,retired_old_survivor_count,retired_old_survivor_bytes,same_slot_multigeneration_count,maximum_retired_generations_in_one_slot,retired_slot_count,gc_count_generation_0,gc_count_generation_1,gc_count_generation_2,gc_collections_generation_0,gc_collections_generation_1,gc_collections_generation_2,gc_collected_generation_0,gc_collected_generation_1,gc_collected_generation_2,manual_gc_collected_objects,manual_gc_wall_seconds,current_rss_bytes,live_current_tensor_bytes,edge_count,step_wall_seconds
1,0,0,0,0,0,483,3,6,311,28,2,6139,466,10,0,0.0,236208128,4112416,82944,0.02277112501906231
2,0,0,0,0,0,38,4,6,312,28,2,6438,466,10,0,0.0,241876992,4112416,82944,0.022052708023693413
3,3,2654208,0,1,3,323,4,6,312,28,2,6438,466,10,0,0.0,243286016,4112416,82944,0.022465959016699344
4,13,8011776,3,2,13,636,4,6,312,28,2,6438,466,10,0,0.0,246972416,4112416,82944,0.022235042008105665
5,7,2703360,0,1,7,154,5,6,313,28,2,6871,466,10,0,0.0,247021568,4112416,82944,0.02310099999886006
6,15,8028160,5,2,13,424,5,6,313,28,2,6871,466,10,0,0.0,247037952,4112416,82944,0.02274416701402515
7,25,13385728,13,3,13,19,6,6,314,28,2,7316,466,10,0,0.0,254427136,4112416,82944,0.021907375019509345
8,12,5373952,5,2,10,245,6,6,314,28,2,7316,466,10,0,0.0,254427136,4112416,82944,0.022226708009839058
9,22,10731520,10,3,13,532,6,6,314,28,2,7316,466,10,0,0.0,254476288,4112416,82944,0.022435749997384846
10,9,2719744,2,2,10,37,7,6,315,28,2,7765,466,10,0,0.0,254525440,4112416,82944,0.02184891700744629
11,12,5373952,5,2,10,279,7,6,315,28,2,7765,466,10,0,0.0,254525440,4112416,82944,0.0224352499935776
12,22,10731520,10,3,13,564,7,6,315,28,2,7765,466,10,0,0.0,256573440,4112416,82944,0.02295845898333937
13,14,5390336,8,3,10,37,8,6,316,28,2,8195,466,10,0,0.0,260947968,4112416,82944,0.022436791041400284
14,17,8044544,8,3,10,297,8,6,316,28,2,8195,466,10,0,0.0,260964352,4112416,82944,0.022337000002153218
15,27,13402112,10,4,13,585,8,6,316,28,2,8195,466,10,0,0.0,261046272,4112416,82944,0.021984082995913923
16,14,5390336,8,3,10,37,9,6,317,28,2,8678,466,10,0,0.0,262389760,4112416,82944,0.021617332997266203
17,17,8044544,8,3,10,281,9,6,317,28,2,8678,466,10,0,0.0,262389760,4112416,82944,0.02243462495971471
18,27,13402112,10,4,13,568,9,6,317,28,2,8678,466,10,0,0.0,263127040,4112416,82944,0.021738542011007667
19,17,8044544,8,3,10,37,10,6,318,28,2,9158,466,10,0,0.0,263143424,4112416,82944,0.02175358298700303
20,20,10698752,8,4,10,275,10,6,318,28,2,9158,466,10,0,0.0,263159808,4112416,82944,0.021588249946944416
21,30,16056320,10,5,13,562,10,6,318,28,2,9158,466,10,0,0.0,263225344,4112416,82944,0.02115004201186821
22,20,10698752,8,4,10,37,11,6,319,28,2,9639,466,10,0,0.0,266911744,4112416,82944,0.024798042024485767
23,23,13352960,8,5,10,281,11,6,319,28,2,9639,466,10,0,0.0,266911744,4112416,82944,0.02368579199537635
24,33,18710528,10,6,13,567,11,6,319,28,2,9639,466,10,0,0.0,266944512,4112416,82944,0.021861875022295862
25,0,0,0,0,0,74,0,0,319,29,3,9639,1096,76,66,0.021344250009860843,266944512,4112416,82944,0.021912166033871472
26,3,2654208,0,1,3,270,0,0,319,29,3,9639,1096,76,0,0.0,266944512,4112416,82944,0.023159416974522173
27,13,8011776,3,2,13,555,0,0,319,29,3,9639,1096,76,0,0.0,266944512,4112416,82944,0.02294120896840468
28,0,0,0,0,0,37,1,0,320,29,3,10069,1096,76,0,0.0,266944512,4112416,82944,0.022461207991000265
29,3,2654208,0,1,3,259,1,0,320,29,3,10069,1096,76,0,0.0,266944512,4112416,82944,0.02269391604932025
30,13,8011776,3,2,13,541,1,0,320,29,3,10069,1096,76,0,0.0,266944512,4112416,82944,0.02249041700270027
31,0,0,0,0,0,37,2,0,321,29,3,10565,1096,76,0,0.0,266944512,4112416,82944,0.022141291003208607
32,3,2654208,0,1,3,274,2,0,321,29,3,10565,1096,76,0,0.0,266944512,4112416,82944,0.022479999985080212
33,13,8011776,3,2,13,559,2,0,321,29,3,10565,1096,76,0,0.0,266960896,4112416,82944,0.02206479199230671
34,4,49152,0,1,4,37,3,0,322,29,3,11031,1096,76,0,0.0,266960896,4112416,82944,0.022051959007512778
35,7,2703360,0,1,7,278,3,0,322,29,3,11031,1096,76,0,0.0,266960896,4112416,82944,0.02264050004305318
36,17,8060928,7,2,13,565,3,0,322,29,3,11031,1096,76,0,0.0,266960896,4112416,82944,0.022236667049583048
37,4,49152,0,1,4,37,4,0,323,29,3,11513,1096,76,0,0.0,266977280,4112416,82944,0.02214849996380508
38,7,2703360,0,1,7,278,4,0,323,29,3,11513,1096,76,0,0.0,266977280,4112416,82944,0.023510708997491747
39,17,8060928,7,2,13,564,4,0,323,29,3,11513,1096,76,0,0.0,267026432,4112416,82944,0.02294966601766646
40,4,49152,0,1,4,37,5,0,324,29,3,11994,1096,76,0,0.0,267042816,4112416,82944,0.022420458029955626
41,7,2703360,0,1,7,281,5,0,324,29,3,11994,1096,76,0,0.0,267042816,4112416,82944,0.021969916997477412
42,17,8060928,7,2,13,567,5,0,324,29,3,11994,1096,76,0,0.0,267091968,4112416,82944,0.021439499978441745
43,4,49152,0,1,4,37,6,0,325,29,3,12479,1096,76,0,0.0,268419072,4112416,82944,0.02239391702460125
