panel,row_id,arm,epsilon,relative_error,historical_stable_window_verdict,probe_group,fail,pass,total,horizon
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K4|initial_velocity,D1,1e-05,8.562965805752196e-08,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K4|initial_velocity,D1,3e-06,8.569434303387986e-08,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K4|initial_density,D1,0.0001,2.1008160756298717e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K4|initial_density,D1,3e-05,2.068806964647216e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K4|initial_density,D1,1e-05,2.25849467637596e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K4|initial_density,D1,3e-06,2.1473618029945515e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K8|token_encoder_parameter,D1,0.0001,4.750328969814894e-05,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K8|token_encoder_parameter,D1,3e-05,3.113657070348478e-05,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K8|token_encoder_parameter,D1,1e-05,0.0008473033331007744,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K8|token_encoder_parameter,D1,3e-06,0.0005435995023373033,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K8|coefficient_head_parameter,D1,0.0001,3.0247659551237164e-07,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K8|coefficient_head_parameter,D1,3e-05,1.3090562288738403e-05,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K8|coefficient_head_parameter,D1,1e-05,2.374676312229904e-05,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K8|coefficient_head_parameter,D1,3e-06,0.00024362443350763434,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K8|initial_velocity,D1,0.0001,1.953709100887574e-07,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K8|initial_velocity,D1,3e-05,1.9549182956184776e-07,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K8|initial_velocity,D1,1e-05,1.9536688367434877e-07,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K8|initial_velocity,D1,3e-06,1.9545801238888185e-07,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K8|initial_density,D1,0.0001,2.1348768981413068e-05,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K8|initial_density,D1,3e-05,2.1883854149496087e-05,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K8|initial_density,D1,1e-05,2.2038532740200117e-05,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300401|K8|initial_density,D1,3e-06,2.1868443771898573e-05,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K1|token_encoder_parameter,D1,0.0001,0.003963189047886131,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K1|token_encoder_parameter,D1,3e-05,0.009487878474248255,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K1|token_encoder_parameter,D1,1e-05,0.012118162818064606,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K1|token_encoder_parameter,D1,3e-06,0.03812743706145397,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K1|coefficient_head_parameter,D1,0.0001,6.938955875814913e-05,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K1|coefficient_head_parameter,D1,3e-05,0.0002670421224549844,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K1|coefficient_head_parameter,D1,1e-05,0.00426075893487224,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K1|coefficient_head_parameter,D1,3e-06,0.010988645545845655,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K1|initial_velocity,D1,0.0001,4.0096781564819904e-07,True,,,,,
