panel,probe,arm,lineage,epsilon,FD,AD,FD_AD_rel,stable,pair,pass,failed_probe_key,historical_pass_candidate_count,historical_pass_candidate_keys,matching_stratum,observed_distinct_control_count,required_distinct_control_count,selected_control_keys,classification,count,group,pass_or_consistent_count,passing_seed_count,probe_count,raw_23_of_24_pass,seed_aggregation_pass,seed_count
f,,D1,LCDF_06,,,,,,,False,,,,,,,,,,D1_PAIR_HEAD,22,2,24,False,True,3
f,,D1,LCDF_07,,,,,,,True,,,,,,,,,,D1_PAIR_HEAD,24,3,24,True,True,3
f,,D1,LCDF_08,,,,,,,True,,,,,,,,,,D1_PAIR_HEAD,24,3,24,True,True,3
f,,D2,LCDF_01,,,,,,,True,,,,,,,,,,D2_TOKEN_ENCODER,24,3,24,True,True,3
f,,D2,LCDF_04,,,,,,,True,,,,,,,,,,D2_TOKEN_ENCODER,24,3,24,True,True,3
f,,D2,LCDF_05,,,,,,,True,,,,,,,,,,D2_TOKEN_ENCODER,24,3,24,True,True,3
f,,D2,LCDF_06,,,,,,,True,,,,,,,,,,D2_TOKEN_ENCODER,24,3,24,True,True,3
f,,D2,LCDF_07,,,,,,,True,,,,,,,,,,D2_TOKEN_ENCODER,24,3,24,True,True,3
f,,D2,LCDF_08,,,,,,,True,,,,,,,,,,D2_TOKEN_ENCODER,24,3,24,True,True,3
f,,D2,LCDF_01,,,,,,,True,,,,,,,,,,D2_GRU,24,3,24,True,True,3
f,,D2,LCDF_04,,,,,,,True,,,,,,,,,,D2_GRU,24,3,24,True,True,3
f,,D2,LCDF_05,,,,,,,True,,,,,,,,,,D2_GRU,24,3,24,True,True,3
f,,D2,LCDF_06,,,,,,,True,,,,,,,,,,D2_GRU,24,3,24,True,True,3
f,,D2,LCDF_07,,,,,,,True,,,,,,,,,,D2_GRU,24,3,24,True,True,3
f,,D2,LCDF_08,,,,,,,True,,,,,,,,,,D2_GRU,24,3,24,True,True,3
f,,D2,LCDF_01,,,,,,,True,,,,,,,,,,D2_PAIR_HEAD,24,3,24,True,True,3
f,,D2,LCDF_04,,,,,,,True,,,,,,,,,,D2_PAIR_HEAD,24,3,24,True,True,3
f,,D2,LCDF_05,,,,,,,True,,,,,,,,,,D2_PAIR_HEAD,24,3,24,True,True,3
f,,D2,LCDF_06,,,,,,,False,,,,,,,,,,D2_PAIR_HEAD,22,3,24,False,True,3
f,,D2,LCDF_07,,,,,,,True,,,,,,,,,,D2_PAIR_HEAD,24,3,24,True,True,3
f,,D2,LCDF_08,,,,,,,True,,,,,,,,,,D2_PAIR_HEAD,24,3,24,True,True,3
f,,D3,LCDF_01,,,,,,,True,,,,,,,,,,D3_TOKEN_ENCODER,24,3,24,True,True,3
f,,D3,LCDF_04,,,,,,,True,,,,,,,,,,D3_TOKEN_ENCODER,24,3,24,True,True,3
f,,D3,LCDF_05,,,,,,,True,,,,,,,,,,D3_TOKEN_ENCODER,24,3,24,True,True,3
f,,D3,LCDF_06,,,,,,,True,,,,,,,,,,D3_TOKEN_ENCODER,24,3,24,True,True,3
f,,D3,LCDF_07,,,,,,,True,,,,,,,,,,D3_TOKEN_ENCODER,24,3,24,True,True,3
f,,D3,LCDF_08,,,,,,,True,,,,,,,,,,D3_TOKEN_ENCODER,24,3,24,True,True,3
f,,D3,LCDF_01,,,,,,,True,,,,,,,,,,D3_ATTENTION_Q,24,3,24,True,True,3
f,,D3,LCDF_04,,,,,,,True,,,,,,,,,,D3_ATTENTION_Q,24,3,24,True,True,3
f,,D3,LCDF_05,,,,,,,True,,,,,,,,,,D3_ATTENTION_Q,24,3,24,True,True,3
f,,D3,LCDF_06,,,,,,,True,,,,,,,,,,D3_ATTENTION_Q,24,3,24,True,True,3
f,,D3,LCDF_07,,,,,,,True,,,,,,,,,,D3_ATTENTION_Q,24,3,24,True,True,3
f,,D3,LCDF_08,,,,,,,True,,,,,,,,,,D3_ATTENTION_Q,24,3,24,True,True,3
f,,D3,LCDF_01,,,,,,,True,,,,,,,,,,D3_ATTENTION_K,24,3,24,True,True,3
f,,D3,LCDF_04,,,,,,,True,,,,,,,,,,D3_ATTENTION_K,24,3,24,True,True,3
f,,D3,LCDF_05,,,,,,,True,,,,,,,,,,D3_ATTENTION_K,24,3,24,True,True,3
f,,D3,LCDF_06,,,,,,,True,,,,,,,,,,D3_ATTENTION_K,24,3,24,True,True,3
f,,D3,LCDF_07,,,,,,,True,,,,,,,,,,D3_ATTENTION_K,24,3,24,True,True,3
f,,D3,LCDF_08,,,,,,,True,,,,,,,,,,D3_ATTENTION_K,24,3,24,True,True,3
f,,D3,LCDF_01,,,,,,,True,,,,,,,,,,D3_ATTENTION_V,24,3,24,True,True,3
f,,D3,LCDF_04,,,,,,,True,,,,,,,,,,D3_ATTENTION_V,24,3,24,True,True,3
f,,D3,LCDF_05,,,,,,,True,,,,,,,,,,D3_ATTENTION_V,24,3,24,True,True,3
f,,D3,LCDF_06,,,,,,,True,,,,,,,,,,D3_ATTENTION_V,24,3,24,True,True,3
f,,D3,LCDF_07,,,,,,,True,,,,,,,,,,D3_ATTENTION_V,24,3,24,True,True,3
f,,D3,LCDF_08,,,,,,,True,,,,,,,,,,D3_ATTENTION_V,24,3,24,True,True,3
f,,D3,LCDF_01,,,,,,,True,,,,,,,,,,D3_ATTENTION_O,24,3,24,True,True,3
f,,D3,LCDF_04,,,,,,,True,,,,,,,,,,D3_ATTENTION_O,24,3,24,True,True,3
f,,D3,LCDF_05,,,,,,,True,,,,,,,,,,D3_ATTENTION_O,24,3,24,True,True,3
f,,D3,LCDF_06,,,,,,,True,,,,,,,,,,D3_ATTENTION_O,24,3,24,True,True,3
f,,D3,LCDF_07,,,,,,,True,,,,,,,,,,D3_ATTENTION_O,24,3,24,True,True,3
f,,D3,LCDF_08,,,,,,,True,,,,,,,,,,D3_ATTENTION_O,24,3,24,True,True,3
f,,D3,LCDF_01,,,,,,,True,,,,,,,,,,D3_FEED_FORWARD,24,3,24,True,True,3
