schema_version,run_id,config_hash,git_hash,sample_index,step,time,dt,status,particle_count,dtype,device,state_all_finite,nonfinite_position_count,nonfinite_velocity_count,nonfinite_density_count,nonfinite_pressure_count,nonfinite_sound_speed_count,nonpositive_density_count,nonpositive_sound_speed_count,position_drift_linf,velocity_linf,relative_density_drift,total_mass,velocity_error_l1,velocity_error_l2,velocity_relative_l2,velocity_error_linf,modal_amplitude,exact_modal_amplitude,modal_amplitude_error,modal_amplitude_relative_error,kinetic_energy,exact_kinetic_energy,kinetic_energy_error,kinetic_energy_relative_error,density_mean,density_std,density_fluctuation_rms,density_fluctuation_relative_rms,density_fluctuation_linf,density_fluctuation_relative_linf,density_minimum,density_maximum,pressure_minimum,pressure_maximum,pressure_absolute_maximum,maximum_speed,maximum_mach,momentum_x,momentum_y,momentum_norm,momentum_drift_x,momentum_drift_y,momentum_drift_absolute,momentum_drift_normalized,angular_momentum,angular_momentum_drift_absolute,angular_momentum_drift_normalized,velocity_divergence_l2,minimum_separation,neighbor_edge_count,neighbor_unique_edge_count,neighbor_duplicate_edge_count,neighbor_self_edge_count,neighbor_missing_self_edge_count,neighbor_nonreciprocal_nonself_edge_count,neighbor_out_of_bounds_edge_count,neighbor_omitted_strict_support_edge_count,neighbor_unexpected_edge_count,neighbor_minimum_image_linf,neighbor_expected_strict_edge_count,neighbor_count_mean,neighbor_count_std,neighbor_count_median,neighbor_count_min,neighbor_count_max,neighbor_nonself_count_mean,pressure_pair_force_residual_linf,pressure_relative_pair_force_residual,pressure_total_internal_force,pressure_relative_total_internal_force,pressure_minimum_image_pair_torque_linf,pressure_relative_pair_torque_linf,pressure_relative_total_pair_torque,pressure_force_scale,viscosity_gamma_minimum,viscosity_gamma_maximum,viscosity_relative_gamma_symmetry_residual,viscosity_pair_force_residual_linf,viscosity_relative_pair_force_residual,viscosity_total_internal_force,viscosity_relative_total_internal_force,viscosity_minimum_image_pair_torque_linf,viscosity_force_scale,total_internal_force_x,total_internal_force_y,total_internal_force,relative_total_internal_force,assembled_mass_weighted_internal_force_x,assembled_mass_weighted_internal_force_y,assembled_mass_weighted_internal_force,assembled_relative_internal_force,assembly_force_consistency_linf,assembly_force_consistency_relative_linf,accumulated_viscous_power,pair_direct_viscous_power,viscous_power_identity_absolute_difference,viscous_power_positive_absolute_tolerance,viscous_power_roundoff_tolerance,wall_clock_seconds,step_time_count,step_time_mean_seconds,step_time_median_seconds,step_time_p95_seconds,step_time_early_mean_seconds,step_time_late_mean_seconds,step_time_late_to_early_ratio,thermal_slowdown_fraction,current_rss_bytes,system_memory_free_percent,peak_rss_bytes,peak_rss_gib
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_dis_j10_s4,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,0,0,0.0,0.00025,OK,1024,float64,cpu,True,0,0,0,0,0,0,0,,,,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0000756897155507,1.0000756897155507,0.0,0.0,1.0006032967533067,0.01082879440319655,0.010845586899714167,0.010845586899714167,0.030187634788091167,0.030187634788091167,0.9698328675391924,1.0301876347880912,-12.06685298432304,12.075053915236467,12.075053915236467,0.9932680145986077,0.04966340072993038,0.0006373176598705242,0.0011348006399235619,0.00130151691958029,0.0,0.0,0.0,0.0,-0.0002770970447939533,0.0,0.0,0.001154255310793075,0.05073874408336984,77746,77746,0,1024,0,0,0,0,0,2.220446049250313e-16,77746,75.923828125,1.6743883474201975,76.0,71,81,74.923828125,0.0,0.0,1.30066785273941e-15,3.593314007810302e-18,8.673617379884035e-19,2.5220994490298946e-16,1.9023512159582818e-19,361.96888162635486,2.143061695973572e-26,168.21925659098875,0.0,0.0,0.0,1.2903827912444315e-17,2.3526276727012656e-18,4.0822146513717265e-05,5.484857660297882,5.551115123125783e-16,9.43689570931383e-16,1.0948510389028343e-15,2.9795615661125025e-18,5.551115123125783e-16,9.43689570931383e-16,1.0948510389028343e-15,2.9795615661125025e-18,0.0,0.0,-0.7679902297345735,-0.7679902297345734,1.1102230246251565e-16,1e-12,2.5124652292654635e-14,0.0970812079613097,0,,,,,,,,228950016,35.957908630371094,260816896,0.2429046630859375
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_dis_j10_s4,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,1,20,0.005,0.00025,OK,1024,float64,cpu,True,0,0,0,0,0,0,0,,,,4.0,0.11834747429551074,4.231356176540644,0.18736623389415938,0.371583170395417,0.9982344438932983,0.9980280260203829,0.0002064178729154209,0.00020682572786909413,1.0314898080230517,0.9961353322157267,0.03535447580732498,0.03549163920195984,1.0004897036481686,0.008525997017780288,0.00854004887633719,0.00854004887633719,0.02494854832848492,0.02494854832848492,0.9750514516715151,1.02323251632074,-9.979419331393968,9.293006528296033,9.979419331393968,1.1165533798352094,0.05582766899176047,0.000637317659870506,0.00113480063992356,0.0013015169195802793,-1.8214596497756474e-17,-1.951563910473908e-18,1.8318846232029643e-17,4.579711558007411e-18,-0.00030154472361813844,2.4447678824185155e-05,3.0559598530231443e-06,1.0172101062224712,0.050739905371268525,77820,77820,0,1024,0,0,0,0,0,2.220446049250313e-16,77820,75.99609375,1.5893045427540842,76.0,71,81,74.99609375,0.0,0.0,1.2523886564118045e-15,4.465771274657343e-18,8.673617379884035e-19,2.355175227484568e-16,3.3099348793710877e-19,280.44173769466056,1.7722096491079872e-25,167.82565144032012,0.0,0.0,0.0,4.340276750224305e-17,6.840208252669653e-18,6.80405918830759e-05,6.3452406562773085,-1.1102230246251565e-16,1.6653345369377348e-16,2.0014830212433605e-16,6.978988490872724e-19,-1.1102230246251565e-16,1.6653345369377348e-16,2.0014830212433605e-16,6.978988490872724e-19,0.0,0.0,-1.0379106480772204,-1.0379106480772204,0.0,1e-12,2.896045214238854e-14,1.7442870409577154,20,0.07854476455540862,0.07839654150302522,0.07954070798587054,0.0786608498019632,0.07842867930885404,0.9970484619261848,-0.0029515380738152075,296075264,35.997676849365234,296075264,0.2757415771484375
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_dis_j10_s4,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,2,40,0.01,0.00025,OK,1024,float64,cpu,True,0,0,0,0,0,0,0,,,,4.0,0.17490529666022114,6.256966074476835,0.2776155150280431,0.5536003486298288,0.9963767953366937,0.996059940722142,0.00031685461455166486,0.00031810797884507404,1.069228953631294,0.9922104999580281,0.07701845367326587,0.07762309880466278,1.000326186579977,0.004234345920444909,0.0042468909874101455,0.0042468909874101455,0.013345909437421755,0.013345909437421755,0.9866540905625782,1.0128197477331913,-5.338363774968702,5.127899093276511,5.338363774968702,1.2167554198004045,0.060837770990020225,0.0006373176598705368,0.00113480063992355,0.0013015169195802856,1.2576745200831851e-17,-1.1926223897340549e-17,1.7332320568698924e-17,4.333080142174731e-18,-0.00033574025843101027,5.864321363705698e-05,7.3304017046321225e-06,1.4636567430214176,0.04992183567926157,78030,78030,0,1024,0,0,0,0,0,2.220446049250313e-16,78030,76.201171875,1.6157093517811425,76.0,71,81,75.201171875,4.370558682921689e-19,1.3276282101883571e-17,5.721958498152797e-17,4.392917891595436e-19,4.336808689942018e-19,2.4242434566668914e-16,4.476782116025845e-20,130.25416452923218,1.593706915768237e-26,168.31334400181032,1.6886189029729165e-16,1.0926396707304223e-19,9.250531529408644e-17,9.813077866773595e-18,1.3425733242465369e-18,8.482810842653845e-05,7.309155998820977,-1.734723475976807e-16,-1.1102230246251565e-16,2.0595777971499126e-16,1.4971852883777291e-18,-1.734723475976807e-16,-1.1102230246251565e-16,2.0595777971499126e-16,1.4971852883777291e-18,0.0,0.0,-1.385788708471503,-1.3857887084715033,2.220446049250313e-16,1e-12,3.3904096717257964e-14,3.429331708000973,40,0.07944328123121522,0.07874110402190126,0.0806727500166744,0.07854476455540862,0.08034179790702183,1.0228790978212876,0.02287909782128761,301662208,35.748863220214844,317276160,0.2954864501953125
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_dis_j10_s4,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,3,60,0.015,0.00025,OK,1024,float64,cpu,True,0,0,0,0,0,0,0,,,,4.0,0.15164338544003764,5.427760372974912,0.24130582222047015,0.4747020068343786,0.9944567537003403,0.994095736436899,0.0003610172634412878,0.0003631614644433229,1.046437277519682,0.9883011317720802,0.05813614574760173,0.05882432375986488,1.0003254460694282,0.0061521219677082364,0.006160723971228094,0.006160723971228094,0.021519101166581178,0.021519101166581178,0.9784808988334188,1.0159399890908607,-8.607640466632471,6.375995636344278,8.607640466632471,1.1515062725118157,0.057575313625590784,0.0006373176598705407,0.0011348006399235465,0.0013015169195802845,1.6479873021779667e-17,-1.5395670849294163e-17,2.255244766569224e-17,5.63811191642306e-18,-0.0002998422188114549,2.2745174017501594e-05,2.8431467521876992e-06,1.1653238204252807,0.04866451822920254,78488,78488,0,1024,0,0,0,0,0,2.220446049250313e-16,78488,76.6484375,1.6471301206670352,77.0,72,82,75.6484375,0.0,0.0,3.532708032038494e-16,1.656709944062523e-18,4.336808689942018e-19,2.365877944861402e-16,3.528719205040584e-19,213.23636311228492,9.653263369617214e-22,169.23642669500978,0.0,0.0,0.0,4.85722573273506e-17,6.871092895983696e-18,8.108480107987793e-05,7.0690730081297755,4.163336342344337e-16,5.551115123125783e-16,6.938893903907228e-16,3.1496698520478464e-18,4.163336342344337e-16,5.551115123125783e-16,6.938893903907228e-16,3.1496698520478464e-18,0.0,0.0,-1.2855229552257308,-1.285522955225731,2.220446049250313e-16,1e-12,3.2479234664971994e-14,5.09288024995476,60,0.07939792153580735,0.07912452047457919,0.08054708398412913,0.07949088467285037,0.07930495839876434,0.9976610365471308,-0.002338963452869214,331530240,35.91032028198242,347242496,0.323394775390625
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_dis_j10_s4,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,4,80,0.02,0.00025,OK,1024,float64,cpu,True,0,0,0,0,0,0,0,,,,4.0,0.09877963498241786,3.5680550604871737,0.158942655017072,0.2741412392949483,0.9925832264992192,0.9921354055113971,0.00044782098782203406,0.0004513708364144149,1.0100191798610303,0.9844071667285242,0.02561201313250605,0.026017702834917725,1.000401293320469,0.008731865271534937,0.008741081594933812,0.008741081594933812,0.029212754648934136,0.029212754648934136,0.9707872453510659,1.0225418643872892,-11.685101859573654,9.01674575491569,11.685101859573654,1.1986812454253841,0.059934062271269205,0.0006373176598705593,0.0011348006399235448,0.001301516919580292,3.5128150388530344e-17,-1.713039432527097e-17,3.9082443110154725e-17,9.770610777538681e-18,-0.00010225777037287847,0.00017483927442107482,2.1854909302634353e-05,0.6149689877275261,0.047532105231686356,78860,78860,0,1024,0,0,0,0,0,2.220446049250313e-16,78860,77.01171875,1.730034657719621,77.0,71,82,76.01171875,0.0,0.0,8.349770295452321e-16,2.776800415326432e-18,8.673617379884035e-19,2.271693421319646e-16,2.1578174067722927e-19,300.6975312077209,1.5968241041558522e-22,170.57236706738854,0.0,0.0,0.0,1.3904866443919908e-17,2.1891250497308217e-18,7.033549742569183e-05,6.351791756085232,1.0547118733938987e-15,3.885780586188048e-16,1.1240151438116956e-15,3.660698981395215e-18,1.0547118733938987e-15,3.885780586188048e-16,1.1240151438116956e-15,3.660698981395215e-18,0.0,0.0,-1.0274672330670238,-1.0274672330670238,0.0,1e-12,2.881204228894808e-14,6.797084332967643,80,0.07982406716182595,0.07928568750503473,0.08588962495559826,0.07944328123121522,0.08020485309243668,1.009586359594148,0.009586359594148108,353550336,35.678768157958984,369328128,0.343963623046875
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_dis_j10_s4,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,5,100,0.025,0.00025,OK,1024,float64,cpu,True,0,0,0,0,0,0,0,,,,4.0,0.11896214734124251,4.263008575559375,0.190274393001793,0.3249014750704712,0.9907716803468327,0.9901789403074717,0.0005927400393610505,0.0005986191134069081,1.0170649022545875,0.9805285441380656,0.036536358116521894,0.03726190158863678,1.0003901072867036,0.007818426549323866,0.007828152872952313,0.007828152872952313,0.02365094839730486,0.02365094839730486,0.9765178335431041,1.0236509483973049,-9.392866582758375,9.460379358921944,9.460379358921944,1.237334928044935,0.06186674640224675,0.000637317659870548,0.0011348006399235404,0.0013015169195802828,2.3852447794681098e-17,-2.1467203015212988e-17,3.209018652320919e-17,8.022546630802298e-18,0.00021523675423809618,0.0004923337990320495,6.154172487900618e-05,0.9653614462389556,0.046614657643508174,79060,79060,0,1024,0,0,0,0,0,2.220446049250313e-16,79060,77.20703125,1.7368721043142088,77.0,71,83,76.20703125,0.0,0.0,9.43689570931383e-16,3.657747600713102e-18,8.673617379884035e-19,2.389021508393868e-16,5.87925852238651e-21,257.99745470338206,1.2576945290830561e-25,172.42255087572815,0.0,0.0,0.0,2.126363438126899e-17,3.3112671828400588e-18,6.816669332262752e-05,6.421600314062022,5.551115123125783e-17,-1.0547118733938987e-15,1.056171682913856e-15,3.994310027483379e-18,5.551115123125783e-17,-1.0547118733938987e-15,1.056171682913856e-15,3.994310027483379e-18,0.0,0.0,-1.0513020765120378,-1.0513020765120376,2.220446049250313e-16,1e-12,2.915075578630475e-14,8.503743707959075,100,0.0801282062503742,0.07929116650484502,0.08588962495559826,0.07943837166531012,0.0808180408354383,1.017367792682622,0.017367792682621896,369623040,35.92996597290039,385449984,0.358978271484375
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_dis_j10_s4,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,6,120,0.03,0.00025,OK,1024,float64,cpu,True,0,0,0,0,0,0,0,,,,4.0,0.14685002177234047,5.2826268071259666,0.23624609960648704,0.40716996920908144,0.9889301335847782,0.9882263332020205,0.0007038003827577466,0.0007121854165505936,1.0324589469036956,0.9766652035505298,0.05579374335316578,0.05712678525899707,1.000338948921451,0.005904592588947697,0.005914313148017173,0.005914313148017173,0.02145323762635476,0.02145323762635476,0.982903786081542,1.0214532376263548,-6.838485567383179,8.581295050541904,8.581295050541904,1.2337117850059578,0.06168558925029789,0.0006373176598705637,0.001134800639923563,0.00130151691958031,3.946495907847236e-17,1.0842021724855044e-18,3.9479849156453474e-17,9.869962289113369e-18,0.00047029116664839415,0.0007473882114423474,9.342352643029343e-05,1.259762969778324,0.04587124921558971,79298,79298,0,1024,0,0,0,0,0,2.220446049250313e-16,79298,77.439453125,1.764825788092614,78.0,71,82,76.439453125,0.0,0.0,8.886119947416683e-16,4.828083507593457e-18,4.336808689942018e-19,2.392709544645053e-16,3.927817494393648e-19,184.05066800192816,9.844508182829923e-24,174.51184964277226,0.0,0.0,0.0,1.0408340855860843e-17,1.5414011973181656e-18,6.804195440398996e-05,6.752518989845071,5.828670879282072e-16,2.220446049250313e-16,6.23728986632994e-16,3.2689652435411733e-18,5.828670879282072e-16,2.220446049250313e-16,6.23728986632994e-16,3.2689652435411733e-18,0.0,0.0,-1.1781841915645423,-1.1781841915645423,0.0,1e-12,3.095385908927344e-14,10.169006582989823,120,0.07997457151068374,0.07921539549715817,0.08571883401600644,0.07939792153580735,0.08055122148556014,1.0145255685217487,0.014525568521748689,394002432,36.057472229003906,409862144,0.3817138671875
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_dis_j10_s4,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,7,140,0.035,0.00025,OK,1024,float64,cpu,True,0,0,0,0,0,0,0,,,,4.0,0.12772840610774217,4.612447233152825,0.20667864037362052,0.3500521597771385,0.9870225251077338,0.9862775765869737,0.0007449485207601247,0.0007553132489719869,1.015772514003521,0.9728170847539196,0.042955429249601385,0.04415571017697252,1.0003487577618717,0.006964776396272534,0.006973502866317664,0.006973502866317664,0.022997913014211058,0.022997913014211058,0.9800506920103758,1.022997913014211,-7.979723195849697,9.199165205684423,9.199165205684423,1.2393274006566823,0.06196637003283412,0.0006373176598705546,0.0011348006399235643,0.0013015169195803068,3.0357660829594124e-17,2.3852447794681098e-18,3.0451222696349213e-17,7.612805674087303e-18,0.0005004377327900243,0.0007775347775839775,9.719184719799719e-05,1.0162862723351769,0.04518086026259964,79524,79524,0,1024,0,0,0,0,0,2.220446049250313e-16,79524,77.66015625,1.829414911889481,78.0,73,83,76.66015625,0.0,0.0,5.775561153410717e-16,2.465642672309784e-18,6.505213034913027e-19,2.30078426661072e-16,1.3346780106155496e-19,234.2416124717797,3.4245006159636863e-22,176.37829330790808,0.0,0.0,0.0,2.023017827855918e-17,3.0757986784409124e-18,7.076817867382434e-05,6.577211447666539,-4.787836793695988e-16,-4.440892098500626e-16,6.530306561991892e-16,2.7117093488407186e-18,-4.787836793695988e-16,-4.440892098500626e-16,6.530306561991892e-16,2.7117093488407186e-18,0.0,0.0,-1.1154892068666538,-1.1154892068666538,0.0,1e-12,3.0062909770359934e-14,11.814955499954522,140,0.07976495205865441,0.07903293703566305,0.08517625002423301,0.07942034878734765,0.08010955532996117,1.0086779591519914,0.008677959151991432,409993216,35.6379508972168,425902080,0.3966522216796875
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_dis_j10_s4,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,8,160,0.04,0.00025,OK,1024,float64,cpu,True,0,0,0,0,0,0,0,,,,4.0,0.10596131755521496,3.812490818399812,0.17116885331968476,0.2883340322549477,0.9851232402582025,0.9843326628692644,0.000790577388938174,0.0008031607796430257,0.9988881397700059,0.9689841277734761,0.02990401199652981,0.03086119900151823,1.0003706991595678,0.007933037828375174,0.007941694218070582,0.007941694218070582,0.0279342106294187,0.0279342106294187,0.9767343187067248,1.0279342106294187,-9.306272517310088,11.17368425176748,11.17368425176748,1.1822901232642415,0.05911450616321208,0.0006373176598705797,0.0011348006399235647,0.0013015169195803196,5.551115123125783e-17,2.8189256484623115e-18,5.558267943191599e-17,1.3895669857978997e-17,0.000313417887238889,0.0005905149320328423,7.381436650410529e-05,0.7569709821935426,0.04443200160993771,79778,79778,0,1024,0,0,0,0,0,2.220446049250313e-16,79778,77.908203125,1.9693077748716903,78.0,72,83,76.908203125,0.0,0.0,4.997930709674e-16,1.838334163658862e-18,8.673617379884035e-19,2.617401042924156e-16,3.573348813986005e-19,271.87280791902106,2.3302699845139694e-24,177.72302143717673,0.0,0.0,0.0,3.127317220692751e-17,4.937618852696928e-18,6.244701661781522e-05,6.333654569114037,0.0,-2.220446049250313e-16,2.220446049250313e-16,7.981288534392008e-19,0.0,-2.220446049250313e-16,2.220446049250313e-16,7.981288534392008e-19,0.0,0.0,-1.023008980213773,-1.0230089802137732,2.220446049250313e-16,1e-12,2.8748686705366896e-14,13.46275683294516,160,0.07957797575800214,0.0787779790116474,0.08517625002423301,0.07982406716182595,0.07933188435417833,0.9938341552222612,-0.006165844777738849,425984000,35.9440803527832,441942016,0.411590576171875
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_dis_j10_s4,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,9,180,0.045,0.00025,OK,1024,float64,cpu,True,0,0,0,0,0,0,0,,,,4.0,0.12572442705236409,4.5624596550479675,0.20524412830086344,0.36512860442448114,0.9832742257636405,0.9823915844707989,0.0008826412928416572,0.0008984617812225296,1.0075224032381773,0.9651662728707451,0.04235613036743224,0.04388480157045911,1.0003444525426342,0.006750654713936884,0.006759436856789575,0.006759436856789575,0.023643738027192995,0.023643738027192995,0.9803764710103068,1.023643738027193,-7.849411595877287,9.457495210877198,9.457495210877198,1.1323039389855718,0.05661519694927859,0.0006373176598705687,0.0011348006399235703,0.001301516919580319,4.445228907190568e-17,8.456776945386935e-18,4.5249564418194054e-17,1.1312391104548514e-17,7.26301078705382e-05,0.0003497271526644915,4.3715894083061436e-05,1.0412627982725184,0.043594048642908854,80036,80036,0,1024,0,0,0,0,0,2.220446049250313e-16,80036,78.16015625,2.077608213677585,78.0,72,83,77.16015625,0.0,0.0,2.423651445728339e-16,1.078730526605904e-18,6.505213034913027e-19,2.3757608238497986e-16,6.208837266181861e-19,224.6762639928312,1.3465822802751935e-21,178.5927726473478,0.0,0.0,0.0,3.496446946337351e-17,5.382166362513458e-18,6.663919710692121e-05,6.496356134009428,2.498001805406602e-16,3.885780586188048e-16,4.619448428525918e-16,1.998267972215439e-18,2.498001805406602e-16,3.885780586188048e-16,4.619448428525918e-16,1.998267972215439e-18,0.0,0.0,-1.0783928650437529,-1.078392865043753,2.220446049250313e-16,1e-12,2.953573904624922e-14,15.23764637496788,180,0.08010330484733762,0.07903293703566305,0.08679216704331338,0.08006371433342187,0.08014289536125337,1.000988975199199,0.0009889751991989382,446398464,35.370731353759766,462422016,0.4306640625
